,cluster,rank,gene,score,log2FC,pval_adj
0,0,1,SELENOP,47.0057,1.5375,0.00e+00
1,0,2,CD74,41.6392,1.1612,0.00e+00
2,0,3,A2M,37.2426,1.346,9.29e-301
3,0,4,C1QA,22.7422,1.0469,8.56e-112
4,0,5,SLC40A1,21.8132,1.1725,6.96e-103
5,1,1,IGFBP5,21.7508,1.2049,1.36e-101
6,1,2,IGHM,18.7732,4.5395,1.25e-75
7,1,3,EGR1,17.3533,1.5553,1.24e-64
8,1,4,IGKC,16.0484,3.751,2.93e-55
9,1,5,SOX5,15.9661,1.1166,8.80e-55
10,2,1,COL1A1,34.2606,7.9175,6.06e-254
11,2,2,TIMP1,32.8499,8.4787,1.14e-233
12,2,3,CD74,30.8364,4.3847,5.68e-206
13,2,4,COL3A1,30.4991,6.8481,1.34e-201
14,2,5,COL1A2,26.3309,6.2966,3.40e-150
15,3,1,AQP1,12.3724,0.576,7.38e-32
16,3,2,HSPB8,12.2485,0.4532,1.71e-31
17,3,3,C3,9.5366,0.3184,7.38e-19
18,3,4,OGFRL1,7.822,0.3229,2.08e-12
19,3,5,CD44,7.6378,0.3691,7.37e-12
20,4,1,ADGRB1,5.7837,0.522,4.87e-07
21,4,2,CAMK2N1,5.2877,0.2726,5.90e-06
22,4,3,NINJ1,3.7922,0.1802,3.47e-03
23,4,4,PLPPR1,2.6955,0.1699,8.51e-02
24,4,5,FOXP1,2.4963,0.1771,1.35e-01
25,5,1,LMO3,17.0772,2.025,1.10e-62
26,5,2,VCAM1,16.0455,0.7921,2.05e-55
27,5,3,NID1,12.0884,0.689,2.03e-31
28,5,4,SPP1,10.0007,0.3344,1.78e-21
29,5,5,SOX5,9.4818,0.519,2.38e-19
30,6,1,SCG2,1.7379,0.7504,1.00e+00
31,6,2,ADGRB1,1.4847,0.9101,1.00e+00
32,6,3,IER5L,1.3409,0.5862,1.00e+00
33,6,4,KIAA2026,1.2202,0.3997,1.00e+00
34,6,5,RAB31,1.2123,0.3653,1.00e+00
35,7,1,ELN,8.8621,0.3855,5.24e-16
36,7,2,MATN2,8.2428,0.4139,8.41e-14
37,7,3,PRRX1,7.6156,0.2321,7.50e-12
38,7,4,PLEKHB1,6.8122,0.2202,2.14e-09
39,7,5,OGFRL1,6.7777,0.2169,2.44e-09
40,8,1,CCDC80,2.4397,1.6907,1.00e+00
41,8,2,KIAA2026,2.1563,1.9152,1.00e+00
42,8,3,CSF1R,1.6908,2.0308,1.00e+00
43,8,4,GALNT15,1.5618,3.2287,1.00e+00
44,8,5,STXBP3,1.3078,1.613,1.00e+00
45,9,1,CCL19,1.2309,4.2056,1.00e+00
46,9,2,S100A1,1.0828,0.6541,1.00e+00
47,9,3,COL1A2,1.032,0.8609,1.00e+00
48,9,4,COL3A1,0.8703,0.7626,1.00e+00
49,9,5,S100A9,0.863,2.4846,1.00e+00
50,10,1,SPP1,5.8701,0.6514,1.74e-06
51,10,2,SCG2,3.5579,0.9031,3.18e-02
52,10,3,APOC2,2.5022,1.319,3.48e-01
53,10,4,MOBP,2.4522,0.9642,3.64e-01
54,10,5,NTN4,1.9512,1.7208,8.27e-01
55,11,1,ACTA2,4.3073,1.5613,3.31e-02
56,11,2,MYLK,2.3854,1.5136,1.00e+00
57,11,3,NUPR1,2.3488,0.5842,1.00e+00
58,11,4,MYH11,2.3387,2.1773,1.00e+00
59,11,5,VCAM1,2.2355,0.6528,1.00e+00
