protein,mean_pearsonr,std_pearsonr,mean_rmse,mean_mae
TOX,0.684766411781311,0.04026442079882653,0.39256852865219116,0.2877501010894775
MPO,0.6844330191612243,0.06534109397258757,0.3068959951400757,0.21636078953742982
MAP2,0.6690214276313782,0.07709569782770531,0.4443764269351959,0.32673837542533873
CD21,0.636149525642395,0.0875835399101759,0.3601253628730774,0.23100405633449556
synd,0.6318125605583191,0.03691153551938912,0.43358437418937684,0.3048543393611908
Granzyme B,0.6317976951599121,0.01006824693212513,0.4795697569847107,0.3646555781364441
PDGFR,0.6063379406929016,0.012493674500848366,0.3760596513748169,0.29314078092575074
SYNA,0.602802038192749,0.06438743036482464,0.35870134830474854,0.2424876183271408
CD23,0.5947030782699585,0.008908660368057108,0.5920039772987366,0.4701165437698364
CD44,0.5845628023147583,0.029322138067252295,0.725768756866455,0.5517461776733399
C-KIT,0.5712439179420471,0.014220012983731111,0.44342381954193116,0.3491521179676056
CD16,0.536085844039917,0.01863660425166848,0.6129864573478698,0.47290409207344053
CD8,0.5207964062690735,0.048685485944588255,0.3908250331878662,0.273111617565155
FOXP3,0.5184934854507446,0.036267534856975446,0.3355779767036438,0.23509252071380615
Granzyme K,0.5170087695121766,0.04776267831778103,0.3261322617530823,0.24516259133815765
OLIG2,0.5092888951301575,0.0314919298081997,0.4898886620998383,0.38618523478507993
CD74,0.501790177822113,0.004753649028633357,0.7439298152923584,0.5877747774124146
MSH6,0.49442057609558104,0.029986780227637715,0.4727539837360382,0.3640271723270416
SIRP,0.4841065347194672,0.0389059949688034,0.34447850584983825,0.24337695240974427
IDH1,0.47969983220100404,0.026476941469581225,0.3481741905212402,0.2540544539690018
ICOS,0.47785723209381104,0.030292079892975787,0.3138332009315491,0.21690637469291688
PD-1,0.4768182039260864,0.05364150591868842,0.32361069321632385,0.21516015529632568
Ki67,0.4557694911956787,0.027254558876674082,1.0177034854888916,0.8327174425125122
CXCR5,0.455528461933136,0.053882724094975264,0.3268253803253174,0.22182138562202453
CXCL13,0.45414863228797914,0.0335228455676515,0.3491538941860199,0.2474609136581421
GFAP,0.44029795527458193,0.04513579984600121,0.3754681825637817,0.2843163013458252
CD68,0.4391873389482498,0.14221337776258516,0.3496617257595062,0.24252889752388002
PSD95,0.4369641005992889,0.018784944322617157,0.6127418994903564,0.4922985374927521
CD47,0.43432191014289856,0.07470250055436685,0.33625046014785764,0.22280585169792175
Podoplanin,0.4327189564704895,0.04455750531629315,0.41035357117652893,0.3127255380153656
CD14,0.4185903012752533,0.00889732280775072,0.43062851428985593,0.3266278326511383
CD20,0.4134289801120758,0.054864333688723135,0.3670121133327484,0.25188545882701874
CD31,0.4028201103210449,0.0539166440517104,0.3603841543197632,0.24732389450073242
CD38,0.3881023764610291,0.04470242088357857,0.3559931039810181,0.25976334810256957
FIBR,0.38669061064720156,0.03622399950110622,0.2986296057701111,0.20996930003166198
HLA-DR,0.3730729579925537,0.020012125680247853,0.43862380981445315,0.317873877286911
CD4,0.3654318630695343,0.015878727168433426,0.3239725470542908,0.24548697471618652
PD-L1,0.3344792902469635,0.042786598658951625,0.3411388576030731,0.2521864056587219
Vimentin,0.31450090408325193,0.025384789676105086,0.37107751369476316,0.28086571097373964
SMA,0.3120786130428314,0.023392731784949,0.5951412677764892,0.4255542755126953
CD45,0.29065300822257994,0.01819569364519178,0.3763578772544861,0.2829439342021942
CD3e,0.27269055843353274,0.04608948327688718,0.33416794538497924,0.2407119393348694
MGMT,0.27239407896995543,0.038428829616795356,0.3414135992527008,0.24369094669818878
HLA-A,0.2593555599451065,0.010405543089512175,0.4277023792266846,0.3382232666015625
