protein,mean_pearson,std_pearson,mean_spearman,mean_r2,mean_rmse,mean_mae
MPO,0.6254838585853577,0.06757704953888609,0.1436739805823093,0.38632493019104003,0.23858087352198054,0.13280467987060546
CD68,0.6185178279876709,0.06788411861491608,0.22493159036868024,0.37844266891479494,0.37548138803153275,0.2448494017124176
PD-L1,0.5623048543930054,0.029085314307677777,0.20014294623499684,0.31424198150634763,0.17218912917134982,0.11668187528848648
CD45,0.5619535565376281,0.041446052010194585,0.2792912324681348,0.3153530478477478,0.3271279825267329,0.24217302203178406
TOX,0.5529465019702912,0.03735979333403258,0.2841014562896889,0.30355515480041506,0.36134893032511134,0.20256897211074829
CD4,0.5421800136566162,0.040102747092951196,0.26754202805292315,0.29404171705245974,0.258617301114289,0.1900749146938324
CD3e,0.5411156594753266,0.0699743883084772,0.22443883523741315,0.2922926783561707,0.20940468359619985,0.13365063071250916
FIBR,0.5263723969459534,0.02304028995132596,0.23043839221822005,0.27567330598831175,0.18708816632030784,0.1335748940706253
HLA-DR,0.5182200193405151,0.04635042646271622,0.3605982706296421,0.26708213090896604,0.4232920667338405,0.30805222392082215
MGMT,0.5098147869110108,0.026848651370168283,0.26939421264455043,0.2581492900848389,0.37833010762854047,0.2443221002817154
C-KIT,0.49519109129905703,0.0495505580526985,0.2976244897844334,0.24492378234863282,0.6435304130814398,0.42835658192634585
Granzyme B,0.4899510025978088,0.05482577987046553,0.2766312497714892,0.23837066888809205,0.612222052630028,0.39082270860671997
PDGFR,0.48119481205940245,0.05349680535732171,0.2791349061196804,0.23105120658874512,0.6363049315571112,0.41377812027931216
CD74,0.47798399329185487,0.01705114904412745,0.43943317065579957,0.22749191522598267,0.7892690443434324,0.643668246269226
CD14,0.47425920367240904,0.023374155770967506,0.350357774090459,0.2244115352630615,0.412759617010645,0.3174121677875519
MAP2,0.4520348072052002,0.033904963881338505,0.3486515351968881,0.20428403615951538,0.4344333309014058,0.3383824467658997
CD23,0.4511585235595703,0.03695529955147363,0.34029384142784835,0.20255205631256104,0.8802863396689858,0.6219027638435364
CD44,0.435268247127533,0.04733348665658563,0.38748698830545236,0.18633265495300294,0.7955560172741518,0.5929236769676208
Ki67,0.4209082186222076,0.014640637391465237,0.272780220599062,0.176804256439209,1.061118796964179,0.8310982704162597
CXCR5,0.4118205726146698,0.038963920918090936,0.18512114991077938,0.16867154836654663,0.1679246492922244,0.11133918464183808
ICOS,0.40302289724349977,0.048385400118903694,0.2437652455383866,0.16193685531616211,0.20895023795800355,0.14952786266803741
IDH1,0.40116610527038576,0.054576606618740184,0.28993299319148375,0.16126192808151246,0.28616108980823274,0.21718494296073915
PD-1,0.4001089632511139,0.04085436342229358,0.1970730485983627,0.1598636031150818,0.169112309412635,0.11590226590633393
CD31,0.39526493549346925,0.037166681325111944,0.2564467390682017,0.15548123121261598,0.3618320490884214,0.2520783573389053
synd,0.3933625042438507,0.023340518360376532,0.3384472307929706,0.15276917219161987,0.3556404917868292,0.24908864200115205
FOXP3,0.38519980311393737,0.04048259259747511,0.3303440310247974,0.1477622866630554,0.18668440863475028,0.13233123868703842
CD38,0.3736964225769043,0.0376420079739578,0.2955207394366674,0.13829795122146607,0.29135440705339927,0.22520433962345124
Vimentin,0.3658935010433197,0.028784925522768897,0.2631701909978774,0.13340164422988893,0.4009176489703701,0.30959040522575376
MSH6,0.3634213387966156,0.013101138070630661,0.33817850501157165,0.13134498596191407,0.3481567460214321,0.27278385162353513
OLIG2,0.3590804398059845,0.013951083773084558,0.3258547741964622,0.12816433906555175,0.37709063908641244,0.30586674213409426
PSD95,0.3446996808052063,0.024747374036900815,0.2853271047302984,0.11816494464874268,1.2528552117916658,0.9683130741119385
CD47,0.34233382940292356,0.05287142346054487,0.215433203998061,0.11643440723419189,0.22396189785774956,0.16198434829711914
SMA,0.3419965267181396,0.025676327155846577,0.22838397249015974,0.1157869815826416,0.6189196008437905,0.4508895456790924
CXCL13,0.33816168904304506,0.033448384812846926,0.16436794840443117,0.11189029216766358,0.1670857477401497,0.11676026582717895
SIRP,0.33735660910606385,0.03461777995566349,0.2956714615552949,0.11271295547485352,0.247257347247874,0.19170094430446624
CD21,0.31089516878128054,0.031030364452869295,0.1957112574316051,0.0954548954963684,0.2593527651355247,0.1976361483335495
CD16,0.29216360449790957,0.015644634502702533,0.2876414455556393,0.08419201374053956,0.5938220619959707,0.4385887861251831
GFAP,0.2843102902173996,0.05393827949201561,0.2247176935976766,0.08068084716796875,0.39497938751602757,0.30531937479972837
SYNA,0.2832538217306137,0.03337402866571478,0.18315659086900726,0.07909489870071411,0.2729934129640027,0.20449577569961547
Podoplanin,0.27128149271011354,0.04086246068098685,0.17507744533930816,0.07274502515792847,0.9591414652559441,0.6962544083595276
CD8,0.24752208292484285,0.0540384625086484,0.12282685762925413,0.05633060932159424,0.3142828256651755,0.1938592791557312
Granzyme K,0.24578849971294403,0.05544413039147867,0.17120620329743186,0.05650328397750855,0.20828634594273038,0.16171168088912963
HLA-A,0.21865237653255462,0.01705612823343613,0.19917169241720983,0.047110331058502194,1.0370537085357814,0.8123522400856018
CD20,0.18802421391010285,0.05215435557707907,0.16632103480995147,0.03294705152511597,0.26679601262616803,0.1581391453742981
