spot_id,predicted_protein_value
s_016um_00380_00137-1,-2.1977344
s_016um_00037_00102-1,-1.9996164
s_016um_00328_00304-1,-2.119915
s_016um_00343_00400-1,-2.8645093
s_016um_00009_00155-1,-1.8145567
s_016um_00009_00150-1,-1.945857
s_016um_00109_00316-1,-1.7573482
s_016um_00330_00253-1,-2.2772958
s_016um_00366_00225-1,-2.1270437
s_016um_00267_00058-1,-2.755622
s_016um_00274_00229-1,-1.9906383
s_016um_00219_00167-1,-2.0380838
s_016um_00209_00032-1,-1.9973212
s_016um_00112_00314-1,-1.7761749
s_016um_00122_00145-1,-2.000465
s_016um_00201_00148-1,-1.86244
s_016um_00232_00085-1,-1.8830118
s_016um_00034_00102-1,-2.015474
s_016um_00080_00283-1,-1.888272
s_016um_00142_00062-1,-1.9414096
s_016um_00242_00085-1,-1.8768868
s_016um_00382_00138-1,-2.0189514
s_016um_00321_00227-1,-2.071576
s_016um_00081_00240-1,-2.1183834
s_016um_00362_00411-1,-3.3731728
s_016um_00323_00167-1,-2.0920243
s_016um_00323_00162-1,-2.2839653
s_016um_00394_00215-1,-2.2236102
s_016um_00219_00026-1,-2.2199094
s_016um_00363_00414-1,-4.128881
s_016um_00233_00267-1,-1.9564155
s_016um_00033_00089-1,-1.8988277
s_016um_00082_00197-1,-2.487723
s_016um_00235_00090-1,-2.271318
s_016um_00127_00318-1,-2.3002882
s_016um_00040_00098-1,-1.8426269
s_016um_00217_00172-1,-1.9697945
s_016um_00259_00034-1,-1.9014792
s_016um_00276_00133-1,-2.1432457
s_016um_00325_00123-1,-1.9342663
s_016um_00341_00399-1,-2.1882648
s_016um_00191_00093-1,-1.83483
s_016um_00129_00321-1,-1.6641356
s_016um_00263_00061-1,-2.1789522
s_016um_00341_00215-1,-2.060182
s_016um_00270_00034-1,-2.0242052
s_016um_00395_00365-1,-2.4552233
s_016um_00083_00278-1,-1.9198987
s_016um_00134_00321-1,-3.3616562
s_016um_00038_00098-1,-2.0505095
s_016um_00278_00048-1,-2.0517907
s_016um_00120_00149-1,-1.669224
s_016um_00199_00149-1,-1.7270732
s_016um_00275_00229-1,-1.8561548
s_016um_00140_00022-1,-2.2179282
s_016um_00080_00236-1,-2.2908642
s_016um_00367_00099-1,-2.8354492
s_016um_00232_00263-1,-2.259923
s_016um_00166_00129-1,-2.1886497
s_016um_00356_00115-1,-2.1068945
s_016um_00230_00250-1,-2.0945954
s_016um_00394_00181-1,-1.9964792
s_016um_00137_00222-1,-2.1237676
s_016um_00323_00228-1,-2.0562773
s_016um_00343_00215-1,-1.8376294
s_016um_00124_00383-1,-1.7986721
s_016um_00111_00320-1,-2.6979241
s_016um_00199_00148-1,-1.9933089
s_016um_00034_00336-1,-1.9469051
s_016um_00206_00149-1,-2.0067859
s_016um_00019_00265-1,-2.2366755
s_016um_00026_00089-1,-1.9874952
s_016um_00205_00153-1,-2.173054
s_016um_00385_00292-1,-2.458655
s_016um_00390_00181-1,-1.8665388
s_016um_00320_00166-1,-1.962688
s_016um_00385_00293-1,-1.7504447
s_016um_00142_00218-1,-2.280988
s_016um_00130_00233-1,-1.9655048
s_016um_00101_00030-1,-2.043557
s_016um_00216_00292-1,-1.9196002
s_016um_00409_00101-1,-2.1167138
s_016um_00028_00335-1,-1.9655987
s_016um_00249_00020-1,-2.3864727
s_016um_00260_00127-1,-1.9893686
s_016um_00217_00281-1,-1.954655
s_016um_00081_00296-1,-1.7459378
s_016um_00368_00145-1,-2.0740614
s_016um_00128_00316-1,-2.4523978
s_016um_00270_00058-1,-2.342257
s_016um_00138_00074-1,-1.8314762
s_016um_00236_00083-1,-1.9861752
s_016um_00266_00059-1,-2.3982234
s_016um_00076_00241-1,-1.7387925
s_016um_00320_00162-1,-1.9910052
s_016um_00216_00295-1,-1.9071039
s_016um_00043_00049-1,-1.9896812
s_016um_00376_00119-1,-2.3030078
s_016um_00099_00071-1,-1.9341208
s_016um_00273_00132-1,-1.9469787
s_016um_00145_00021-1,-2.0354276
s_016um_00356_00410-1,-3.4041018
s_016um_00098_00340-1,-2.2027612
s_016um_00171_00128-1,-1.796982
s_016um_00203_00149-1,-1.9365747
s_016um_00195_00090-1,-1.8210332
s_016um_00098_00073-1,-1.8659321
s_016um_00337_00255-1,-2.2064064
s_016um_00401_00259-1,-1.9654418
s_016um_00211_00289-1,-1.9685892
s_016um_00372_00121-1,-1.8480623
s_016um_00087_00194-1,-1.9070365
s_016um_00220_00226-1,-1.84418
s_016um_00066_00126-1,-1.7786158
s_016um_00251_00020-1,-1.9027506
s_016um_00042_00044-1,-1.8731449
s_016um_00098_00027-1,-1.965152
s_016um_00228_00249-1,-1.7774917
s_016um_00038_00172-1,-1.9530724
