spot_id,predicted_protein_value
s_016um_00380_00137-1,-0.29786083
s_016um_00037_00102-1,-0.3934618
s_016um_00328_00304-1,-0.41902083
s_016um_00343_00400-1,-0.4168773
s_016um_00009_00155-1,-0.4838099
s_016um_00009_00150-1,-0.51012456
s_016um_00109_00316-1,-0.088591784
s_016um_00330_00253-1,-0.404623
s_016um_00366_00225-1,-0.5974295
s_016um_00267_00058-1,0.40341094
s_016um_00274_00229-1,-0.45824343
s_016um_00219_00167-1,-0.33766377
s_016um_00209_00032-1,-0.4277616
s_016um_00112_00314-1,-0.2698117
s_016um_00122_00145-1,-0.3963175
s_016um_00201_00148-1,-0.33471584
s_016um_00232_00085-1,0.06167513
s_016um_00034_00102-1,-0.5980447
s_016um_00080_00283-1,-0.40012494
s_016um_00142_00062-1,-0.5048778
s_016um_00242_00085-1,-0.071766555
s_016um_00382_00138-1,-0.48224774
s_016um_00321_00227-1,-0.34446383
s_016um_00081_00240-1,-0.42287242
s_016um_00362_00411-1,-0.43768215
s_016um_00323_00167-1,0.26513216
s_016um_00323_00162-1,-0.3556473
s_016um_00394_00215-1,-0.53619057
s_016um_00219_00026-1,-0.5101956
s_016um_00363_00414-1,-0.63928413
s_016um_00233_00267-1,-0.36133412
s_016um_00033_00089-1,-0.42203724
s_016um_00082_00197-1,-0.10760473
s_016um_00235_00090-1,-0.40706062
s_016um_00127_00318-1,-0.42933026
s_016um_00040_00098-1,-0.40032506
s_016um_00217_00172-1,-0.32029513
s_016um_00259_00034-1,-0.3895517
s_016um_00276_00133-1,-0.31126252
s_016um_00325_00123-1,-0.29512694
s_016um_00341_00399-1,-0.117572874
s_016um_00191_00093-1,-0.32083878
s_016um_00129_00321-1,-0.01696539
s_016um_00263_00061-1,-0.10779494
s_016um_00341_00215-1,-0.33174056
s_016um_00270_00034-1,-0.436853
s_016um_00395_00365-1,-0.7049532
s_016um_00083_00278-1,-0.36556304
s_016um_00134_00321-1,0.47632816
s_016um_00038_00098-1,-0.44116205
s_016um_00278_00048-1,-0.1668218
s_016um_00120_00149-1,-0.29216394
s_016um_00199_00149-1,-0.30113387
s_016um_00275_00229-1,-0.37511504
s_016um_00140_00022-1,-0.34674555
s_016um_00080_00236-1,0.50674236
s_016um_00367_00099-1,-0.017881125
s_016um_00232_00263-1,-0.3879446
s_016um_00166_00129-1,-0.32457316
s_016um_00356_00115-1,-0.2048917
s_016um_00230_00250-1,-0.6137085
s_016um_00394_00181-1,-0.15819496
s_016um_00137_00222-1,-0.36681017
s_016um_00323_00228-1,-0.32315874
s_016um_00343_00215-1,-0.47158802
s_016um_00124_00383-1,-0.29786944
s_016um_00111_00320-1,0.6264492
s_016um_00199_00148-1,-0.24704236
s_016um_00034_00336-1,-0.22619814
s_016um_00206_00149-1,0.11526829
s_016um_00019_00265-1,-0.10604218
s_016um_00026_00089-1,-0.5022856
s_016um_00205_00153-1,-0.39133853
s_016um_00385_00292-1,0.123131394
s_016um_00390_00181-1,-0.12023488
s_016um_00320_00166-1,-0.2782163
s_016um_00385_00293-1,-0.18675017
s_016um_00142_00218-1,0.4479473
s_016um_00130_00233-1,-0.37583584
s_016um_00101_00030-1,-0.50328135
s_016um_00216_00292-1,-0.34517598
s_016um_00409_00101-1,-0.44083625
s_016um_00028_00335-1,-0.33789518
s_016um_00249_00020-1,-0.12859288
s_016um_00260_00127-1,-0.32608762
s_016um_00217_00281-1,-0.34008357
s_016um_00081_00296-1,-0.3256322
s_016um_00368_00145-1,-0.47824448
s_016um_00128_00316-1,-0.36214012
s_016um_00270_00058-1,-0.42379913
s_016um_00138_00074-1,-0.5026609
s_016um_00236_00083-1,-0.25372982
s_016um_00266_00059-1,0.19419298
s_016um_00076_00241-1,-0.20790732
s_016um_00320_00162-1,-0.46019664
s_016um_00216_00295-1,-0.40733463
s_016um_00043_00049-1,-0.42301008
s_016um_00376_00119-1,-0.2319125
s_016um_00099_00071-1,-0.43431044
s_016um_00273_00132-1,-0.30279714
s_016um_00145_00021-1,-0.63259363
s_016um_00356_00410-1,-0.8806137
s_016um_00098_00340-1,-0.3106545
s_016um_00171_00128-1,-0.3293844
s_016um_00203_00149-1,-0.3756041
s_016um_00195_00090-1,-0.368796
s_016um_00098_00073-1,-0.4166978
s_016um_00337_00255-1,-0.3450666
s_016um_00401_00259-1,-0.20502205
s_016um_00211_00289-1,-0.33392322
s_016um_00372_00121-1,-0.38956463
s_016um_00087_00194-1,-0.3213524
s_016um_00220_00226-1,-0.49395788
s_016um_00066_00126-1,-0.5248801
s_016um_00251_00020-1,-0.4062006
s_016um_00042_00044-1,-0.44281524
s_016um_00098_00027-1,-0.2302348
s_016um_00228_00249-1,-0.4321456
s_016um_00038_00172-1,-0.44486302
s_016um_00209_00296-1,-0.35939738
s_016um_00106_00385-1,-0.13057528
s_016um_00084_00266-1,-0.33046836
s_016um_00147_00399-1,-0.10517669
s_016um_00398_00182-1,-0.43194336
s_016um_00273_00052-1,-0.06818883
s_016um_00101_00023-1,-0.3910604
s_016um_00378_00137-1,-0.41979754
s_016um_00095_00277-1,-0.34158832
s_016um_00141_00223-1,-0.25234154
s_016um_00260_00133-1,-0.2792198
s_016um_00272_00058-1,-0.4211558
s_016um_00169_00370-1,-0.52572584
s_016um_00353_00023-1,-0.11157259
s_016um_00389_00292-1,-0.39722145
s_016um_00253_00026-1,-0.35302484
s_016um_00362_00226-1,-0.4002477
s_016um_00079_00236-1,-0.06762296
s_016um_00403_00150-1,-0.40623644
s_016um_00046_00209-1,-0.12515533
s_016um_00400_00402-1,-0.58211684
s_016um_00219_00281-1,-0.43523052
s_016um_00274_00225-1,-0.5133186
s_016um_00053_00248-1,-0.08978695
s_016um_00081_00292-1,-0.109438285
s_016um_00361_00290-1,-0.014982611
s_016um_00277_00327-1,-0.23507768
s_016um_00138_00215-1,0.47541365
s_016um_00074_00248-1,-0.34023973
s_016um_00083_00200-1,-0.44199806
s_016um_00329_00218-1,-0.4742702
s_016um_00005_00296-1,-0.45950645
s_016um_00276_00208-1,-0.5193639
s_016um_00039_00178-1,-0.41797644
s_016um_00123_00386-1,0.023482978
s_016um_00143_00020-1,-0.18087107
s_016um_00407_00401-1,-0.31004807
s_016um_00391_00343-1,-0.30604124
s_016um_00031_00331-1,-0.17439228
s_016um_00228_00237-1,-0.43975976
s_016um_00218_00032-1,-0.16153628
s_016um_00396_00220-1,-0.2790794
s_016um_00215_00282-1,-0.43056983
s_016um_00008_00153-1,-0.52544284
s_016um_00102_00383-1,-0.40761656
s_016um_00184_00028-1,-0.30635864
s_016um_00266_00057-1,-0.17497936
s_016um_00141_00060-1,-0.50967926
s_016um_00193_00120-1,-0.030066341
s_016um_00268_00332-1,-0.2971493
s_016um_00209_00031-1,-0.27711463
s_016um_00354_00416-1,-0.9423528
s_016um_00365_00098-1,-0.39008662
s_016um_00041_00049-1,-0.58610153
s_016um_00210_00296-1,-0.5597088
s_016um_00089_00068-1,-0.49809068
s_016um_00245_00086-1,-0.18815449
s_016um_00193_00130-1,-0.33620477
s_016um_00126_00089-1,-0.11796613
s_016um_00083_00071-1,-0.4381668
s_016um_00235_00268-1,-0.35229325
s_016um_00219_00280-1,-0.27240658
s_016um_00079_00241-1,-0.38990477
s_016um_00133_00230-1,-0.16904856
s_016um_00257_00034-1,-0.4323178
s_016um_00263_00187-1,0.004678756
s_016um_00394_00358-1,-0.26720062
s_016um_00105_00384-1,-0.20555013
s_016um_00129_00386-1,-0.08204627
s_016um_00262_00186-1,0.039667457
s_016um_00417_00138-1,-0.32894778
s_016um_00287_00092-1,-0.35028177
s_016um_00177_00032-1,-0.322051
s_016um_00110_00318-1,-0.37761873
s_016um_00218_00277-1,-0.37392375
s_016um_00260_00033-1,-0.17372885
s_016um_00386_00295-1,-0.36752415
s_016um_00360_00286-1,-0.2439805
s_016um_00030_00331-1,-0.2487537
s_016um_00266_00332-1,-0.32346672
s_016um_00197_00123-1,0.06708041
s_016um_00271_00221-1,-0.28858328
s_016um_00265_00033-1,-0.26973623
s_016um_00273_00201-1,-0.27439308
s_016um_00359_00096-1,-0.14293066
s_016um_00220_00030-1,-0.418764
s_016um_00097_00317-1,-0.1616995
s_016um_00346_00212-1,-0.1971654
s_016um_00389_00345-1,-0.45522255
s_016um_00067_00131-1,-0.5938866
s_016um_00401_00403-1,-0.23279938
s_016um_00214_00029-1,-0.099766314
s_016um_00266_00036-1,-0.44742382
s_016um_00065_00235-1,-0.16777375
s_016um_00037_00045-1,-0.49977854
s_016um_00084_00029-1,-0.54497623
s_016um_00265_00336-1,-0.30754825
s_016um_00395_00217-1,-0.42066777
s_016um_00214_00278-1,-0.2721883
s_016um_00077_00293-1,-0.25504264
s_016um_00280_00130-1,0.11789745
s_016um_00088_00267-1,-0.39625823
s_016um_00372_00120-1,-0.30373135
s_016um_00109_00315-1,0.0010381341
s_016um_00416_00142-1,-0.37657842
s_016um_00282_00325-1,-0.47806185
s_016um_00384_00128-1,-0.23710491
s_016um_00102_00068-1,-0.21883507
s_016um_00005_00299-1,-0.4075525
s_016um_00361_00415-1,-1.059268
s_016um_00330_00214-1,0.23449811
s_016um_00265_00058-1,0.18693808
s_016um_00222_00031-1,-0.49770555
s_016um_00364_00228-1,-0.39630225
s_016um_00381_00134-1,-0.10015397
s_016um_00280_00204-1,-0.44303733
s_016um_00146_00018-1,-0.50748706
s_016um_00089_00067-1,-0.3448757
s_016um_00130_00086-1,-0.48063934
s_016um_00408_00098-1,-0.31231022
s_016um_00060_00249-1,-0.4192485
s_016um_00334_00215-1,-0.45850885
s_016um_00095_00276-1,-0.44208884
s_016um_00403_00120-1,-0.44708255
s_016um_00267_00133-1,-0.12726991
s_016um_00229_00267-1,-0.4662584
s_016um_00384_00130-1,-0.31039912
s_016um_00029_00331-1,-0.36066765
s_016um_00226_00332-1,-0.36506495
s_016um_00409_00152-1,-0.3533705
s_016um_00269_00037-1,-0.27827853
s_016um_00281_00315-1,-0.37764978
s_016um_00205_00148-1,-0.4868731
s_016um_00261_00190-1,-0.33643994
s_016um_00083_00030-1,-0.26615328
s_016um_00106_00320-1,-0.1826241
s_016um_00031_00087-1,-0.27615163
s_016um_00040_00041-1,-0.46132368
s_016um_00079_00268-1,-0.3799491
s_016um_00400_00123-1,-0.2634171
s_016um_00218_00010-1,-0.4759304
s_016um_00270_00331-1,-0.4025914
s_016um_00140_00018-1,-0.34904292
s_016um_00209_00033-1,-0.19847825
s_016um_00267_00063-1,0.3527557
s_016um_00041_00219-1,-0.20410044
s_016um_00106_00389-1,-0.38707495
