spot_id,predicted_protein_value
s_016um_00380_00137-1,0.114057496
s_016um_00037_00102-1,0.0846425
s_016um_00328_00304-1,0.11559389
s_016um_00343_00400-1,0.37513155
s_016um_00009_00155-1,0.074624054
s_016um_00009_00150-1,0.16226742
s_016um_00109_00316-1,-0.038582213
s_016um_00330_00253-1,0.14690651
s_016um_00366_00225-1,0.1289732
s_016um_00267_00058-1,0.18380629
s_016um_00274_00229-1,0.084113255
s_016um_00219_00167-1,0.05403411
s_016um_00209_00032-1,0.08153116
s_016um_00112_00314-1,0.028760463
s_016um_00122_00145-1,0.09268102
s_016um_00201_00148-1,0.03541654
s_016um_00232_00085-1,0.021919824
s_016um_00034_00102-1,0.12023054
s_016um_00080_00283-1,0.05529721
s_016um_00142_00062-1,0.09736887
s_016um_00242_00085-1,-0.024595745
s_016um_00382_00138-1,0.095282435
s_016um_00321_00227-1,0.09967716
s_016um_00081_00240-1,0.10625554
s_016um_00362_00411-1,0.4628404
s_016um_00323_00167-1,-0.0030902028
s_016um_00323_00162-1,0.13789791
s_016um_00394_00215-1,0.16365576
s_016um_00219_00026-1,0.1355542
s_016um_00363_00414-1,0.689233
s_016um_00233_00267-1,0.058292888
s_016um_00033_00089-1,0.087446555
s_016um_00082_00197-1,0.06940214
s_016um_00235_00090-1,0.15400772
s_016um_00127_00318-1,0.18088964
s_016um_00040_00098-1,0.089545265
s_016um_00217_00172-1,0.061739698
s_016um_00259_00034-1,0.07007897
s_016um_00276_00133-1,0.101523995
s_016um_00325_00123-1,0.055598326
s_016um_00341_00399-1,0.08854812
s_016um_00191_00093-1,0.12297747
s_016um_00129_00321-1,-0.055960216
s_016um_00263_00061-1,0.07063911
s_016um_00341_00215-1,0.047103066
s_016um_00270_00034-1,0.1024027
s_016um_00395_00365-1,0.26752248
s_016um_00083_00278-1,0.072106555
s_016um_00134_00321-1,0.3271975
s_016um_00038_00098-1,0.097273804
s_016um_00278_00048-1,0.121347874
s_016um_00120_00149-1,0.026922211
s_016um_00199_00149-1,0.023608021
s_016um_00275_00229-1,0.06168785
s_016um_00140_00022-1,0.074586235
s_016um_00080_00236-1,-0.07610076
s_016um_00367_00099-1,0.007584788
s_016um_00232_00263-1,0.07583847
s_016um_00166_00129-1,0.118220575
s_016um_00356_00115-1,0.07863078
s_016um_00230_00250-1,0.122009985
s_016um_00394_00181-1,0.06724293
s_016um_00137_00222-1,0.08382595
s_016um_00323_00228-1,0.058610488
s_016um_00343_00215-1,0.06860783
s_016um_00124_00383-1,-0.0075269043
s_016um_00111_00320-1,0.055678982
s_016um_00199_00148-1,0.048440624
s_016um_00034_00336-1,0.03306853
s_016um_00206_00149-1,-0.011420473
s_016um_00019_00265-1,0.005197756
s_016um_00026_00089-1,0.084400825
s_016um_00205_00153-1,0.1868365
s_016um_00385_00292-1,0.083471134
s_016um_00390_00181-1,0.037864
s_016um_00320_00166-1,0.05966867
s_016um_00385_00293-1,0.016120344
s_016um_00142_00218-1,0.054768205
s_016um_00130_00233-1,0.08014524
s_016um_00101_00030-1,0.09964737
s_016um_00216_00292-1,0.049189996
s_016um_00409_00101-1,0.13923039
s_016um_00028_00335-1,0.0501057
s_016um_00249_00020-1,0.036371183
s_016um_00260_00127-1,0.127259
s_016um_00217_00281-1,0.0931886
s_016um_00081_00296-1,0.027598709
s_016um_00368_00145-1,0.098419525
s_016um_00128_00316-1,0.22339585
s_016um_00270_00058-1,0.10281503
s_016um_00138_00074-1,0.1669277
s_016um_00236_00083-1,0.06417865
s_016um_00266_00059-1,0.13945717
s_016um_00076_00241-1,0.0016807616
s_016um_00320_00162-1,0.066728696
s_016um_00216_00295-1,0.10910342
s_016um_00043_00049-1,0.08099347
s_016um_00376_00119-1,0.13271356
s_016um_00099_00071-1,0.09956127
s_016um_00273_00132-1,0.03849303
s_016um_00145_00021-1,0.13545544
s_016um_00356_00410-1,0.6796788
s_016um_00098_00340-1,0.084650025
s_016um_00171_00128-1,0.052061953
s_016um_00203_00149-1,0.051241003
s_016um_00195_00090-1,0.0484857
s_016um_00098_00073-1,0.042922497
s_016um_00337_00255-1,0.11351743
s_016um_00401_00259-1,0.04712319
s_016um_00211_00289-1,0.06266193
s_016um_00372_00121-1,0.06566068
s_016um_00087_00194-1,0.052332528
s_016um_00220_00226-1,0.0827822
s_016um_00066_00126-1,0.060201634
s_016um_00251_00020-1,0.043082684
s_016um_00042_00044-1,0.0705501
s_016um_00098_00027-1,0.01791966
s_016um_00228_00249-1,0.037806936
s_016um_00038_00172-1,0.06380283
s_016um_00209_00296-1,0.064301305
s_016um_00106_00385-1,-0.023035474
s_016um_00084_00266-1,0.058286596
s_016um_00147_00399-1,0.030261196
s_016um_00398_00182-1,0.16628647
s_016um_00273_00052-1,-0.00360851
s_016um_00101_00023-1,0.045043334
s_016um_00378_00137-1,0.15371569
s_016um_00095_00277-1,0.046809535
s_016um_00141_00223-1,0.13525747
s_016um_00260_00133-1,0.11609849
s_016um_00272_00058-1,0.08282989
s_016um_00169_00370-1,0.099057846
s_016um_00353_00023-1,0.23086959
s_016um_00389_00292-1,0.085071675
s_016um_00253_00026-1,0.0683358
s_016um_00362_00226-1,0.07566094
s_016um_00079_00236-1,0.016178787
s_016um_00403_00150-1,0.099315025
s_016um_00046_00209-1,0.041389026
s_016um_00400_00402-1,2.5394187
s_016um_00219_00281-1,0.06703099
s_016um_00274_00225-1,0.111866
s_016um_00053_00248-1,0.1262229
s_016um_00081_00292-1,0.027396522
s_016um_00361_00290-1,-0.03471198
s_016um_00277_00327-1,0.052677516
s_016um_00138_00215-1,-0.107756786
s_016um_00074_00248-1,0.0053065494
s_016um_00083_00200-1,0.09907279
s_016um_00329_00218-1,0.10460453
s_016um_00005_00296-1,0.09085993
s_016um_00276_00208-1,0.07514343
s_016um_00039_00178-1,0.10840288
s_016um_00123_00386-1,0.017529845
s_016um_00143_00020-1,0.025133349
s_016um_00407_00401-1,1.901856
s_016um_00391_00343-1,0.6651402
s_016um_00031_00331-1,0.065212205
s_016um_00228_00237-1,0.05683552
s_016um_00218_00032-1,0.005947791
