spot_id,predicted_protein_value
s_016um_00380_00137-1,0.56171334
s_016um_00037_00102-1,0.52098864
s_016um_00328_00304-1,0.53446233
s_016um_00343_00400-1,0.69529575
s_016um_00009_00155-1,0.49930823
s_016um_00009_00150-1,0.5312152
s_016um_00109_00316-1,0.4484041
s_016um_00330_00253-1,0.57289165
s_016um_00366_00225-1,0.5808399
s_016um_00267_00058-1,0.57152945
s_016um_00274_00229-1,0.51236624
s_016um_00219_00167-1,0.52180123
s_016um_00209_00032-1,0.5346791
s_016um_00112_00314-1,0.49880168
s_016um_00122_00145-1,0.51930237
s_016um_00201_00148-1,0.49771807
s_016um_00232_00085-1,0.49884036
s_016um_00034_00102-1,0.5152573
s_016um_00080_00283-1,0.5211674
s_016um_00142_00062-1,0.5308771
s_016um_00242_00085-1,0.42799148
s_016um_00382_00138-1,0.5530948
s_016um_00321_00227-1,0.56123686
s_016um_00081_00240-1,0.53845674
s_016um_00362_00411-1,0.7183968
s_016um_00323_00167-1,0.44063118
s_016um_00323_00162-1,0.5655776
s_016um_00394_00215-1,0.61654377
s_016um_00219_00026-1,0.57042545
s_016um_00363_00414-1,0.76684946
s_016um_00233_00267-1,0.5499084
s_016um_00033_00089-1,0.509708
s_016um_00082_00197-1,0.54874355
s_016um_00235_00090-1,0.5708175
s_016um_00127_00318-1,0.5330111
s_016um_00040_00098-1,0.48154008
s_016um_00217_00172-1,0.55290306
s_016um_00259_00034-1,0.49497598
s_016um_00276_00133-1,0.54465467
s_016um_00325_00123-1,0.50804216
s_016um_00341_00399-1,0.53683054
s_016um_00191_00093-1,0.501117
s_016um_00129_00321-1,0.44733152
s_016um_00263_00061-1,0.5795746
s_016um_00341_00215-1,0.51111776
s_016um_00270_00034-1,0.5413588
s_016um_00395_00365-1,0.6521862
s_016um_00083_00278-1,0.5132196
s_016um_00134_00321-1,0.63682896
s_016um_00038_00098-1,0.5296297
s_016um_00278_00048-1,0.5374299
s_016um_00120_00149-1,0.47078845
s_016um_00199_00149-1,0.48008192
s_016um_00275_00229-1,0.47999877
s_016um_00140_00022-1,0.5458211
s_016um_00080_00236-1,0.44657072
s_016um_00367_00099-1,0.43364465
s_016um_00232_00263-1,0.55562574
s_016um_00166_00129-1,0.5473091
s_016um_00356_00115-1,0.5223946
s_016um_00230_00250-1,0.56241494
s_016um_00394_00181-1,0.49573255
s_016um_00137_00222-1,0.53541327
s_016um_00323_00228-1,0.5117759
s_016um_00343_00215-1,0.5166635
s_016um_00124_00383-1,0.4850127
s_016um_00111_00320-1,0.4485943
s_016um_00199_00148-1,0.5226114
s_016um_00034_00336-1,0.49634585
s_016um_00206_00149-1,0.4811988
s_016um_00019_00265-1,0.48868272
s_016um_00026_00089-1,0.550975
s_016um_00205_00153-1,0.56602
s_016um_00385_00292-1,0.49586034
s_016um_00390_00181-1,0.5101308
s_016um_00320_00166-1,0.49440372
s_016um_00385_00293-1,0.4832277
s_016um_00142_00218-1,0.44154546
s_016um_00130_00233-1,0.54706687
s_016um_00101_00030-1,0.5382163
s_016um_00216_00292-1,0.5110738
s_016um_00409_00101-1,0.54998493
s_016um_00028_00335-1,0.52047765
s_016um_00249_00020-1,0.5236146
s_016um_00260_00127-1,0.5377347
s_016um_00217_00281-1,0.4992509
s_016um_00081_00296-1,0.48671705
s_016um_00368_00145-1,0.5376755
s_016um_00128_00316-1,0.59777784
s_016um_00270_00058-1,0.5605912
s_016um_00138_00074-1,0.51312
s_016um_00236_00083-1,0.52050227
s_016um_00266_00059-1,0.592606
s_016um_00076_00241-1,0.46715578
s_016um_00320_00162-1,0.5287778
s_016um_00216_00295-1,0.50247437
s_016um_00043_00049-1,0.5165864
s_016um_00376_00119-1,0.5604567
s_016um_00099_00071-1,0.5067678
s_016um_00273_00132-1,0.5135025
s_016um_00145_00021-1,0.55263436
s_016um_00356_00410-1,0.83343923
s_016um_00098_00340-1,0.54874116
s_016um_00171_00128-1,0.49608582
s_016um_00203_00149-1,0.5233678
s_016um_00195_00090-1,0.49181053
s_016um_00098_00073-1,0.5217959
s_016um_00337_00255-1,0.56739366
s_016um_00401_00259-1,0.5182212
s_016um_00211_00289-1,0.5240243
s_016um_00372_00121-1,0.50452197
s_016um_00087_00194-1,0.506268
s_016um_00220_00226-1,0.48031718
s_016um_00066_00126-1,0.5057326
s_016um_00251_00020-1,0.4878284
s_016um_00042_00044-1,0.52362657
s_016um_00098_00027-1,0.49748936
s_016um_00228_00249-1,0.49999967
s_016um_00038_00172-1,0.5196728
s_016um_00209_00296-1,0.506415
s_016um_00106_00385-1,0.45095578
s_016um_00084_00266-1,0.50255775
s_016um_00147_00399-1,0.49056816
s_016um_00398_00182-1,0.598791
s_016um_00273_00052-1,0.5009193
s_016um_00101_00023-1,0.49361306
s_016um_00378_00137-1,0.57608604
s_016um_00095_00277-1,0.49013725
s_016um_00141_00223-1,0.5296903
s_016um_00260_00133-1,0.5346054
s_016um_00272_00058-1,0.5383752
s_016um_00169_00370-1,0.5410025
s_016um_00353_00023-1,0.577491
s_016um_00389_00292-1,0.5500601
s_016um_00253_00026-1,0.52573925
s_016um_00362_00226-1,0.520644
s_016um_00079_00236-1,0.5241748
s_016um_00403_00150-1,0.52410567
s_016um_00046_00209-1,0.49803883
s_016um_00400_00402-1,1.3975124
s_016um_00219_00281-1,0.53682923
s_016um_00274_00225-1,0.53895587
s_016um_00053_00248-1,0.48019502
s_016um_00081_00292-1,0.46915373
s_016um_00361_00290-1,0.48893163
s_016um_00277_00327-1,0.4900619
s_016um_00138_00215-1,0.4669016
s_016um_00074_00248-1,0.48147422
s_016um_00083_00200-1,0.52921754
s_016um_00329_00218-1,0.55609053
s_016um_00005_00296-1,0.54660577
s_016um_00276_00208-1,0.5278907
s_016um_00039_00178-1,0.5191649
s_016um_00123_00386-1,0.46207958
s_016um_00143_00020-1,0.4756283
s_016um_00407_00401-1,1.1879425
s_016um_00391_00343-1,0.77294433
s_016um_00031_00331-1,0.50876397
s_016um_00228_00237-1,0.5145973
s_016um_00218_00032-1,0.48018652
s_016um_00396_00220-1,0.51162016
s_016um_00215_00282-1,0.55922157
s_016um_00008_00153-1,0.5412656
s_016um_00102_00383-1,0.5017346
s_016um_00184_00028-1,0.56656224
s_016um_00266_00057-1,0.53461146
s_016um_00141_00060-1,0.56399053
s_016um_00193_00120-1,0.52529424
s_016um_00268_00332-1,0.517618
s_016um_00209_00031-1,0.5224074
s_016um_00354_00416-1,1.0934858
s_016um_00365_00098-1,0.5801908
s_016um_00041_00049-1,0.5681359
s_016um_00210_00296-1,0.5805003
s_016um_00089_00068-1,0.502508
s_016um_00245_00086-1,0.53470236
s_016um_00193_00130-1,0.5175475
s_016um_00126_00089-1,0.5044906
s_016um_00083_00071-1,0.5057033
s_016um_00235_00268-1,0.49950898
s_016um_00219_00280-1,0.49322408
s_016um_00079_00241-1,0.52875715
s_016um_00133_00230-1,0.5046989
s_016um_00257_00034-1,0.53984255
s_016um_00263_00187-1,0.5406527
s_016um_00394_00358-1,0.7544884
s_016um_00105_00384-1,0.49554828
s_016um_00129_00386-1,0.4963152
s_016um_00262_00186-1,0.5624886
s_016um_00417_00138-1,0.5059392
s_016um_00287_00092-1,0.5618292
s_016um_00177_00032-1,0.59291935
s_016um_00110_00318-1,0.51403975
s_016um_00218_00277-1,0.503601
s_016um_00260_00033-1,0.47228807
s_016um_00386_00295-1,0.5165123
s_016um_00360_00286-1,0.541219
s_016um_00030_00331-1,0.48540744
s_016um_00266_00332-1,0.51300174
s_016um_00197_00123-1,0.48337606
s_016um_00271_00221-1,0.5195503
s_016um_00265_00033-1,0.52234805
s_016um_00273_00201-1,0.4801526
s_016um_00359_00096-1,0.5252546
s_016um_00220_00030-1,0.53581345
s_016um_00097_00317-1,0.4751003
s_016um_00346_00212-1,0.51332426
s_016um_00389_00345-1,0.524401
s_016um_00067_00131-1,0.5455403
s_016um_00401_00403-1,1.1517844
s_016um_00214_00029-1,0.50994986
s_016um_00266_00036-1,0.552267
s_016um_00065_00235-1,0.56222975
s_016um_00037_00045-1,0.53355676
s_016um_00084_00029-1,0.55546236
s_016um_00265_00336-1,0.5426526
s_016um_00395_00217-1,0.5395326
s_016um_00214_00278-1,0.44524896
s_016um_00077_00293-1,0.52047825
s_016um_00280_00130-1,0.4654827
s_016um_00088_00267-1,0.57796
s_016um_00372_00120-1,0.5211702
s_016um_00109_00315-1,0.46464604
s_016um_00416_00142-1,0.5368977
s_016um_00282_00325-1,0.54046416
s_016um_00384_00128-1,0.5017429
s_016um_00102_00068-1,0.49175072
s_016um_00005_00299-1,0.4709821
s_016um_00361_00415-1,1.0924323
s_016um_00330_00214-1,0.5008264
s_016um_00265_00058-1,0.55353516
s_016um_00222_00031-1,0.555602
s_016um_00364_00228-1,0.5374562
s_016um_00381_00134-1,0.49532726
s_016um_00280_00204-1,0.5181173
s_016um_00146_00018-1,0.51017547
s_016um_00089_00067-1,0.51992077
s_016um_00130_00086-1,0.5078158
s_016um_00408_00098-1,0.5535763
s_016um_00060_00249-1,0.5493166
s_016um_00334_00215-1,0.49544293
s_016um_00095_00276-1,0.5107608
s_016um_00403_00120-1,0.5616557
s_016um_00267_00133-1,0.503109
s_016um_00229_00267-1,0.54569465
s_016um_00384_00130-1,0.55207634
s_016um_00029_00331-1,0.47228074
s_016um_00226_00332-1,0.49655902
s_016um_00409_00152-1,0.52965695
s_016um_00269_00037-1,0.550365
s_016um_00281_00315-1,0.50970984
s_016um_00205_00148-1,0.5601428
s_016um_00261_00190-1,0.4928648
s_016um_00083_00030-1,0.5309203
s_016um_00106_00320-1,0.48730037
s_016um_00031_00087-1,0.50440985
s_016um_00040_00041-1,0.48566163
s_016um_00079_00268-1,0.48553708
s_016um_00400_00123-1,0.5449786
s_016um_00218_00010-1,0.5059472
s_016um_00270_00331-1,0.57925504
s_016um_00140_00018-1,0.53386146
s_016um_00209_00033-1,0.569168
s_016um_00267_00063-1,0.42323968
s_016um_00041_00219-1,0.5237318
s_016um_00106_00389-1,0.5413977
s_016um_00355_00290-1,0.46771044
s_016um_00094_00337-1,0.52724046
s_016um_00035_00005-1,0.5364281
s_016um_00220_00278-1,0.49670365
s_016um_00275_00051-1,0.5637735
s_016um_00311_00054-1,0.50489503
s_016um_00402_00395-1,1.0503441
s_016um_00334_00402-1,0.5262557
s_016um_00125_00092-1,0.56474775
s_016um_00328_00121-1,0.515615
s_016um_00219_00012-1,0.45715043
s_016um_00402_00216-1,0.5073233
s_016um_00136_00069-1,0.4327637
s_016um_00140_00014-1,0.52198136
s_016um_00266_00330-1,0.56004333
s_016um_00131_00315-1,0.6072128
s_016um_00333_00210-1,0.4791188
s_016um_00356_00090-1,0.5533296
