spot_id,predicted_protein_value
s_016um_00380_00137-1,0.6520097
s_016um_00037_00102-1,0.6227121
s_016um_00328_00304-1,0.6396334
s_016um_00343_00400-1,0.79866874
s_016um_00009_00155-1,0.5848548
s_016um_00009_00150-1,0.60959
s_016um_00109_00316-1,0.55634105
s_016um_00330_00253-1,0.6547143
s_016um_00366_00225-1,0.66540337
s_016um_00267_00058-1,0.75286305
s_016um_00274_00229-1,0.5994159
s_016um_00219_00167-1,0.6333632
s_016um_00209_00032-1,0.6076174
s_016um_00112_00314-1,0.57815284
s_016um_00122_00145-1,0.61723685
s_016um_00201_00148-1,0.57772034
s_016um_00232_00085-1,0.5600429
s_016um_00034_00102-1,0.6254415
s_016um_00080_00283-1,0.6114618
s_016um_00142_00062-1,0.62664956
s_016um_00242_00085-1,0.53050846
s_016um_00382_00138-1,0.6356158
s_016um_00321_00227-1,0.6285393
s_016um_00081_00240-1,0.6349409
s_016um_00362_00411-1,0.8508955
s_016um_00323_00167-1,0.5692525
s_016um_00323_00162-1,0.6731136
s_016um_00394_00215-1,0.6319499
s_016um_00219_00026-1,0.65669113
s_016um_00363_00414-1,0.99437773
s_016um_00233_00267-1,0.5902657
s_016um_00033_00089-1,0.6053407
s_016um_00082_00197-1,0.70034367
s_016um_00235_00090-1,0.5611512
s_016um_00127_00318-1,0.6741503
s_016um_00040_00098-1,0.59632003
s_016um_00217_00172-1,0.6114297
s_016um_00259_00034-1,0.5893191
s_016um_00276_00133-1,0.6208171
s_016um_00325_00123-1,0.60442185
s_016um_00341_00399-1,0.6446239
s_016um_00191_00093-1,0.5945443
s_016um_00129_00321-1,0.5371049
s_016um_00263_00061-1,0.63897896
s_016um_00341_00215-1,0.615536
s_016um_00270_00034-1,0.63226056
s_016um_00395_00365-1,0.7268334
s_016um_00083_00278-1,0.5965843
s_016um_00134_00321-1,0.8665325
s_016um_00038_00098-1,0.63365513
s_016um_00278_00048-1,0.6258039
s_016um_00120_00149-1,0.5396375
s_016um_00199_00149-1,0.56460595
s_016um_00275_00229-1,0.58093953
s_016um_00140_00022-1,0.6351566
s_016um_00080_00236-1,0.6589376
s_016um_00367_00099-1,0.77750593
s_016um_00232_00263-1,0.65127033
s_016um_00166_00129-1,0.6217179
s_016um_00356_00115-1,0.6432028
s_016um_00230_00250-1,0.65056044
s_016um_00394_00181-1,0.59645283
s_016um_00137_00222-1,0.6160072
s_016um_00323_00228-1,0.6007202
s_016um_00343_00215-1,0.61125565
s_016um_00124_00383-1,0.58188397
s_016um_00111_00320-1,0.6789795
s_016um_00199_00148-1,0.61025506
s_016um_00034_00336-1,0.59088755
s_016um_00206_00149-1,0.57389855
s_016um_00019_00265-1,0.6417206
s_016um_00026_00089-1,0.6345154
s_016um_00205_00153-1,0.6735402
