spot_id,predicted_protein_value
s_016um_00380_00137-1,0.74264413
s_016um_00037_00102-1,0.7002061
s_016um_00328_00304-1,0.75427455
s_016um_00343_00400-1,1.0240189
s_016um_00009_00155-1,0.7165314
s_016um_00009_00150-1,0.7570103
s_016um_00109_00316-1,0.6277386
s_016um_00330_00253-1,0.7548156
s_016um_00366_00225-1,0.7851098
s_016um_00267_00058-1,0.8846555
s_016um_00274_00229-1,0.7606681
s_016um_00219_00167-1,0.7356286
s_016um_00209_00032-1,0.7122582
s_016um_00112_00314-1,0.6694649
s_016um_00122_00145-1,0.7385303
s_016um_00201_00148-1,0.67223346
s_016um_00232_00085-1,0.6698748
s_016um_00034_00102-1,0.78429234
s_016um_00080_00283-1,0.7036275
s_016um_00142_00062-1,0.74979115
s_016um_00242_00085-1,0.605889
s_016um_00382_00138-1,0.7215126
s_016um_00321_00227-1,0.7538253
s_016um_00081_00240-1,0.75922906
s_016um_00362_00411-1,1.0470281
s_016um_00323_00167-1,0.6385195
s_016um_00323_00162-1,0.7986846
s_016um_00394_00215-1,0.83754754
s_016um_00219_00026-1,0.7834597
s_016um_00363_00414-1,1.2727745
s_016um_00233_00267-1,0.7058042
s_016um_00033_00089-1,0.72756517
s_016um_00082_00197-1,0.8085754
s_016um_00235_00090-1,0.8367359
s_016um_00127_00318-1,0.85349935
s_016um_00040_00098-1,0.7964275
s_016um_00217_00172-1,0.71005994
s_016um_00259_00034-1,0.74165326
s_016um_00276_00133-1,0.73894465
s_016um_00325_00123-1,0.6732557
s_016um_00341_00399-1,0.7435514
s_016um_00191_00093-1,0.74014693
s_016um_00129_00321-1,0.5754716
s_016um_00263_00061-1,0.7213388
s_016um_00341_00215-1,0.7156847
s_016um_00270_00034-1,0.74461925
s_016um_00395_00365-1,0.9145618
s_016um_00083_00278-1,0.70619714
s_016um_00134_00321-1,1.1956954
s_016um_00038_00098-1,0.74158996
s_016um_00278_00048-1,0.74901897
s_016um_00120_00149-1,0.6517205
s_016um_00199_00149-1,0.6675651
s_016um_00275_00229-1,0.7139908
s_016um_00140_00022-1,0.72571737
s_016um_00080_00236-1,0.715381
s_016um_00367_00099-1,0.71765155
s_016um_00232_00263-1,0.7049284
s_016um_00166_00129-1,0.8029585
s_016um_00356_00115-1,0.7414461
s_016um_00230_00250-1,0.7576884
s_016um_00394_00181-1,0.68178797
s_016um_00137_00222-1,0.72625697
s_016um_00323_00228-1,0.6846164
s_016um_00343_00215-1,0.6943856
s_016um_00124_00383-1,0.6281371
s_016um_00111_00320-1,0.7860446
s_016um_00199_00148-1,0.7030983
s_016um_00034_00336-1,0.665743
s_016um_00206_00149-1,0.6787031
s_016um_00019_00265-1,0.69577026
s_016um_00026_00089-1,0.7264394
s_016um_00205_00153-1,0.79338527
s_016um_00385_00292-1,0.70700103
s_016um_00390_00181-1,0.6908949
s_016um_00320_00166-1,0.71904606
s_016um_00385_00293-1,0.6270916
s_016um_00142_00218-1,0.6929231
s_016um_00130_00233-1,0.7158828
s_016um_00101_00030-1,0.74455655
s_016um_00216_00292-1,0.6931625
s_016um_00409_00101-1,0.7737199
s_016um_00028_00335-1,0.6977323
s_016um_00249_00020-1,0.7312965
s_016um_00260_00127-1,0.7192265
