spot_id,predicted_protein_value
s_016um_00380_00137-1,1.2599574
s_016um_00037_00102-1,1.2838607
s_016um_00328_00304-1,1.2749162
s_016um_00343_00400-1,1.4389096
s_016um_00009_00155-1,1.2833873
s_016um_00009_00150-1,1.3145629
s_016um_00109_00316-1,1.0979762
s_016um_00330_00253-1,1.3094893
s_016um_00366_00225-1,1.3293823
s_016um_00267_00058-1,1.2431146
s_016um_00274_00229-1,1.2692423
s_016um_00219_00167-1,1.257696
s_016um_00209_00032-1,1.2626764
s_016um_00112_00314-1,1.1929086
s_016um_00122_00145-1,1.2813224
s_016um_00201_00148-1,1.2472895
s_016um_00232_00085-1,1.1183414
s_016um_00034_00102-1,1.3392441
s_016um_00080_00283-1,1.2607586
s_016um_00142_00062-1,1.3148962
s_016um_00242_00085-1,1.1296581
s_016um_00382_00138-1,1.2871068
s_016um_00321_00227-1,1.253219
s_016um_00081_00240-1,1.2868785
s_016um_00362_00411-1,1.4469633
s_016um_00323_00167-1,1.0706482
s_016um_00323_00162-1,1.2966268
s_016um_00394_00215-1,1.3241944
s_016um_00219_00026-1,1.3138312
s_016um_00363_00414-1,1.6146553
s_016um_00233_00267-1,1.2320136
s_016um_00033_00089-1,1.2488549
s_016um_00082_00197-1,1.2317139
s_016um_00235_00090-1,1.2813376
s_016um_00127_00318-1,1.3597455
s_016um_00040_00098-1,1.3221275
s_016um_00217_00172-1,1.2700915
s_016um_00259_00034-1,1.2552323
s_016um_00276_00133-1,1.2495892
s_016um_00325_00123-1,1.257705
s_016um_00341_00399-1,1.2465869
s_016um_00191_00093-1,1.2588899
s_016um_00129_00321-1,1.0929273
s_016um_00263_00061-1,1.1732545
s_016um_00341_00215-1,1.2603024
s_016um_00270_00034-1,1.2676159
s_016um_00395_00365-1,1.4520473
s_016um_00083_00278-1,1.2650783
s_016um_00134_00321-1,1.225343
s_016um_00038_00098-1,1.3211573
s_016um_00278_00048-1,1.2323496
s_016um_00120_00149-1,1.166273
s_016um_00199_00149-1,1.2156057
s_016um_00275_00229-1,1.2439218
s_016um_00140_00022-1,1.2672392
s_016um_00080_00236-1,1.0385058
s_016um_00367_00099-1,1.207399
s_016um_00232_00263-1,1.23871
s_016um_00166_00129-1,1.2894214
s_016um_00356_00115-1,1.2468085
s_016um_00230_00250-1,1.3568676
s_016um_00394_00181-1,1.2015904
s_016um_00137_00222-1,1.2830447
s_016um_00323_00228-1,1.2628092
s_016um_00343_00215-1,1.2383087
s_016um_00124_00383-1,1.1720635
s_016um_00111_00320-1,1.1910597
s_016um_00199_00148-1,1.2236205
s_016um_00034_00336-1,1.2009537
s_016um_00206_00149-1,1.1568152
s_016um_00019_00265-1,1.2105697
s_016um_00026_00089-1,1.2954744
s_016um_00205_00153-1,1.3154516
s_016um_00385_00292-1,1.1598389
s_016um_00390_00181-1,1.1647966
s_016um_00320_00166-1,1.2436111
s_016um_00385_00293-1,1.1544502
s_016um_00142_00218-1,1.0887517
s_016um_00130_00233-1,1.2556689
s_016um_00101_00030-1,1.3688774
s_016um_00216_00292-1,1.2382283
s_016um_00409_00101-1,1.2816964
s_016um_00028_00335-1,1.2435044
s_016um_00249_00020-1,1.213129
s_016um_00260_00127-1,1.2618546
s_016um_00217_00281-1,1.2502303
s_016um_00081_00296-1,1.2515656
s_016um_00368_00145-1,1.3079271
s_016um_00128_00316-1,1.3404869
s_016um_00270_00058-1,1.3085549
s_016um_00138_00074-1,1.2748463
s_016um_00236_00083-1,1.2398376
s_016um_00266_00059-1,1.2373754
s_016um_00076_00241-1,1.1891826
s_016um_00320_00162-1,1.252463
s_016um_00216_00295-1,1.2868099
s_016um_00043_00049-1,1.2918562
s_016um_00376_00119-1,1.2712411
s_016um_00099_00071-1,1.2909914
s_016um_00273_00132-1,1.2500362
s_016um_00145_00021-1,1.3644214
s_016um_00356_00410-1,1.5825353
s_016um_00098_00340-1,1.2819067
s_016um_00171_00128-1,1.2223647
s_016um_00203_00149-1,1.2387997
s_016um_00195_00090-1,1.2398554
s_016um_00098_00073-1,1.2587447
s_016um_00337_00255-1,1.285365
s_016um_00401_00259-1,1.2202435
s_016um_00211_00289-1,1.2421032
s_016um_00372_00121-1,1.2360996
s_016um_00087_00194-1,1.2442564
s_016um_00220_00226-1,1.2815092
s_016um_00066_00126-1,1.2950568
s_016um_00251_00020-1,1.2799815
s_016um_00042_00044-1,1.302713
s_016um_00098_00027-1,1.205045
s_016um_00228_00249-1,1.2590307
s_016um_00038_00172-1,1.2783319
s_016um_00209_00296-1,1.2546229
s_016um_00106_00385-1,1.1450776
s_016um_00084_00266-1,1.2179112
s_016um_00147_00399-1,1.1753881
s_016um_00398_00182-1,1.3262385
s_016um_00273_00052-1,1.1447198
s_016um_00101_00023-1,1.2547898
s_016um_00378_00137-1,1.2907313
s_016um_00095_00277-1,1.2378845
s_016um_00141_00223-1,1.2768211
s_016um_00260_00133-1,1.2579733
s_016um_00272_00058-1,1.2623994
s_016um_00169_00370-1,1.3197541
s_016um_00353_00023-1,1.2494771
s_016um_00389_00292-1,1.2689488
s_016um_00253_00026-1,1.2362169
s_016um_00362_00226-1,1.3096694
s_016um_00079_00236-1,1.197067
s_016um_00403_00150-1,1.2880644
s_016um_00046_00209-1,1.2052816
s_016um_00400_00402-1,2.2434506
s_016um_00219_00281-1,1.2877586
s_016um_00274_00225-1,1.2996072
s_016um_00053_00248-1,1.2814807
s_016um_00081_00292-1,1.1373925
s_016um_00361_00290-1,1.1156518
s_016um_00277_00327-1,1.2433228
s_016um_00138_00215-1,1.0905145
s_016um_00074_00248-1,1.1934052
s_016um_00083_00200-1,1.2542452
s_016um_00329_00218-1,1.3006704
s_016um_00005_00296-1,1.3240911
s_016um_00276_00208-1,1.2749116
s_016um_00039_00178-1,1.2652258
s_016um_00123_00386-1,1.1573017
s_016um_00143_00020-1,1.2037404
s_016um_00407_00401-1,2.0377398
s_016um_00391_00343-1,1.5853491
s_016um_00031_00331-1,1.2162238
s_016um_00228_00237-1,1.271444
s_016um_00218_00032-1,1.169745
s_016um_00396_00220-1,1.1778549
s_016um_00215_00282-1,1.2689438
s_016um_00008_00153-1,1.3313149
s_016um_00102_00383-1,1.2372173
s_016um_00184_00028-1,1.230863
s_016um_00266_00057-1,1.2274841
s_016um_00141_00060-1,1.3665315
s_016um_00193_00120-1,1.1910207
s_016um_00268_00332-1,1.2396727
s_016um_00209_00031-1,1.251556
s_016um_00354_00416-1,1.8965833
s_016um_00365_00098-1,1.326064
s_016um_00041_00049-1,1.3789408
s_016um_00210_00296-1,1.3421632
s_016um_00089_00068-1,1.2535847
s_016um_00245_00086-1,1.1923789
s_016um_00193_00130-1,1.2011576
s_016um_00126_00089-1,1.2068112
s_016um_00083_00071-1,1.3270137
s_016um_00235_00268-1,1.282364
s_016um_00219_00280-1,1.2408648
s_016um_00079_00241-1,1.2860596
s_016um_00133_00230-1,1.2061493
s_016um_00257_00034-1,1.2885023
s_016um_00263_00187-1,1.2321515
s_016um_00394_00358-1,1.4571152
s_016um_00105_00384-1,1.2024268
s_016um_00129_00386-1,1.1907308
s_016um_00262_00186-1,1.1919497
s_016um_00417_00138-1,1.2296187
s_016um_00287_00092-1,1.2498212
s_016um_00177_00032-1,1.2390231
s_016um_00110_00318-1,1.2480135
s_016um_00218_00277-1,1.237707
s_016um_00260_00033-1,1.1865367
s_016um_00386_00295-1,1.2588364
s_016um_00360_00286-1,1.224188
s_016um_00030_00331-1,1.1918517
s_016um_00266_00332-1,1.2473947
s_016um_00197_00123-1,1.1268922
s_016um_00271_00221-1,1.2629497
s_016um_00265_00033-1,1.2028207
s_016um_00273_00201-1,1.1699708
s_016um_00359_00096-1,1.1566983
s_016um_00220_00030-1,1.2808784
s_016um_00097_00317-1,1.145443
s_016um_00346_00212-1,1.2035224
s_016um_00389_00345-1,1.2883381
s_016um_00067_00131-1,1.3548908
s_016um_00401_00403-1,1.992446
s_016um_00214_00029-1,1.2673038
s_016um_00266_00036-1,1.2757522
s_016um_00065_00235-1,1.2603357
s_016um_00037_00045-1,1.307906
s_016um_00084_00029-1,1.3614955
s_016um_00265_00336-1,1.2548523
s_016um_00395_00217-1,1.2829561
s_016um_00214_00278-1,1.1842353
s_016um_00077_00293-1,1.2884483
s_016um_00280_00130-1,1.1034684
s_016um_00088_00267-1,1.3267089
s_016um_00372_00120-1,1.2405099
