spot_id,predicted_protein_value
s_016um_00380_00137-1,1.3171417
s_016um_00037_00102-1,1.2878015
s_016um_00328_00304-1,1.3238157
s_016um_00343_00400-1,1.6593394
s_016um_00009_00155-1,1.3509902
s_016um_00009_00150-1,1.3975687
s_016um_00109_00316-1,1.1412139
s_016um_00330_00253-1,1.349811
s_016um_00366_00225-1,1.359612
s_016um_00267_00058-1,1.378909
s_016um_00274_00229-1,1.3346435
s_016um_00219_00167-1,1.3996468
s_016um_00209_00032-1,1.3196211
s_016um_00112_00314-1,1.2511331
s_016um_00122_00145-1,1.3895892
s_016um_00201_00148-1,1.2620332
s_016um_00232_00085-1,1.1628333
s_016um_00034_00102-1,1.4586303
s_016um_00080_00283-1,1.3017921
s_016um_00142_00062-1,1.4036717
s_016um_00242_00085-1,1.2630917
s_016um_00382_00138-1,1.2818897
s_016um_00321_00227-1,1.2725892
s_016um_00081_00240-1,1.291381
s_016um_00362_00411-1,1.6762192
s_016um_00323_00167-1,1.2217171
s_016um_00323_00162-1,1.3927798
s_016um_00394_00215-1,1.3311212
s_016um_00219_00026-1,1.3790462
s_016um_00363_00414-1,2.0945103
s_016um_00233_00267-1,1.2975317
s_016um_00033_00089-1,1.3837194
s_016um_00082_00197-1,1.4359235
s_016um_00235_00090-1,1.391833
s_016um_00127_00318-1,1.5365294
s_016um_00040_00098-1,1.4589859
s_016um_00217_00172-1,1.2205346
s_016um_00259_00034-1,1.3015858
s_016um_00276_00133-1,1.3103966
s_016um_00325_00123-1,1.2578897
s_016um_00341_00399-1,1.3331895
s_016um_00191_00093-1,1.2766771
s_016um_00129_00321-1,1.1193414
s_016um_00263_00061-1,1.2437985
s_016um_00341_00215-1,1.3250993
s_016um_00270_00034-1,1.2714992
s_016um_00395_00365-1,1.5025806
s_016um_00083_00278-1,1.3522142
s_016um_00134_00321-1,1.1251547
s_016um_00038_00098-1,1.362986
s_016um_00278_00048-1,1.2734271
s_016um_00120_00149-1,1.1683564
s_016um_00199_00149-1,1.2470715
s_016um_00275_00229-1,1.3122178
s_016um_00140_00022-1,1.263179
s_016um_00080_00236-1,1.1900144
s_016um_00367_00099-1,1.3977512
s_016um_00232_00263-1,1.1744876
s_016um_00166_00129-1,1.397517
s_016um_00356_00115-1,1.3610046
s_016um_00230_00250-1,1.3808937
s_016um_00394_00181-1,1.2078711
s_016um_00137_00222-1,1.3434151
s_016um_00323_00228-1,1.327244
s_016um_00343_00215-1,1.1679972
s_016um_00124_00383-1,1.1530606
s_016um_00111_00320-1,1.3732605
s_016um_00199_00148-1,1.2369639
s_016um_00034_00336-1,1.2132918
s_016um_00206_00149-1,1.2347519
s_016um_00019_00265-1,1.3208817
s_016um_00026_00089-1,1.2363552
s_016um_00205_00153-1,1.3030223
s_016um_00385_00292-1,1.3262827
s_016um_00390_00181-1,1.1804576
s_016um_00320_00166-1,1.2991325
s_016um_00385_00293-1,1.1013116
s_016um_00142_00218-1,1.246677
s_016um_00130_00233-1,1.2000827
s_016um_00101_00030-1,1.4728395
s_016um_00216_00292-1,1.2442669
s_016um_00409_00101-1,1.2623298
s_016um_00028_00335-1,1.2391356
s_016um_00249_00020-1,1.1941046
s_016um_00260_00127-1,1.2411854
s_016um_00217_00281-1,1.2812726
s_016um_00081_00296-1,1.2907484
s_016um_00368_00145-1,1.3624812
s_016um_00128_00316-1,1.4679681
s_016um_00270_00058-1,1.4601965
s_016um_00138_00074-1,1.3421882
s_016um_00236_00083-1,1.3571255
s_016um_00266_00059-1,1.2184026
s_016um_00076_00241-1,1.2864027
s_016um_00320_00162-1,1.3145077
s_016um_00216_00295-1,1.205088
s_016um_00043_00049-1,1.3950499
s_016um_00376_00119-1,1.329756
s_016um_00099_00071-1,1.3734956
s_016um_00273_00132-1,1.2909946
s_016um_00145_00021-1,1.3726022
s_016um_00356_00410-1,1.8965409
s_016um_00098_00340-1,1.358454
s_016um_00171_00128-1,1.3040682
s_016um_00203_00149-1,1.3284901
s_016um_00195_00090-1,1.3624762
s_016um_00098_00073-1,1.3378185
s_016um_00337_00255-1,1.3430295
s_016um_00401_00259-1,1.2322903
s_016um_00211_00289-1,1.2064058
s_016um_00372_00121-1,1.208035
s_016um_00087_00194-1,1.2917877
s_016um_00220_00226-1,1.3605965
s_016um_00066_00126-1,1.2962768
s_016um_00251_00020-1,1.4408765
s_016um_00042_00044-1,1.3122667
s_016um_00098_00027-1,1.2806634
s_016um_00228_00249-1,1.2283189
s_016um_00038_00172-1,1.2858965
