spot_id,predicted_protein_value
s_016um_00380_00137-1,-1.6625944
s_016um_00037_00102-1,-1.4226671
s_016um_00328_00304-1,-1.5865808
s_016um_00343_00400-1,-2.4516234
s_016um_00009_00155-1,-1.3556806
s_016um_00009_00150-1,-1.487949
s_016um_00109_00316-1,-1.1883389
s_016um_00330_00253-1,-1.6750444
s_016um_00366_00225-1,-1.6663313
s_016um_00267_00058-1,-2.0617354
s_016um_00274_00229-1,-1.3565532
s_016um_00219_00167-1,-1.514045
s_016um_00209_00032-1,-1.490074
s_016um_00112_00314-1,-1.2838454
s_016um_00122_00145-1,-1.4980298
s_016um_00201_00148-1,-1.3049808
s_016um_00232_00085-1,-1.3910652
s_016um_00034_00102-1,-1.4983178
s_016um_00080_00283-1,-1.3919944
s_016um_00142_00062-1,-1.5082341
s_016um_00242_00085-1,-1.212779
s_016um_00382_00138-1,-1.5232527
s_016um_00321_00227-1,-1.6074333
s_016um_00081_00240-1,-1.6029792
s_016um_00362_00411-1,-2.7883816
s_016um_00323_00167-1,-1.3852332
s_016um_00323_00162-1,-1.7351344
s_016um_00394_00215-1,-1.8281091
s_016um_00219_00026-1,-1.6909163
s_016um_00363_00414-1,-3.562844
s_016um_00233_00267-1,-1.3928385
s_016um_00033_00089-1,-1.4342992
s_016um_00082_00197-1,-1.821717
s_016um_00235_00090-1,-1.7262111
s_016um_00127_00318-1,-1.7057184
s_016um_00040_00098-1,-1.6188104
s_016um_00217_00172-1,-1.4563761
s_016um_00259_00034-1,-1.373646
s_016um_00276_00133-1,-1.63279
s_016um_00325_00123-1,-1.3664827
s_016um_00341_00399-1,-1.6777368
s_016um_00191_00093-1,-1.4096344
s_016um_00129_00321-1,-1.0372806
s_016um_00263_00061-1,-1.6339678
s_016um_00341_00215-1,-1.509098
s_016um_00270_00034-1,-1.6170889
s_016um_00395_00365-1,-2.07115
s_016um_00083_00278-1,-1.4248984
s_016um_00134_00321-1,-2.4645343
s_016um_00038_00098-1,-1.4902716
s_016um_00278_00048-1,-1.5068394
s_016um_00120_00149-1,-1.2031367
s_016um_00199_00149-1,-1.2131344
s_016um_00275_00229-1,-1.4057533
s_016um_00140_00022-1,-1.6969544
s_016um_00080_00236-1,-1.5053798
s_016um_00367_00099-1,-1.7008212
s_016um_00232_00263-1,-1.6318816
s_016um_00166_00129-1,-1.7910526
s_016um_00356_00115-1,-1.6214192
s_016um_00230_00250-1,-1.5338945
s_016um_00394_00181-1,-1.3644769
s_016um_00137_00222-1,-1.5281934
s_016um_00323_00228-1,-1.4080085
s_016um_00343_00215-1,-1.3180406
s_016um_00124_00383-1,-1.2104588
s_016um_00111_00320-1,-1.6973274
s_016um_00199_00148-1,-1.4410243
s_016um_00034_00336-1,-1.3179827
s_016um_00206_00149-1,-1.4011606
s_016um_00019_00265-1,-1.6219918
s_016um_00026_00089-1,-1.5177302
s_016um_00205_00153-1,-1.6576108
s_016um_00385_00292-1,-1.6555208
s_016um_00390_00181-1,-1.3469284
s_016um_00320_00166-1,-1.3578866
s_016um_00385_00293-1,-1.1539315
s_016um_00142_00218-1,-1.3380839
s_016um_00130_00233-1,-1.412726
s_016um_00101_00030-1,-1.6156693
s_016um_00216_00292-1,-1.3664696
s_016um_00409_00101-1,-1.6752551
s_016um_00028_00335-1,-1.4654222
s_016um_00249_00020-1,-1.6187063
s_016um_00260_00127-1,-1.5020562
s_016um_00217_00281-1,-1.382144
s_016um_00081_00296-1,-1.2084341
s_016um_00368_00145-1,-1.4601804
s_016um_00128_00316-1,-1.8445268
s_016um_00270_00058-1,-1.7203674
s_016um_00138_00074-1,-1.4033365
s_016um_00236_00083-1,-1.4169532
s_016um_00266_00059-1,-1.7849807
s_016um_00076_00241-1,-1.2413286
s_016um_00320_00162-1,-1.5058032
s_016um_00216_00295-1,-1.3069551
s_016um_00043_00049-1,-1.4907272
s_016um_00376_00119-1,-1.6808529
s_016um_00099_00071-1,-1.4285163
s_016um_00273_00132-1,-1.3298128
s_016um_00145_00021-1,-1.662121
s_016um_00356_00410-1,-3.1001549
s_016um_00098_00340-1,-1.5388926
s_016um_00171_00128-1,-1.2762067
s_016um_00203_00149-1,-1.4980347
s_016um_00195_00090-1,-1.3496875
s_016um_00098_00073-1,-1.4158138
s_016um_00337_00255-1,-1.6111995
s_016um_00401_00259-1,-1.4305314
s_016um_00211_00289-1,-1.3813487
s_016um_00372_00121-1,-1.3882774
s_016um_00087_00194-1,-1.3763251
s_016um_00220_00226-1,-1.3694751
s_016um_00066_00126-1,-1.3263747
s_016um_00251_00020-1,-1.4121757
s_016um_00042_00044-1,-1.3129704
s_016um_00098_00027-1,-1.3984264
s_016um_00228_00249-1,-1.2163336
s_016um_00038_00172-1,-1.4477786
s_016um_00209_00296-1,-1.3754922
s_016um_00106_00385-1,-1.087368
s_016um_00084_00266-1,-1.3748978
s_016um_00147_00399-1,-1.3059518
s_016um_00398_00182-1,-1.6905816
s_016um_00273_00052-1,-1.4314771
s_016um_00101_00023-1,-1.3698529
s_016um_00378_00137-1,-1.6480391
s_016um_00095_00277-1,-1.323393
s_016um_00141_00223-1,-1.7005497
s_016um_00260_00133-1,-1.4034748
s_016um_00272_00058-1,-1.4631798
s_016um_00169_00370-1,-1.4962901
s_016um_00353_00023-1,-1.9287977
s_016um_00389_00292-1,-1.5354567
s_016um_00253_00026-1,-1.4432361
s_016um_00362_00226-1,-1.433011
s_016um_00079_00236-1,-1.5487913
s_016um_00403_00150-1,-1.4661963
s_016um_00046_00209-1,-1.4286275
s_016um_00400_00402-1,-7.024251
s_016um_00219_00281-1,-1.3954872
s_016um_00274_00225-1,-1.4786016
s_016um_00053_00248-1,-1.7190006
s_016um_00081_00292-1,-1.1636033
s_016um_00361_00290-1,-1.4387902
s_016um_00277_00327-1,-1.4974929
s_016um_00138_00215-1,-1.4726496
s_016um_00074_00248-1,-1.177284
s_016um_00083_00200-1,-1.4971119
s_016um_00329_00218-1,-1.5457221
s_016um_00005_00296-1,-1.5173426
s_016um_00276_00208-1,-1.3526804
s_016um_00039_00178-1,-1.3440746
s_016um_00123_00386-1,-1.340792
s_016um_00143_00020-1,-1.4433379
s_016um_00407_00401-1,-5.740156
s_016um_00391_00343-1,-3.0092945
s_016um_00031_00331-1,-1.4207903
s_016um_00228_00237-1,-1.4013658
s_016um_00218_00032-1,-1.2465575
s_016um_00396_00220-1,-1.3415419
s_016um_00215_00282-1,-1.6797687
s_016um_00008_00153-1,-1.5306486
s_016um_00102_00383-1,-1.2651623
s_016um_00184_00028-1,-1.655268
s_016um_00266_00057-1,-1.6805586
s_016um_00141_00060-1,-1.6237803
s_016um_00193_00120-1,-1.5151047
s_016um_00268_00332-1,-1.3805754
s_016um_00209_00031-1,-1.5887579
s_016um_00354_00416-1,-4.8568354
s_016um_00365_00098-1,-1.6475694
s_016um_00041_00049-1,-1.6461613
s_016um_00210_00296-1,-1.6659998
s_016um_00089_00068-1,-1.3034425
s_016um_00245_00086-1,-1.4287271
s_016um_00193_00130-1,-1.473716
s_016um_00126_00089-1,-1.4562316
s_016um_00083_00071-1,-1.7007923
s_016um_00235_00268-1,-1.3784142
s_016um_00219_00280-1,-1.4671327
s_016um_00079_00241-1,-1.5980896
s_016um_00133_00230-1,-1.3495065
s_016um_00257_00034-1,-1.5930189
s_016um_00263_00187-1,-1.6079223
s_016um_00394_00358-1,-2.570406
s_016um_00105_00384-1,-1.3209746
s_016um_00129_00386-1,-1.4420733
s_016um_00262_00186-1,-1.7396688
s_016um_00417_00138-1,-1.3455578
s_016um_00287_00092-1,-1.6232932
s_016um_00177_00032-1,-2.0582328
s_016um_00110_00318-1,-1.3750719
s_016um_00218_00277-1,-1.3396907
s_016um_00260_00033-1,-1.3297386
s_016um_00386_00295-1,-1.444857
s_016um_00360_00286-1,-1.5806116
s_016um_00030_00331-1,-1.277449
s_016um_00266_00332-1,-1.459849
s_016um_00197_00123-1,-1.3899163
s_016um_00271_00221-1,-1.4272579
s_016um_00265_00033-1,-1.4883636
s_016um_00273_00201-1,-1.1087658
s_016um_00359_00096-1,-1.462298
s_016um_00220_00030-1,-1.4394034
s_016um_00097_00317-1,-1.2293963
s_016um_00346_00212-1,-1.3887786
s_016um_00389_00345-1,-1.5554231
s_016um_00067_00131-1,-1.5394678
s_016um_00401_00403-1,-5.7921667
s_016um_00214_00029-1,-1.6466352
s_016um_00266_00036-1,-1.5128994
s_016um_00065_00235-1,-1.6887491
s_016um_00037_00045-1,-1.5608591
s_016um_00084_00029-1,-1.8231673
s_016um_00265_00336-1,-1.4709969
s_016um_00395_00217-1,-1.5739677
s_016um_00214_00278-1,-1.1298908
s_016um_00077_00293-1,-1.7487144
s_016um_00280_00130-1,-1.198343
s_016um_00088_00267-1,-1.7547185
s_016um_00372_00120-1,-1.3989995
s_016um_00109_00315-1,-1.3730919
s_016um_00416_00142-1,-1.459185
s_016um_00282_00325-1,-1.5220443
s_016um_00384_00128-1,-1.367404
s_016um_00102_00068-1,-1.4204544
s_016um_00005_00299-1,-1.177964
s_016um_00361_00415-1,-4.807151
s_016um_00330_00214-1,-1.5949116
s_016um_00265_00058-1,-1.7235637
s_016um_00222_00031-1,-1.4892297
s_016um_00364_00228-1,-1.3605406
s_016um_00381_00134-1,-1.4057268
s_016um_00280_00204-1,-1.3771884
s_016um_00146_00018-1,-1.3332369
s_016um_00089_00067-1,-1.5505536
s_016um_00130_00086-1,-1.5084834
s_016um_00408_00098-1,-1.4332454
s_016um_00060_00249-1,-1.6350107
s_016um_00334_00215-1,-1.3875136
s_016um_00095_00276-1,-1.3396056
s_016um_00403_00120-1,-1.6395283
s_016um_00267_00133-1,-1.404035
s_016um_00229_00267-1,-1.5202973
s_016um_00384_00130-1,-1.4565035
s_016um_00029_00331-1,-1.2147546
s_016um_00226_00332-1,-1.3169084
s_016um_00409_00152-1,-1.4131136
s_016um_00269_00037-1,-1.4142394
s_016um_00281_00315-1,-1.411406
s_016um_00205_00148-1,-1.5716081
s_016um_00261_00190-1,-1.485632
s_016um_00083_00030-1,-1.5315509
s_016um_00106_00320-1,-1.3201512
s_016um_00031_00087-1,-1.4433422
s_016um_00040_00041-1,-1.3257265
s_016um_00079_00268-1,-1.2646428
s_016um_00400_00123-1,-1.6135175
s_016um_00218_00010-1,-1.4119912
s_016um_00270_00331-1,-1.734575
s_016um_00140_00018-1,-1.5461913
s_016um_00209_00033-1,-1.670029
s_016um_00267_00063-1,-1.2835891
s_016um_00041_00219-1,-1.4294102
s_016um_00106_00389-1,-1.4418604
s_016um_00355_00290-1,-1.1917827
s_016um_00094_00337-1,-1.3780674
s_016um_00035_00005-1,-1.7413111
s_016um_00220_00278-1,-1.2532707
s_016um_00275_00051-1,-1.463098
s_016um_00311_00054-1,-1.4376667
s_016um_00402_00395-1,-4.591174
s_016um_00334_00402-1,-1.9639704
s_016um_00125_00092-1,-1.6705357
s_016um_00328_00121-1,-1.5433238
s_016um_00219_00012-1,-1.2797148
s_016um_00402_00216-1,-1.4511178
s_016um_00136_00069-1,-1.5507716
s_016um_00140_00014-1,-1.4096869
s_016um_00266_00330-1,-1.6208566
s_016um_00131_00315-1,-2.1340988
s_016um_00333_00210-1,-1.2814438
s_016um_00356_00090-1,-1.6180109
s_016um_00092_00320-1,-1.5744165
s_016um_00120_00148-1,-1.3724353
s_016um_00138_00076-1,-1.5950594
s_016um_00077_00236-1,-1.2822442
s_016um_00268_00230-1,-1.5056347
s_016um_00381_00139-1,-1.3019029
s_016um_00235_00362-1,-1.7215354
s_016um_00223_00230-1,-1.3942112
s_016um_00138_00221-1,-1.7449892
s_016um_00390_00338-1,-1.9828639
s_016um_00008_00295-1,-1.4168893
s_016um_00079_00280-1,-1.4422755
s_016um_00277_00201-1,-1.3321117
s_016um_00399_00122-1,-1.4108852
s_016um_00308_00052-1,-1.3713301
s_016um_00357_00120-1,-1.7085372
s_016um_00071_00236-1,-1.680376
s_016um_00367_00224-1,-1.444171
s_016um_00145_00062-1,-1.3281909
s_016um_00085_00279-1,-1.5290956
s_016um_00278_00138-1,-1.4788623
s_016um_00044_00244-1,-1.3445709
s_016um_00261_00335-1,-1.5909334
s_016um_00180_00033-1,-1.4871142
s_016um_00088_00265-1,-1.2187192
s_016um_00130_00317-1,-2.4933028
s_016um_00323_00163-1,-1.3512412
s_016um_00359_00294-1,-1.576889
s_016um_00219_00030-1,-1.3500725
s_016um_00048_00217-1,-1.5563765
s_016um_00008_00214-1,-1.2416599
s_016um_00098_00315-1,-1.3571695
s_016um_00259_00189-1,-1.4420762
s_016um_00278_00316-1,-1.1353245
s_016um_00126_00088-1,-1.6659913
s_016um_00261_00127-1,-1.4847306
s_016um_00402_00121-1,-1.4377964
s_016um_00081_00271-1,-1.3714435
s_016um_00236_00188-1,-1.3744345
s_016um_00370_00228-1,-1.4243387
s_016um_00129_00085-1,-1.3006225
s_016um_00030_00329-1,-1.3030267
s_016um_00059_00244-1,-1.8905528
s_016um_00040_00009-1,-1.384455
s_016um_00041_00178-1,-1.4282792
s_016um_00272_00033-1,-1.8822944
s_016um_00393_00363-1,-2.2252245
s_016um_00094_00272-1,-1.7746935
s_016um_00353_00025-1,-1.5334635
s_016um_00163_00123-1,-1.5480388
s_016um_00085_00286-1,-1.2378963
s_016um_00033_00104-1,-1.2951934
s_016um_00146_00059-1,-1.825855
s_016um_00073_00249-1,-1.3676134
s_016um_00144_00398-1,-1.6097101
s_016um_00106_00388-1,-1.6351355
s_016um_00095_00318-1,-1.5641079
s_016um_00280_00329-1,-1.2773968
s_016um_00383_00130-1,-1.4324728
s_016um_00061_00130-1,-1.6648364
s_016um_00396_00219-1,-1.5491171
s_016um_00336_00251-1,-1.7055434
s_016um_00086_00029-1,-1.1751468
s_016um_00227_00251-1,-1.4408224
s_016um_00045_00210-1,-1.5337313
s_016um_00145_00059-1,-1.2893732
s_016um_00312_00059-1,-1.2271371
s_016um_00376_00120-1,-1.5466354
s_016um_00148_00396-1,-1.7144661
s_016um_00168_00371-1,-1.1952612
s_016um_00279_00325-1,-1.5171666
s_016um_00273_00333-1,-1.5235847
s_016um_00355_00123-1,-1.6514388
s_016um_00325_00231-1,-1.2440848
s_016um_00267_00130-1,-1.5398582
s_016um_00237_00188-1,-1.5544834
s_016um_00384_00295-1,-1.2481006
s_016um_00033_00088-1,-1.669726
s_016um_00076_00296-1,-1.4065281
s_016um_00077_00299-1,-1.6107892
s_016um_00131_00389-1,-1.5234339
s_016um_00278_00130-1,-1.3195539
s_016um_00040_00214-1,-1.4834578
s_016um_00238_00188-1,-1.5550706
s_016um_00128_00383-1,-1.371662
s_016um_00396_00363-1,-1.8465989
s_016um_00011_00154-1,-1.5429559
s_016um_00262_00127-1,-1.4052026
s_016um_00354_00024-1,-1.3815968
s_016um_00130_00232-1,-1.2272099
s_016um_00265_00054-1,-1.2629961
s_016um_00234_00260-1,-1.3028237
s_016um_00392_00360-1,-1.788222
s_016um_00311_00056-1,-1.6244818
s_016um_00127_00383-1,-1.4147394
s_016um_00085_00278-1,-1.5407221
s_016um_00265_00335-1,-1.2966913
s_016um_00133_00320-1,-2.6965227
s_016um_00017_00272-1,-1.4044379
s_016um_00046_00241-1,-1.4692348
s_016um_00216_00012-1,-1.8291239
s_016um_00329_00228-1,-1.3537005
s_016um_00042_00210-1,-1.5701207
s_016um_00093_00317-1,-1.3696817
s_016um_00078_00252-1,-1.2633307
s_016um_00081_00243-1,-1.2925682
s_016um_00259_00132-1,-1.2360073
s_016um_00046_00219-1,-1.5173701
s_016um_00351_00117-1,-1.510981
s_016um_00229_00331-1,-1.5856016
s_016um_00241_00189-1,-1.3660852
s_016um_00173_00371-1,-2.3320491
s_016um_00028_00091-1,-1.5200132
s_016um_00220_00015-1,-1.572561
s_016um_00076_00249-1,-1.2897435
s_016um_00277_00136-1,-1.5632342
s_016um_00351_00019-1,-1.4558532
s_016um_00358_00090-1,-1.5875183
s_016um_00374_00121-1,-1.4631597
s_016um_00185_00030-1,-1.5517902
s_016um_00346_00215-1,-1.3410201
s_016um_00210_00030-1,-1.3853756
s_016um_00399_00371-1,-1.4437103
s_016um_00367_00227-1,-1.4837731
s_016um_00081_00195-1,-2.2427874
s_016um_00014_00212-1,-2.0865178
s_016um_00339_00400-1,-1.8006935
s_016um_00086_00265-1,-1.6030002
s_016um_00277_00326-1,-1.719724
s_016um_00072_00245-1,-1.2093141
s_016um_00082_00238-1,-1.5192263
s_016um_00183_00027-1,-1.4720886
s_016um_00371_00120-1,-1.6590431
s_016um_00220_00236-1,-1.5866666
s_016um_00401_00368-1,-1.7351915
s_016um_00136_00075-1,-1.4447981
s_016um_00341_00219-1,-1.3459307
s_016um_00264_00132-1,-1.4203278
