spot_id,predicted_protein_value
s_016um_00380_00137-1,-1.1545324
s_016um_00037_00102-1,-1.1176373
s_016um_00328_00304-1,-1.0910949
s_016um_00343_00400-1,-1.1062918
s_016um_00009_00155-1,-1.1130289
s_016um_00009_00150-1,-1.1066638
s_016um_00109_00316-1,-1.1888716
s_016um_00330_00253-1,-1.1330124
s_016um_00366_00225-1,-1.0911776
s_016um_00267_00058-1,-0.9150473
s_016um_00274_00229-1,-1.0961075
s_016um_00219_00167-1,-1.1567618
s_016um_00209_00032-1,-1.1312014
s_016um_00112_00314-1,-1.1728035
s_016um_00122_00145-1,-1.1246406
s_016um_00201_00148-1,-1.1462334
s_016um_00232_00085-1,-1.2033622
s_016um_00034_00102-1,-1.0684617
s_016um_00080_00283-1,-1.118997
s_016um_00142_00062-1,-1.1066997
s_016um_00242_00085-1,-1.1568934
s_016um_00382_00138-1,-1.1199846
s_016um_00321_00227-1,-1.1481718
s_016um_00081_00240-1,-1.1338747
s_016um_00362_00411-1,-1.1279234
s_016um_00323_00167-1,-1.1878326
s_016um_00323_00162-1,-1.0671197
s_016um_00394_00215-1,-1.1480932
s_016um_00219_00026-1,-1.100014
s_016um_00363_00414-1,-1.0911881
s_016um_00233_00267-1,-1.1522739
s_016um_00033_00089-1,-1.1250242
s_016um_00082_00197-1,-1.044113
s_016um_00235_00090-1,-1.0895784
s_016um_00127_00318-1,-1.1016133
s_016um_00040_00098-1,-1.0999699
s_016um_00217_00172-1,-1.1694595
s_016um_00259_00034-1,-1.1290755
s_016um_00276_00133-1,-1.1593574
s_016um_00325_00123-1,-1.1629338
s_016um_00341_00399-1,-1.1873337
s_016um_00191_00093-1,-1.1228995
s_016um_00129_00321-1,-1.2187337
s_016um_00263_00061-1,-1.1781702
s_016um_00341_00215-1,-1.1186306
s_016um_00270_00034-1,-1.1415957
s_016um_00395_00365-1,-1.0839108
s_016um_00083_00278-1,-1.1240592
s_016um_00134_00321-1,-0.85442555
s_016um_00038_00098-1,-1.1090237
s_016um_00278_00048-1,-1.1089725
s_016um_00120_00149-1,-1.1739671
s_016um_00199_00149-1,-1.1412791
s_016um_00275_00229-1,-1.1273146
s_016um_00140_00022-1,-1.1396662
s_016um_00080_00236-1,-1.0836247
s_016um_00367_00099-1,-0.91866475
s_016um_00232_00263-1,-1.2355434
s_016um_00166_00129-1,-1.1643735
s_016um_00356_00115-1,-1.1417902
s_016um_00230_00250-1,-1.1352301
s_016um_00394_00181-1,-1.1486279
s_016um_00137_00222-1,-1.1460514
s_016um_00323_00228-1,-1.1792264
s_016um_00343_00215-1,-1.1302067
s_016um_00124_00383-1,-1.1538057
s_016um_00111_00320-1,-0.99107
s_016um_00199_00148-1,-1.1273686
s_016um_00034_00336-1,-1.1482954
s_016um_00206_00149-1,-1.1268247
s_016um_00019_00265-1,-1.1607109
s_016um_00026_00089-1,-1.1514788
s_016um_00205_00153-1,-1.1004269
s_016um_00385_00292-1,-1.1447031
s_016um_00390_00181-1,-1.1389009
s_016um_00320_00166-1,-1.1251283
s_016um_00385_00293-1,-1.171561
s_016um_00142_00218-1,-1.0826254
s_016um_00130_00233-1,-1.1387683
s_016um_00101_00030-1,-1.10399
s_016um_00216_00292-1,-1.1574875
s_016um_00409_00101-1,-1.11532
s_016um_00028_00335-1,-1.1848922
s_016um_00249_00020-1,-1.0723302
s_016um_00260_00127-1,-1.1488494
s_016um_00217_00281-1,-1.0985259
s_016um_00081_00296-1,-1.1634345
s_016um_00368_00145-1,-1.1232673
s_016um_00128_00316-1,-1.0940384
s_016um_00270_00058-1,-1.106828
s_016um_00138_00074-1,-1.0985667
s_016um_00236_00083-1,-1.1548867
s_016um_00266_00059-1,-0.9906995
s_016um_00076_00241-1,-1.1727195
s_016um_00320_00162-1,-1.1285256
s_016um_00216_00295-1,-1.1091999
s_016um_00043_00049-1,-1.1009612
s_016um_00376_00119-1,-1.1171666
s_016um_00099_00071-1,-1.1085914
s_016um_00273_00132-1,-1.155041
s_016um_00145_00021-1,-1.085579
s_016um_00356_00410-1,-1.1544892
s_016um_00098_00340-1,-1.1099036
s_016um_00171_00128-1,-1.1580598
s_016um_00203_00149-1,-1.1765933
s_016um_00195_00090-1,-1.1443987
s_016um_00098_00073-1,-1.1269815
s_016um_00337_00255-1,-1.1496692
s_016um_00401_00259-1,-1.1494057
s_016um_00211_00289-1,-1.1245873
s_016um_00372_00121-1,-1.1684601
s_016um_00087_00194-1,-1.1570294
s_016um_00220_00226-1,-1.1351537
s_016um_00066_00126-1,-1.1441805
s_016um_00251_00020-1,-1.1162971
s_016um_00042_00044-1,-1.0884113
s_016um_00098_00027-1,-1.1975673
s_016um_00228_00249-1,-1.1331958
s_016um_00038_00172-1,-1.1279213
