spot_id,predicted_protein_value
s_016um_00380_00137-1,-3.4935293
s_016um_00037_00102-1,-3.1790936
s_016um_00328_00304-1,-3.2589617
s_016um_00343_00400-1,-3.755623
s_016um_00009_00155-1,-3.2598093
s_016um_00009_00150-1,-3.2812083
s_016um_00109_00316-1,-3.4360542
s_016um_00330_00253-1,-3.2131648
s_016um_00366_00225-1,-3.2658644
s_016um_00267_00058-1,-4.4899096
s_016um_00274_00229-1,-3.4703932
s_016um_00219_00167-1,-3.5392733
s_016um_00209_00032-1,-3.264652
s_016um_00112_00314-1,-3.3797376
s_016um_00122_00145-1,-3.4557717
s_016um_00201_00148-1,-3.248377
s_016um_00232_00085-1,-3.586256
s_016um_00034_00102-1,-3.4171612
s_016um_00080_00283-1,-3.2980986
s_016um_00142_00062-1,-3.5465202
s_016um_00242_00085-1,-3.6834288
s_016um_00382_00138-1,-3.1296787
s_016um_00321_00227-1,-3.4043167
s_016um_00081_00240-1,-3.2728405
s_016um_00362_00411-1,-3.5252721
s_016um_00323_00167-1,-3.8458436
s_016um_00323_00162-1,-3.4992924
s_016um_00394_00215-1,-3.2079291
s_016um_00219_00026-1,-3.3228467
s_016um_00363_00414-1,-3.4474285
s_016um_00233_00267-1,-3.4065719
s_016um_00033_00089-1,-3.492935
s_016um_00082_00197-1,-3.953408
s_016um_00235_00090-1,-3.5838807
s_016um_00127_00318-1,-3.5667708
s_016um_00040_00098-1,-3.6264138
s_016um_00217_00172-1,-3.1912632
s_016um_00259_00034-1,-3.477951
s_016um_00276_00133-1,-3.43607
s_016um_00325_00123-1,-3.16645
s_016um_00341_00399-1,-3.4696784
s_016um_00191_00093-1,-3.5140886
s_016um_00129_00321-1,-3.560457
s_016um_00263_00061-1,-3.5687623
s_016um_00341_00215-1,-3.6041386
s_016um_00270_00034-1,-3.5848386
s_016um_00395_00365-1,-3.3595889
s_016um_00083_00278-1,-3.2962914
s_016um_00134_00321-1,-4.58799
s_016um_00038_00098-1,-3.2754931
s_016um_00278_00048-1,-3.5556066
s_016um_00120_00149-1,-3.3468204
s_016um_00199_00149-1,-3.2916553
s_016um_00275_00229-1,-3.4208655
s_016um_00140_00022-1,-3.523669
s_016um_00080_00236-1,-4.691227
s_016um_00367_00099-1,-4.1098948
s_016um_00232_00263-1,-3.1730435
s_016um_00166_00129-1,-3.3327327
s_016um_00356_00115-1,-3.387206
