spot_id,predicted_protein_value
s_016um_00380_00137-1,0.27826023
s_016um_00037_00102-1,0.04228364
s_016um_00328_00304-1,0.13133147
s_016um_00343_00400-1,0.7601047
s_016um_00009_00155-1,-0.0129722655
s_016um_00009_00150-1,0.12426059
s_016um_00109_00316-1,0.041886434
s_016um_00330_00253-1,0.18099977
s_016um_00366_00225-1,0.12527287
s_016um_00267_00058-1,0.8561744
s_016um_00274_00229-1,0.10177633
s_016um_00219_00167-1,0.1925654
s_016um_00209_00032-1,0.11264505
s_016um_00112_00314-1,-0.00013008714
s_016um_00122_00145-1,0.12999676
s_016um_00201_00148-1,-0.004278615
s_016um_00232_00085-1,0.14897344
s_016um_00034_00102-1,0.21125656
s_016um_00080_00283-1,0.0022254437
s_016um_00142_00062-1,0.091143265
s_016um_00242_00085-1,0.2611356
s_016um_00382_00138-1,0.016960949
s_016um_00321_00227-1,0.22427289
s_016um_00081_00240-1,0.18482
s_016um_00362_00411-1,0.99699605
s_016um_00323_00167-1,0.32688528
s_016um_00323_00162-1,0.3497803
s_016um_00394_00215-1,0.3118405
s_016um_00219_00026-1,0.16812856
s_016um_00363_00414-1,1.6335086
s_016um_00233_00267-1,0.12485482
s_016um_00033_00089-1,0.15588741
s_016um_00082_00197-1,0.5486544
s_016um_00235_00090-1,0.5258513
s_016um_00127_00318-1,0.33209664
s_016um_00040_00098-1,0.22161528
s_016um_00217_00172-1,0.036350325
s_016um_00259_00034-1,0.19887371
s_016um_00276_00133-1,0.2158048
s_016um_00325_00123-1,0.022344574
s_016um_00341_00399-1,0.26640752
s_016um_00191_00093-1,0.031884655
s_016um_00129_00321-1,0.02268155
s_016um_00263_00061-1,0.3062024
s_016um_00341_00215-1,0.16198355
s_016um_00270_00034-1,0.09792464
s_016um_00395_00365-1,0.32079303
s_016um_00083_00278-1,0.067886844
s_016um_00134_00321-1,1.5055801
s_016um_00038_00098-1,0.08345979
s_016um_00278_00048-1,0.19569366
s_016um_00120_00149-1,-0.03268604
s_016um_00199_00149-1,-0.059164673
s_016um_00275_00229-1,0.13820106
s_016um_00140_00022-1,0.32779932
s_016um_00080_00236-1,0.5679834
s_016um_00367_00099-1,0.6982406
s_016um_00232_00263-1,0.10970983
s_016um_00166_00129-1,0.26254874
s_016um_00356_00115-1,0.20922393
s_016um_00230_00250-1,0.00860855
s_016um_00394_00181-1,0.05735781
s_016um_00137_00222-1,0.20176838
s_016um_00323_00228-1,0.09956361
s_016um_00343_00215-1,-0.039669886
s_016um_00124_00383-1,-0.051937625
s_016um_00111_00320-1,0.8590586
s_016um_00199_00148-1,0.06727951
s_016um_00034_00336-1,0.057327285
s_016um_00206_00149-1,0.2959309
s_016um_00019_00265-1,0.30641848
s_016um_00026_00089-1,-0.011172384
s_016um_00205_00153-1,0.13986078
s_016um_00385_00292-1,0.50633705
s_016um_00390_00181-1,0.12887953
s_016um_00320_00166-1,0.11739905
s_016um_00385_00293-1,-0.06205055
s_016um_00142_00218-1,0.41126722
s_016um_00130_00233-1,-0.022719264
s_016um_00101_00030-1,0.14427303
s_016um_00216_00292-1,-0.00339292
s_016um_00409_00101-1,0.13080281
s_016um_00028_00335-1,0.029015943
s_016um_00249_00020-1,0.370976
s_016um_00260_00127-1,0.039439693
s_016um_00217_00281-1,0.08310548
s_016um_00081_00296-1,-0.035765946
s_016um_00368_00145-1,0.088592626
s_016um_00128_00316-1,0.36391833
s_016um_00270_00058-1,0.29228467
s_016um_00138_00074-1,0.058843046
