spot_id,predicted_protein_value
s_016um_00380_00137-1,1.1064472
s_016um_00037_00102-1,1.0860031
s_016um_00328_00304-1,1.1114471
s_016um_00343_00400-1,1.3538997
s_016um_00009_00155-1,1.0868222
s_016um_00009_00150-1,1.1265187
s_016um_00109_00316-1,0.9287527
s_016um_00330_00253-1,1.1376663
s_016um_00366_00225-1,1.1531204
s_016um_00267_00058-1,1.1292709
s_016um_00274_00229-1,1.0919791
s_016um_00219_00167-1,1.1043668
s_016um_00209_00032-1,1.0863456
s_016um_00112_00314-1,1.0191635
s_016um_00122_00145-1,1.1069696
s_016um_00201_00148-1,1.0604838
s_016um_00232_00085-1,0.974009
s_016um_00034_00102-1,1.1673218
s_016um_00080_00283-1,1.0674901
s_016um_00142_00062-1,1.1275903
s_016um_00242_00085-1,0.96889454
s_016um_00382_00138-1,1.0863005
s_016um_00321_00227-1,1.1034576
s_016um_00081_00240-1,1.1157287
s_016um_00362_00411-1,1.3723714
s_016um_00323_00167-1,0.9426024
s_016um_00323_00162-1,1.1453758
s_016um_00394_00215-1,1.169647
s_016um_00219_00026-1,1.1451865
s_016um_00363_00414-1,1.6224926
s_016um_00233_00267-1,1.071732
s_016um_00033_00089-1,1.0773315
s_016um_00082_00197-1,1.1162807
s_016um_00235_00090-1,1.1402111
s_016um_00127_00318-1,1.2119179
s_016um_00040_00098-1,1.1574268
s_016um_00217_00172-1,1.070736
s_016um_00259_00034-1,1.0807542
s_016um_00276_00133-1,1.0933783
s_016um_00325_00123-1,1.0699788
s_016um_00341_00399-1,1.0965875
s_016um_00191_00093-1,1.0633249
s_016um_00129_00321-1,0.9172948
s_016um_00263_00061-1,1.04263
s_016um_00341_00215-1,1.0869788
s_016um_00270_00034-1,1.0969688
s_016um_00395_00365-1,1.297662
s_016um_00083_00278-1,1.0731802
s_016um_00134_00321-1,1.1919954
s_016um_00038_00098-1,1.1333001
s_016um_00278_00048-1,1.0655266
s_016um_00120_00149-1,0.981337
s_016um_00199_00149-1,1.0240198
s_016um_00275_00229-1,1.0644001
s_016um_00140_00022-1,1.0995957
s_016um_00080_00236-1,0.9550549
s_016um_00367_00099-1,1.0859545
s_016um_00232_00263-1,1.0874512
s_016um_00166_00129-1,1.1390817
s_016um_00356_00115-1,1.0996865
s_016um_00230_00250-1,1.1633192
s_016um_00394_00181-1,1.0251014
s_016um_00137_00222-1,1.1300176
s_016um_00323_00228-1,1.088052
s_016um_00343_00215-1,1.0326902
s_016um_00124_00383-1,0.9781216
s_016um_00111_00320-1,1.1011585
s_016um_00199_00148-1,1.0525422
s_016um_00034_00336-1,1.0234818
s_016um_00206_00149-1,0.99818367
s_016um_00019_00265-1,1.054002
s_016um_00026_00089-1,1.090999
s_016um_00205_00153-1,1.1319325
s_016um_00385_00292-1,1.0462599
s_016um_00390_00181-1,1.0084635
s_016um_00320_00166-1,1.0661385
s_016um_00385_00293-1,0.9631534
s_016um_00142_00218-1,0.95531523
s_016um_00130_00233-1,1.0610442
s_016um_00101_00030-1,1.2078979
s_016um_00216_00292-1,1.0487645
s_016um_00409_00101-1,1.1144699
s_016um_00028_00335-1,1.0613962
s_016um_00249_00020-1,1.0417281
s_016um_00260_00127-1,1.0791194
s_016um_00217_00281-1,1.0677232
s_016um_00081_00296-1,1.0500643
s_016um_00368_00145-1,1.0957832
s_016um_00128_00316-1,1.2104181
s_016um_00270_00058-1,1.1653496
s_016um_00138_00074-1,1.0811357
s_016um_00236_00083-1,1.081012
s_016um_00266_00059-1,1.1092122
s_016um_00076_00241-1,1.0141835
s_016um_00320_00162-1,1.0768676
s_016um_00216_00295-1,1.062555
s_016um_00043_00049-1,1.1200843
s_016um_00376_00119-1,1.1237637
s_016um_00099_00071-1,1.118336
s_016um_00273_00132-1,1.0541939
s_016um_00145_00021-1,1.1577197
s_016um_00356_00410-1,1.5417053
s_016um_00098_00340-1,1.1386575
s_016um_00171_00128-1,1.0258297
s_016um_00203_00149-1,1.0562011
s_016um_00195_00090-1,1.060577
s_016um_00098_00073-1,1.061381
s_016um_00337_00255-1,1.1097771
s_016um_00401_00259-1,1.050754
s_016um_00211_00289-1,1.0441444
s_016um_00372_00121-1,1.0460732
s_016um_00087_00194-1,1.0629175
s_016um_00220_00226-1,1.0839523
