spot_id,predicted_protein_value
s_016um_00380_00137-1,2.183581
s_016um_00037_00102-1,2.2730384
s_016um_00328_00304-1,2.2835727
s_016um_00343_00400-1,2.4273858
s_016um_00009_00155-1,2.259594
s_016um_00009_00150-1,2.2890074
s_016um_00109_00316-1,2.1158955
s_016um_00330_00253-1,2.338169
s_016um_00366_00225-1,2.333794
s_016um_00267_00058-1,2.1706953
s_016um_00274_00229-1,2.2291446
s_016um_00219_00167-1,2.1849148
s_016um_00209_00032-1,2.1816487
s_016um_00112_00314-1,2.1498005
s_016um_00122_00145-1,2.2285995
s_016um_00201_00148-1,2.1802778
s_016um_00232_00085-1,2.0934405
s_016um_00034_00102-1,2.207562
s_016um_00080_00283-1,2.231188
s_016um_00142_00062-1,2.2264535
s_016um_00242_00085-1,2.0213273
s_016um_00382_00138-1,2.2496214
s_016um_00321_00227-1,2.2326627
s_016um_00081_00240-1,2.2819567
s_016um_00362_00411-1,2.4395614
s_016um_00323_00167-1,1.9177673
s_016um_00323_00162-1,2.2994542
s_016um_00394_00215-1,2.3574636
s_016um_00219_00026-1,2.2422256
s_016um_00363_00414-1,2.87339
s_016um_00233_00267-1,2.1934218
s_016um_00033_00089-1,2.1722517
s_016um_00082_00197-1,2.184801
s_016um_00235_00090-1,2.2293165
s_016um_00127_00318-1,2.4036584
s_016um_00040_00098-1,2.2823648
s_016um_00217_00172-1,2.2310498
s_016um_00259_00034-1,2.1997082
s_016um_00276_00133-1,2.1707401
s_016um_00325_00123-1,2.2332368
s_016um_00341_00399-1,2.187631
s_016um_00191_00093-1,2.1668766
s_016um_00129_00321-1,2.051862
s_016um_00263_00061-1,2.0352962
s_016um_00341_00215-1,2.1435025
s_016um_00270_00034-1,2.1800904
s_016um_00395_00365-1,2.447305
s_016um_00083_00278-1,2.226559
s_016um_00134_00321-1,2.3639774
s_016um_00038_00098-1,2.3202207
s_016um_00278_00048-1,2.1423416
s_016um_00120_00149-1,2.1208906
s_016um_00199_00149-1,2.187618
s_016um_00275_00229-1,2.260465
s_016um_00140_00022-1,2.1861672
s_016um_00080_00236-1,2.0415628
s_016um_00367_00099-1,2.1037776
s_016um_00232_00263-1,2.2536566
s_016um_00166_00129-1,2.2490335
s_016um_00356_00115-1,2.202264
s_016um_00230_00250-1,2.3433356
s_016um_00394_00181-1,2.2009134
s_016um_00137_00222-1,2.2017245
s_016um_00323_00228-1,2.212826
s_016um_00343_00215-1,2.2413774
s_016um_00124_00383-1,2.1746297
s_016um_00111_00320-1,2.2234526
s_016um_00199_00148-1,2.1624615
s_016um_00034_00336-1,2.1825294
s_016um_00206_00149-1,2.1147428
s_016um_00019_00265-1,2.175228
s_016um_00026_00089-1,2.2888174
s_016um_00205_00153-1,2.2709007
s_016um_00385_00292-1,2.1838174
