spot_id,predicted_protein_value
s_016um_00380_00137-1,-0.49766874
s_016um_00037_00102-1,0.3162107
s_016um_00328_00304-1,0.0017879456
s_016um_00343_00400-1,-1.2962798
s_016um_00009_00155-1,0.092415944
s_016um_00009_00150-1,0.11972894
s_016um_00109_00316-1,-0.34000564
s_016um_00330_00253-1,0.11779265
s_016um_00366_00225-1,0.14519323
s_016um_00267_00058-1,-1.4961258
s_016um_00274_00229-1,0.0141953975
s_016um_00219_00167-1,-0.3507581
s_016um_00209_00032-1,0.12801988
s_016um_00112_00314-1,-0.08583525
s_016um_00122_00145-1,-0.18728733
s_016um_00201_00148-1,0.11000107
s_016um_00232_00085-1,-0.39288497
s_016um_00034_00102-1,-0.06579229
s_016um_00080_00283-1,0.066365466
s_016um_00142_00062-1,0.013748124
s_016um_00242_00085-1,-0.7819932
s_016um_00382_00138-1,0.17030285
s_016um_00321_00227-1,-0.31580883
s_016um_00081_00240-1,-0.045719475
s_016um_00362_00411-1,-1.2343051
s_016um_00323_00167-1,-0.79600006
s_016um_00323_00162-1,-0.39180428
s_016um_00394_00215-1,-0.29854366
s_016um_00219_00026-1,0.07201366
s_016um_00363_00414-1,-2.2334254
s_016um_00233_00267-1,-0.23318128
s_016um_00033_00089-1,-0.29696065
s_016um_00082_00197-1,-0.5939216
s_016um_00235_00090-1,-0.40371394
s_016um_00127_00318-1,-0.583717
s_016um_00040_00098-1,-0.46274686
s_016um_00217_00172-1,0.09090938
s_016um_00259_00034-1,-0.29080537
s_016um_00276_00133-1,-0.27518287
s_016um_00325_00123-1,0.25711882
s_016um_00341_00399-1,-0.28593612
s_016um_00191_00093-1,-0.056157768
s_016um_00129_00321-1,-0.23501013
s_016um_00263_00061-1,-0.53172815
s_016um_00341_00215-1,-0.16840252
s_016um_00270_00034-1,-0.26101416
s_016um_00395_00365-1,-0.13235995
s_016um_00083_00278-1,0.011447951
s_016um_00134_00321-1,-2.7202032
s_016um_00038_00098-1,0.15933342
s_016um_00278_00048-1,-0.59613603
s_016um_00120_00149-1,-0.08015961
s_016um_00199_00149-1,0.03727746
s_016um_00275_00229-1,-0.1340588
s_016um_00140_00022-1,0.18042763
s_016um_00080_00236-1,-1.3060106
s_016um_00367_00099-1,-0.6883038
s_016um_00232_00263-1,-0.027659789
s_016um_00166_00129-1,0.06677957
s_016um_00356_00115-1,-0.12508863
s_016um_00230_00250-1,0.24436577
s_016um_00394_00181-1,-0.07946592
s_016um_00137_00222-1,-0.30800447
s_016um_00323_00228-1,0.19920413
s_016um_00343_00215-1,0.14987601
s_016um_00124_00383-1,0.07972641
s_016um_00111_00320-1,-1.1991261
s_016um_00199_00148-1,-0.037036523
s_016um_00034_00336-1,-0.06523022
s_016um_00206_00149-1,-0.33184102
s_016um_00019_00265-1,-0.4386223
s_016um_00026_00089-1,0.49905205
s_016um_00205_00153-1,-0.05994089
s_016um_00385_00292-1,-0.7016987
s_016um_00390_00181-1,-0.3460213
s_016um_00320_00166-1,-0.08462119
s_016um_00385_00293-1,-0.05412467
s_016um_00142_00218-1,-1.2687367
s_016um_00130_00233-1,0.098606154
s_016um_00101_00030-1,-0.10551846
s_016um_00216_00292-1,0.2864532
s_016um_00409_00101-1,-0.0036643296
s_016um_00028_00335-1,0.14028947
s_016um_00249_00020-1,-0.21634136
s_016um_00260_00127-1,0.14551781
s_016um_00217_00281-1,-0.055399954
s_016um_00081_00296-1,0.10703866
s_016um_00368_00145-1,0.044959888
s_016um_00128_00316-1,-0.42574054
s_016um_00270_00058-1,-0.21580993
s_016um_00138_00074-1,-0.11354446
s_016um_00236_00083-1,-0.47938716
s_016um_00266_00059-1,-1.2855707
s_016um_00076_00241-1,-0.10273627
s_016um_00320_00162-1,-0.22971003
s_016um_00216_00295-1,0.19920085
s_016um_00043_00049-1,-0.0056393296
s_016um_00376_00119-1,-0.44652003
s_016um_00099_00071-1,0.008649334
s_016um_00273_00132-1,0.02296336
s_016um_00145_00021-1,0.38613528
s_016um_00356_00410-1,-1.8789555
s_016um_00098_00340-1,-0.4142535
s_016um_00171_00128-1,-0.18893793
s_016um_00203_00149-1,-0.10437362
s_016um_00195_00090-1,-0.19196315
s_016um_00098_00073-1,-0.00031642616
s_016um_00337_00255-1,0.081337586
s_016um_00401_00259-1,-0.5238407
s_016um_00211_00289-1,0.15449767
s_016um_00372_00121-1,0.19956969
s_016um_00087_00194-1,0.06847875
s_016um_00220_00226-1,0.10909881
s_016um_00066_00126-1,0.2834347
s_016um_00251_00020-1,-0.22572137
s_016um_00042_00044-1,0.23342596
s_016um_00098_00027-1,-0.16726471
s_016um_00228_00249-1,0.19679825
s_016um_00038_00172-1,0.15621175
s_016um_00209_00296-1,-0.012392983
s_016um_00106_00385-1,0.005689949
s_016um_00084_00266-1,0.01617843
s_016um_00147_00399-1,-0.20033924
s_016um_00398_00182-1,-0.15930924
