spot_id,predicted_protein_value
s_016um_00380_00137-1,2.2815087
s_016um_00037_00102-1,2.354666
s_016um_00328_00304-1,2.3907692
s_016um_00343_00400-1,2.117544
s_016um_00009_00155-1,2.5991106
s_016um_00009_00150-1,2.58294
s_016um_00109_00316-1,2.272912
s_016um_00330_00253-1,2.3941386
s_016um_00366_00225-1,2.488286
s_016um_00267_00058-1,1.9816432
s_016um_00274_00229-1,2.4314907
s_016um_00219_00167-1,2.539722
s_016um_00209_00032-1,2.4083729
s_016um_00112_00314-1,2.3654053
s_016um_00122_00145-1,2.5539637
s_016um_00201_00148-1,2.4397686
s_016um_00232_00085-1,2.2228785
s_016um_00034_00102-1,2.71014
s_016um_00080_00283-1,2.4545717
s_016um_00142_00062-1,2.6044323
s_016um_00242_00085-1,2.048224
s_016um_00382_00138-1,2.4473941
s_016um_00321_00227-1,2.3048062
s_016um_00081_00240-1,2.5820427
s_016um_00362_00411-1,1.9702173
s_016um_00323_00167-1,2.0175743
s_016um_00323_00162-1,2.3577805
s_016um_00394_00215-1,2.365741
s_016um_00219_00026-1,2.4606586
s_016um_00363_00414-1,1.9601494
s_016um_00233_00267-1,2.2401133
s_016um_00033_00089-1,2.5590045
s_016um_00082_00197-1,2.0586972
s_016um_00235_00090-1,2.1502924
s_016um_00127_00318-1,2.518082
s_016um_00040_00098-1,2.8683984
s_016um_00217_00172-1,2.3969567
s_016um_00259_00034-1,2.6162689
s_016um_00276_00133-1,2.3426955
s_016um_00325_00123-1,2.3326864
s_016um_00341_00399-1,2.3157039
s_016um_00191_00093-1,2.5928266
s_016um_00129_00321-1,2.2081013
s_016um_00263_00061-1,2.1334252
s_016um_00341_00215-1,2.429046
s_016um_00270_00034-1,2.5697565
s_016um_00395_00365-1,2.6765492
s_016um_00083_00278-1,2.4298444
s_016um_00134_00321-1,1.3115565
s_016um_00038_00098-1,2.479855
s_016um_00278_00048-1,2.2789311
s_016um_00120_00149-1,2.3099668
s_016um_00199_00149-1,2.485415
s_016um_00275_00229-1,2.457527
s_016um_00140_00022-1,2.5422513
s_016um_00080_00236-1,2.0494764
s_016um_00367_00099-1,1.9642606
s_016um_00232_00263-1,2.2656024
s_016um_00166_00129-1,2.516342
s_016um_00356_00115-1,2.4101543
s_016um_00230_00250-1,2.5020487
s_016um_00394_00181-1,2.2132566
s_016um_00137_00222-1,2.2024908
s_016um_00323_00228-1,2.3733466
s_016um_00343_00215-1,2.5061598
s_016um_00124_00383-1,2.196446
s_016um_00111_00320-1,1.8337555
s_016um_00199_00148-1,2.3672478
s_016um_00034_00336-1,2.209418
s_016um_00206_00149-1,2.275517
s_016um_00019_00265-1,2.2691784
s_016um_00026_00089-1,2.563937
s_016um_00205_00153-1,2.4132566
s_016um_00385_00292-1,1.9085408
s_016um_00390_00181-1,2.3511279
s_016um_00320_00166-1,2.393593
s_016um_00385_00293-1,2.3248582
s_016um_00142_00218-1,1.6928525
s_016um_00130_00233-1,2.4121106
s_016um_00101_00030-1,2.487273
s_016um_00216_00292-1,2.4638472
s_016um_00409_00101-1,2.4585161
s_016um_00028_00335-1,2.4925861
s_016um_00249_00020-1,2.1943104
s_016um_00260_00127-1,2.42234
s_016um_00217_00281-1,2.3915362
s_016um_00081_00296-1,2.4931695
s_016um_00368_00145-1,2.372735
s_016um_00128_00316-1,2.0974717
s_016um_00270_00058-1,2.4443827
s_016um_00138_00074-1,2.707734
s_016um_00236_00083-1,2.372542
s_016um_00266_00059-1,2.062495
s_016um_00076_00241-1,2.3969634
s_016um_00320_00162-1,2.30459
s_016um_00216_00295-1,2.4371762
s_016um_00043_00049-1,2.5368552
s_016um_00376_00119-1,2.1740148
s_016um_00099_00071-1,2.5281498
s_016um_00273_00132-1,2.293327
s_016um_00145_00021-1,2.7288888
s_016um_00356_00410-1,1.9163594
s_016um_00098_00340-1,2.290543
s_016um_00171_00128-1,2.421859
s_016um_00203_00149-1,2.4802213
s_016um_00195_00090-1,2.4965038
s_016um_00098_00073-1,2.4693742
s_016um_00337_00255-1,2.4401224
s_016um_00401_00259-1,2.4797373
s_016um_00211_00289-1,2.2850068
s_016um_00372_00121-1,2.6330607
s_016um_00087_00194-1,2.4645412
s_016um_00220_00226-1,2.6208272
s_016um_00066_00126-1,2.7215068
s_016um_00251_00020-1,2.584272
s_016um_00042_00044-1,2.5656157
s_016um_00098_00027-1,2.4026155
s_016um_00228_00249-1,2.4922457
s_016um_00038_00172-1,2.5252497
s_016um_00209_00296-1,2.433522
s_016um_00106_00385-1,2.23104
s_016um_00084_00266-1,2.5189538
s_016um_00147_00399-1,2.318333
s_016um_00398_00182-1,2.536221
s_016um_00273_00052-1,2.276268
s_016um_00101_00023-1,2.5453846
s_016um_00378_00137-1,2.447334
s_016um_00095_00277-1,2.4160728
s_016um_00141_00223-1,2.435517
s_016um_00260_00133-1,2.2196338
s_016um_00272_00058-1,2.42806
s_016um_00169_00370-1,2.4168477
s_016um_00353_00023-1,2.2645805
s_016um_00389_00292-1,2.311173
s_016um_00253_00026-1,2.4502287
s_016um_00362_00226-1,2.4349408
s_016um_00079_00236-1,2.0663774
s_016um_00403_00150-1,2.601268
s_016um_00046_00209-1,2.2486026
s_016um_00400_00402-1,0.42324984
s_016um_00219_00281-1,2.5281863
s_016um_00274_00225-1,2.4569523
s_016um_00053_00248-1,2.3170552
s_016um_00081_00292-1,2.2026882
s_016um_00361_00290-1,2.037727
s_016um_00277_00327-1,2.3989885
s_016um_00138_00215-1,1.8118436
s_016um_00074_00248-1,2.3569765
s_016um_00083_00200-1,2.4471421
s_016um_00329_00218-1,2.4090154
s_016um_00005_00296-1,2.5568075
s_016um_00276_00208-1,2.541446
s_016um_00039_00178-1,2.4504416
s_016um_00123_00386-1,2.3308454
s_016um_00143_00020-1,2.4719508
s_016um_00407_00401-1,0.95276535
s_016um_00391_00343-1,2.1271043
