spot_id,predicted_protein_value
s_016um_00380_00137-1,-1.187213
s_016um_00037_00102-1,-1.2142308
s_016um_00328_00304-1,-1.1453496
s_016um_00343_00400-1,-0.65930927
s_016um_00009_00155-1,-1.2382524
s_016um_00009_00150-1,-1.1478996
s_016um_00109_00316-1,-1.3534583
s_016um_00330_00253-1,-1.1862334
s_016um_00366_00225-1,-1.0176997
s_016um_00267_00058-1,-0.67864615
s_016um_00274_00229-1,-1.1014844
s_016um_00219_00167-1,-1.1807256
s_016um_00209_00032-1,-1.2186419
s_016um_00112_00314-1,-1.271675
s_016um_00122_00145-1,-1.1868792
s_016um_00201_00148-1,-1.3217087
s_016um_00232_00085-1,-1.2601933
s_016um_00034_00102-1,-1.181575
s_016um_00080_00283-1,-1.2077814
s_016um_00142_00062-1,-1.152238
s_016um_00242_00085-1,-1.391951
s_016um_00382_00138-1,-1.2000353
s_016um_00321_00227-1,-1.0916866
s_016um_00081_00240-1,-1.1537234
s_016um_00362_00411-1,-0.7120723
s_016um_00323_00167-1,-1.3537407
s_016um_00323_00162-1,-1.0232326
s_016um_00394_00215-1,-0.9161611
s_016um_00219_00026-1,-1.1252514
s_016um_00363_00414-1,-0.14509189
s_016um_00233_00267-1,-1.2222924
s_016um_00033_00089-1,-1.1708939
s_016um_00082_00197-1,-1.0037651
s_016um_00235_00090-1,-0.94866383
s_016um_00127_00318-1,-0.9226054
s_016um_00040_00098-1,-0.9885452
s_016um_00217_00172-1,-1.2322066
s_016um_00259_00034-1,-1.1907837
s_016um_00276_00133-1,-1.128532
s_016um_00325_00123-1,-1.3062606
s_016um_00341_00399-1,-1.1332563
s_016um_00191_00093-1,-1.1951319
s_016um_00129_00321-1,-1.4052244
s_016um_00263_00061-1,-1.22516
s_016um_00341_00215-1,-1.2315956
s_016um_00270_00034-1,-1.1211064
s_016um_00395_00365-1,-0.78898317
s_016um_00083_00278-1,-1.2258903
s_016um_00134_00321-1,0.06140852
s_016um_00038_00098-1,-1.1723315
s_016um_00278_00048-1,-1.1100799
s_016um_00120_00149-1,-1.3642033
s_016um_00199_00149-1,-1.269256
s_016um_00275_00229-1,-1.1914115
s_016um_00140_00022-1,-1.1845672
s_016um_00080_00236-1,-0.91438174
s_016um_00367_00099-1,-0.90326065
s_016um_00232_00263-1,-1.1752557
s_016um_00166_00129-1,-1.1256595
s_016um_00356_00115-1,-1.1370975
s_016um_00230_00250-1,-1.1403365
s_016um_00394_00181-1,-1.2742419
s_016um_00137_00222-1,-1.1232768
s_016um_00323_00228-1,-1.2811426
s_016um_00343_00215-1,-1.1983348
s_016um_00124_00383-1,-1.3228836
s_016um_00111_00320-1,-0.93620247
s_016um_00199_00148-1,-1.1923708
s_016um_00034_00336-1,-1.2893664
s_016um_00206_00149-1,-1.2195563
s_016um_00019_00265-1,-1.0884886
s_016um_00026_00089-1,-1.1934013
s_016um_00205_00153-1,-1.0789762
s_016um_00385_00292-1,-1.1196872
s_016um_00390_00181-1,-1.2340319
s_016um_00320_00166-1,-1.2417991
s_016um_00385_00293-1,-1.3009963
s_016um_00142_00218-1,-1.2071315
s_016um_00130_00233-1,-1.2199876
s_016um_00101_00030-1,-0.79332006
s_016um_00216_00292-1,-1.2509302
s_016um_00409_00101-1,-1.0263959
s_016um_00028_00335-1,-1.2346076
s_016um_00249_00020-1,-0.96550757
s_016um_00260_00127-1,-1.2225875
s_016um_00217_00281-1,-1.1394588
s_016um_00081_00296-1,-1.2813001
s_016um_00368_00145-1,-1.2008197
s_016um_00128_00316-1,-0.9792783
s_016um_00270_00058-1,-1.0739526
s_016um_00138_00074-1,-1.1538945
s_016um_00236_00083-1,-1.181361
s_016um_00266_00059-1,-0.73011136
s_016um_00076_00241-1,-1.3205664
s_016um_00320_00162-1,-1.2003644
s_016um_00216_00295-1,-1.1680892
s_016um_00043_00049-1,-1.1494478
s_016um_00376_00119-1,-1.1528968
s_016um_00099_00071-1,-1.1810876
s_016um_00273_00132-1,-1.2847826
s_016um_00145_00021-1,-1.1412612
s_016um_00356_00410-1,-0.32388628
s_016um_00098_00340-1,-1.1527929
s_016um_00171_00128-1,-1.3159952
s_016um_00203_00149-1,-1.244507
s_016um_00195_00090-1,-1.2777698
s_016um_00098_00073-1,-1.2730196
s_016um_00337_00255-1,-1.1792948
s_016um_00401_00259-1,-1.1615932
s_016um_00211_00289-1,-1.2813418
s_016um_00372_00121-1,-1.1980265
s_016um_00087_00194-1,-1.2530535
s_016um_00220_00226-1,-1.1635354
s_016um_00066_00126-1,-1.2256653
s_016um_00251_00020-1,-1.1464312
s_016um_00042_00044-1,-1.2298297
s_016um_00098_00027-1,-1.2783443
s_016um_00228_00249-1,-1.23016
s_016um_00038_00172-1,-1.2191017
s_016um_00209_00296-1,-1.2363214
s_016um_00106_00385-1,-1.3725575
s_016um_00084_00266-1,-1.1779277
s_016um_00147_00399-1,-1.2829556
s_016um_00398_00182-1,-1.0940642
s_016um_00273_00052-1,-1.2808267
s_016um_00101_00023-1,-1.2383602
s_016um_00378_00137-1,-1.1734598
s_016um_00095_00277-1,-1.2860171
s_016um_00141_00223-1,-1.0736556
s_016um_00260_00133-1,-1.2278757
s_016um_00272_00058-1,-1.1878211
s_016um_00169_00370-1,-1.2408184
s_016um_00353_00023-1,-1.0247141
s_016um_00389_00292-1,-1.0959089
s_016um_00253_00026-1,-1.2037374
s_016um_00362_00226-1,-1.19791
s_016um_00079_00236-1,-1.1290413
s_016um_00403_00150-1,-1.1850898
s_016um_00046_00209-1,-1.2208322
s_016um_00400_00402-1,1.7382048
s_016um_00219_00281-1,-1.1856905
s_016um_00274_00225-1,-1.193589
s_016um_00053_00248-1,-0.94651526
s_016um_00081_00292-1,-1.260806
s_016um_00361_00290-1,-1.2692797
s_016um_00277_00327-1,-1.1075585
s_016um_00138_00215-1,-0.97264373
s_016um_00074_00248-1,-1.3361539
s_016um_00083_00200-1,-1.0962375
s_016um_00329_00218-1,-1.2322109
s_016um_00005_00296-1,-1.0519106
s_016um_00276_00208-1,-1.2560139
s_016um_00039_00178-1,-1.2351444
