spot_id,predicted_protein_value
s_016um_00380_00137-1,-1.2169299
s_016um_00037_00102-1,-1.1443115
s_016um_00328_00304-1,-1.1990677
s_016um_00343_00400-1,-1.7037373
s_016um_00009_00155-1,-1.1055039
s_016um_00009_00150-1,-1.2010615
s_016um_00109_00316-1,-1.133917
s_016um_00330_00253-1,-1.3207422
s_016um_00366_00225-1,-1.1619016
s_016um_00267_00058-1,-1.3002362
s_016um_00274_00229-1,-1.1728665
s_016um_00219_00167-1,-1.1700728
s_016um_00209_00032-1,-1.1181531
s_016um_00112_00314-1,-1.1307122
s_016um_00122_00145-1,-1.132158
s_016um_00201_00148-1,-1.133958
s_016um_00232_00085-1,-1.1766458
s_016um_00034_00102-1,-1.121147
s_016um_00080_00283-1,-1.1129957
s_016um_00142_00062-1,-1.1032332
s_016um_00242_00085-1,-1.238723
s_016um_00382_00138-1,-1.1411029
s_016um_00321_00227-1,-1.2531149
s_016um_00081_00240-1,-1.1506028
s_016um_00362_00411-1,-1.7054465
s_016um_00323_00167-1,-1.182386
s_016um_00323_00162-1,-1.2773802
s_016um_00394_00215-1,-1.3626385
s_016um_00219_00026-1,-1.184593
s_016um_00363_00414-1,-2.4007044
s_016um_00233_00267-1,-1.265134
s_016um_00033_00089-1,-1.1177896
s_016um_00082_00197-1,-1.2437023
s_016um_00235_00090-1,-1.4938204
s_016um_00127_00318-1,-1.343523
s_016um_00040_00098-1,-1.1515402
s_016um_00217_00172-1,-1.116901
s_016um_00259_00034-1,-1.1083596
s_016um_00276_00133-1,-1.220126
s_016um_00325_00123-1,-1.1829284
s_016um_00341_00399-1,-1.2725997
s_016um_00191_00093-1,-1.0799677
s_016um_00129_00321-1,-1.1170112
s_016um_00263_00061-1,-1.2211623
s_016um_00341_00215-1,-1.1282018
s_016um_00270_00034-1,-1.067037
s_016um_00395_00365-1,-1.2118552
s_016um_00083_00278-1,-1.1333511
s_016um_00134_00321-1,-1.8097359
s_016um_00038_00098-1,-1.1379782
s_016um_00278_00048-1,-1.148302
s_016um_00120_00149-1,-1.1166353
s_016um_00199_00149-1,-1.1041366
s_016um_00275_00229-1,-1.1063873
s_016um_00140_00022-1,-1.0818006
s_016um_00080_00236-1,-1.1274168
s_016um_00367_00099-1,-1.1625371
s_016um_00232_00263-1,-1.1426513
s_016um_00166_00129-1,-1.2672952
s_016um_00356_00115-1,-1.2212262
s_016um_00230_00250-1,-1.1639388
s_016um_00394_00181-1,-1.1431339
s_016um_00137_00222-1,-1.1957506
s_016um_00323_00228-1,-1.2165686
s_016um_00343_00215-1,-1.0577242
s_016um_00124_00383-1,-1.0967965
s_016um_00111_00320-1,-1.2661183
s_016um_00199_00148-1,-1.0499818
s_016um_00034_00336-1,-1.1744522
s_016um_00206_00149-1,-1.1247863
s_016um_00019_00265-1,-1.1761739
s_016um_00026_00089-1,-1.1219105
s_016um_00205_00153-1,-1.1681784
s_016um_00385_00292-1,-1.3778657
s_016um_00390_00181-1,-1.1318731
s_016um_00320_00166-1,-1.1029797
s_016um_00385_00293-1,-1.0956235
s_016um_00142_00218-1,-1.2220371
s_016um_00130_00233-1,-1.1166885
s_016um_00101_00030-1,-1.2474463
s_016um_00216_00292-1,-1.1148179
s_016um_00409_00101-1,-1.2446942
s_016um_00028_00335-1,-1.1528783
s_016um_00249_00020-1,-1.0174434
s_016um_00260_00127-1,-1.1387471
s_016um_00217_00281-1,-1.156202
s_016um_00081_00296-1,-1.0948181
s_016um_00368_00145-1,-1.134289
s_016um_00128_00316-1,-1.4905103
s_016um_00270_00058-1,-1.184654
s_016um_00138_00074-1,-1.1051722
s_016um_00236_00083-1,-1.1633183
s_016um_00266_00059-1,-1.2753594
s_016um_00076_00241-1,-1.1301261
s_016um_00320_00162-1,-1.1813227
s_016um_00216_00295-1,-1.1312647
s_016um_00043_00049-1,-1.1501424
s_016um_00376_00119-1,-1.2643722
s_016um_00099_00071-1,-1.1319634
s_016um_00273_00132-1,-1.15159
s_016um_00145_00021-1,-1.1313095
s_016um_00356_00410-1,-2.124341
s_016um_00098_00340-1,-1.2036675
s_016um_00171_00128-1,-1.1034782
s_016um_00203_00149-1,-1.1947284
s_016um_00195_00090-1,-1.1160433
s_016um_00098_00073-1,-1.0828296
s_016um_00337_00255-1,-1.1101626
s_016um_00401_00259-1,-1.1072279
