spot_id,predicted_protein_value
s_016um_00380_00137-1,1.4887738
s_016um_00037_00102-1,1.681222
s_016um_00328_00304-1,1.649549
s_016um_00343_00400-1,1.5343698
s_016um_00009_00155-1,1.6021696
s_016um_00009_00150-1,1.6295599
s_016um_00109_00316-1,1.3325658
s_016um_00330_00253-1,1.711604
s_016um_00366_00225-1,1.714241
s_016um_00267_00058-1,1.1548572
s_016um_00274_00229-1,1.5552584
s_016um_00219_00167-1,1.4905471
s_016um_00209_00032-1,1.6261389
s_016um_00112_00314-1,1.4643304
s_016um_00122_00145-1,1.544688
s_016um_00201_00148-1,1.5811055
s_016um_00232_00085-1,1.3789805
s_016um_00034_00102-1,1.6014359
s_016um_00080_00283-1,1.5985204
s_016um_00142_00062-1,1.592303
s_016um_00242_00085-1,1.225413
s_016um_00382_00138-1,1.6987951
s_016um_00321_00227-1,1.5141631
s_016um_00081_00240-1,1.6294839
s_016um_00362_00411-1,1.6493534
s_016um_00323_00167-1,1.240859
s_016um_00323_00162-1,1.5482423
s_016um_00394_00215-1,1.6778293
s_016um_00219_00026-1,1.7032167
s_016um_00363_00414-1,1.7206098
s_016um_00233_00267-1,1.4761076
s_016um_00033_00089-1,1.4848143
s_016um_00082_00197-1,1.3979287
s_016um_00235_00090-1,1.4918045
s_016um_00127_00318-1,1.5466391
s_016um_00040_00098-1,1.517046
s_016um_00217_00172-1,1.6789142
s_016um_00259_00034-1,1.5010548
s_016um_00276_00133-1,1.5621948
s_016um_00325_00123-1,1.6637651
s_016um_00341_00399-1,1.5589848
s_016um_00191_00093-1,1.6024017
s_016um_00129_00321-1,1.3540181
s_016um_00263_00061-1,1.4159001
s_016um_00341_00215-1,1.5468878
s_016um_00270_00034-1,1.5258379
s_016um_00395_00365-1,1.8179843
s_016um_00083_00278-1,1.5946157
s_016um_00134_00321-1,1.0038764
s_016um_00038_00098-1,1.6677539
s_016um_00278_00048-1,1.4307716
s_016um_00120_00149-1,1.4617625
s_016um_00199_00149-1,1.5260496
s_016um_00275_00229-1,1.5352023
s_016um_00140_00022-1,1.6701298
s_016um_00080_00236-1,0.9143231
s_016um_00367_00099-1,1.2201332
s_016um_00232_00263-1,1.690231
s_016um_00166_00129-1,1.691618
s_016um_00356_00115-1,1.5395472
s_016um_00230_00250-1,1.7749777
s_016um_00394_00181-1,1.5415635
s_016um_00137_00222-1,1.500277
s_016um_00323_00228-1,1.6447555
s_016um_00343_00215-1,1.6408613
s_016um_00124_00383-1,1.5207723
s_016um_00111_00320-1,1.272352
s_016um_00199_00148-1,1.5880816
s_016um_00034_00336-1,1.558679
s_016um_00206_00149-1,1.3257527
s_016um_00019_00265-1,1.4288979
s_016um_00026_00089-1,1.7871772
s_016um_00205_00153-1,1.6875632
s_016um_00385_00292-1,1.3156776
s_016um_00390_00181-1,1.4046856
s_016um_00320_00166-1,1.5522298
s_016um_00385_00293-1,1.4698375
