spot_id,predicted_protein_value
s_016um_00380_00137-1,0.9099839
s_016um_00037_00102-1,1.1328667
s_016um_00328_00304-1,1.1295646
s_016um_00343_00400-1,0.8677776
s_016um_00009_00155-1,1.075941
s_016um_00009_00150-1,1.1145539
s_016um_00109_00316-1,0.80465484
s_016um_00330_00253-1,1.1727128
s_016um_00366_00225-1,1.1723883
s_016um_00267_00058-1,0.5181917
s_016um_00274_00229-1,0.9137232
s_016um_00219_00167-1,0.9719762
s_016um_00209_00032-1,1.051988
s_016um_00112_00314-1,0.9493242
s_016um_00122_00145-1,0.98228884
s_016um_00201_00148-1,1.061617
s_016um_00232_00085-1,0.81053025
s_016um_00034_00102-1,0.91315246
s_016um_00080_00283-1,1.0806379
s_016um_00142_00062-1,0.9713454
s_016um_00242_00085-1,0.657868
s_016um_00382_00138-1,1.137766
s_016um_00321_00227-1,0.97009075
s_016um_00081_00240-1,1.0657029
s_016um_00362_00411-1,0.97528315
s_016um_00323_00167-1,0.62735665
s_016um_00323_00162-1,0.9965916
s_016um_00394_00215-1,1.1089561
s_016um_00219_00026-1,1.078763
s_016um_00363_00414-1,1.1291784
s_016um_00233_00267-1,0.9259721
s_016um_00033_00089-1,0.9087728
s_016um_00082_00197-1,0.8341124
s_016um_00235_00090-1,0.94917375
s_016um_00127_00318-1,1.0078584
s_016um_00040_00098-1,0.89280903
s_016um_00217_00172-1,1.1120597
s_016um_00259_00034-1,0.9183748
s_016um_00276_00133-1,0.93466085
s_016um_00325_00123-1,1.1740354
s_016um_00341_00399-1,0.96185625
s_016um_00191_00093-1,0.969653
s_016um_00129_00321-1,0.81344724
s_016um_00263_00061-1,0.8201281
s_016um_00341_00215-1,0.9341467
s_016um_00270_00034-1,0.9138409
s_016um_00395_00365-1,1.2051852
s_016um_00083_00278-1,1.0755906
s_016um_00134_00321-1,0.38116223
s_016um_00038_00098-1,1.1408992
s_016um_00278_00048-1,0.8439582
s_016um_00120_00149-1,0.8820502
s_016um_00199_00149-1,1.030726
s_016um_00275_00229-1,0.98447144
s_016um_00140_00022-1,0.99675804
s_016um_00080_00236-1,0.47455508
s_016um_00367_00099-1,0.7535099
s_016um_00232_00263-1,1.1318182
s_016um_00166_00129-1,1.0688206
s_016um_00356_00115-1,1.0243866
s_016um_00230_00250-1,1.241568
s_016um_00394_00181-1,1.0489349
s_016um_00137_00222-1,0.9702389
s_016um_00323_00228-1,1.0923404
s_016um_00343_00215-1,1.086994
s_016um_00124_00383-1,1.0223321
s_016um_00111_00320-1,0.647802
s_016um_00199_00148-1,0.98986554
s_016um_00034_00336-1,1.0673536
s_016um_00206_00149-1,0.76320213
s_016um_00019_00265-1,0.88338906
s_016um_00026_00089-1,1.2253683
s_016um_00205_00153-1,1.0683986
s_016um_00385_00292-1,0.8350705
s_016um_00390_00181-1,0.8237164
s_016um_00320_00166-1,0.96289533
s_016um_00385_00293-1,0.9933991
