spot_id,predicted_protein_value
s_016um_00380_00137-1,0.2944889
s_016um_00037_00102-1,0.23472694
s_016um_00328_00304-1,0.2723437
s_016um_00343_00400-1,0.46355018
s_016um_00009_00155-1,0.23878427
s_016um_00009_00150-1,0.26531348
s_016um_00109_00316-1,0.1829949
s_016um_00330_00253-1,0.2791949
s_016um_00366_00225-1,0.28656492
s_016um_00267_00058-1,0.38204283
s_016um_00274_00229-1,0.23824085
s_016um_00219_00167-1,0.24542537
s_016um_00209_00032-1,0.24877572
s_016um_00112_00314-1,0.2164949
s_016um_00122_00145-1,0.25724816
s_016um_00201_00148-1,0.214289
s_016um_00232_00085-1,0.21229917
s_016um_00034_00102-1,0.28792828
s_016um_00080_00283-1,0.23900892
s_016um_00142_00062-1,0.27167076
s_016um_00242_00085-1,0.1654183
s_016um_00382_00138-1,0.25487933
s_016um_00321_00227-1,0.26647204
s_016um_00081_00240-1,0.26237974
s_016um_00362_00411-1,0.5171815
s_016um_00323_00167-1,0.21512212
s_016um_00323_00162-1,0.2934202
s_016um_00394_00215-1,0.2606875
s_016um_00219_00026-1,0.29483813
s_016um_00363_00414-1,0.6588054
s_016um_00233_00267-1,0.23718366
s_016um_00033_00089-1,0.26039243
s_016um_00082_00197-1,0.27001327
s_016um_00235_00090-1,0.23686442
s_016um_00127_00318-1,0.3210358
s_016um_00040_00098-1,0.28023216
s_016um_00217_00172-1,0.24160433
s_016um_00259_00034-1,0.24207361
s_016um_00276_00133-1,0.26368627
s_016um_00325_00123-1,0.2300981
s_016um_00341_00399-1,0.27794817
s_016um_00191_00093-1,0.26765487
s_016um_00129_00321-1,0.14399758
s_016um_00263_00061-1,0.2774235
s_016um_00341_00215-1,0.25271362
s_016um_00270_00034-1,0.2714266
s_016um_00395_00365-1,0.37303978
s_016um_00083_00278-1,0.24024598
s_016um_00134_00321-1,0.26950875
s_016um_00038_00098-1,0.25404945
s_016um_00278_00048-1,0.2348414
s_016um_00120_00149-1,0.19795531
s_016um_00199_00149-1,0.20622355
s_016um_00275_00229-1,0.2229092
s_016um_00140_00022-1,0.26508543
s_016um_00080_00236-1,0.17444038
s_016um_00367_00099-1,0.23455572
s_016um_00232_00263-1,0.25489926
s_016um_00166_00129-1,0.29539245
s_016um_00356_00115-1,0.25786296
s_016um_00230_00250-1,0.2662005
s_016um_00394_00181-1,0.21843687
s_016um_00137_00222-1,0.236472
s_016um_00323_00228-1,0.21197814
s_016um_00343_00215-1,0.22498567
s_016um_00124_00383-1,0.18420452
s_016um_00111_00320-1,0.21024351
s_016um_00199_00148-1,0.24664144
s_016um_00034_00336-1,0.19994706
s_016um_00206_00149-1,0.22936995
s_016um_00019_00265-1,0.19772005
s_016um_00026_00089-1,0.2483464
s_016um_00205_00153-1,0.30211386
s_016um_00385_00292-1,0.23314866
s_016um_00390_00181-1,0.22813123
s_016um_00320_00166-1,0.24120095
s_016um_00385_00293-1,0.17163002
s_016um_00142_00218-1,0.20686664
s_016um_00130_00233-1,0.24377467
s_016um_00101_00030-1,0.2751993
s_016um_00216_00292-1,0.22226109
s_016um_00409_00101-1,0.2759422
s_016um_00028_00335-1,0.22238663
s_016um_00249_00020-1,0.23144692
