spot_id,predicted_protein_value
s_016um_00380_00137-1,0.14912575
s_016um_00037_00102-1,0.11662347
s_016um_00328_00304-1,0.13899699
s_016um_00343_00400-1,0.43480778
s_016um_00009_00155-1,0.10543959
s_016um_00009_00150-1,0.18452482
s_016um_00109_00316-1,0.028905272
s_016um_00330_00253-1,0.15897317
s_016um_00366_00225-1,0.17598026
s_016um_00267_00058-1,0.11877711
s_016um_00274_00229-1,0.13620129
s_016um_00219_00167-1,0.10367795
s_016um_00209_00032-1,0.13192254
s_016um_00112_00314-1,0.080159
s_016um_00122_00145-1,0.12236319
s_016um_00201_00148-1,0.08065902
s_016um_00232_00085-1,0.07431581
s_016um_00034_00102-1,0.13192394
s_016um_00080_00283-1,0.09011333
s_016um_00142_00062-1,0.12948611
s_016um_00242_00085-1,0.021536998
s_016um_00382_00138-1,0.13011107
s_016um_00321_00227-1,0.18886748
s_016um_00081_00240-1,0.14518699
s_016um_00362_00411-1,0.4473877
s_016um_00323_00167-1,0.0070605576
s_016um_00323_00162-1,0.18278624
s_016um_00394_00215-1,0.33234563
s_016um_00219_00026-1,0.17696564
s_016um_00363_00414-1,0.60448813
s_016um_00233_00267-1,0.15620027
s_016um_00033_00089-1,0.12330386
s_016um_00082_00197-1,0.07281044
s_016um_00235_00090-1,0.34568852
s_016um_00127_00318-1,0.18915485
s_016um_00040_00098-1,0.12313476
s_016um_00217_00172-1,0.14561918
s_016um_00259_00034-1,0.11401753
s_016um_00276_00133-1,0.14220725
s_016um_00325_00123-1,0.09893071
s_016um_00341_00399-1,0.1434241
s_016um_00191_00093-1,0.11448254
s_016um_00129_00321-1,-0.0016888976
s_016um_00263_00061-1,0.12688558
s_016um_00341_00215-1,0.10479228
s_016um_00270_00034-1,0.17102805
s_016um_00395_00365-1,0.33070874
s_016um_00083_00278-1,0.11615527
s_016um_00134_00321-1,0.34070757
s_016um_00038_00098-1,0.123413466
s_016um_00278_00048-1,0.12729277
s_016um_00120_00149-1,0.091327086
s_016um_00199_00149-1,0.08610001
s_016um_00275_00229-1,0.114730135
s_016um_00140_00022-1,0.12249629
s_016um_00080_00236-1,-0.077478185
s_016um_00367_00099-1,-0.045306653
s_016um_00232_00263-1,0.1319066
s_016um_00166_00129-1,0.19945638
s_016um_00356_00115-1,0.10020233
s_016um_00230_00250-1,0.18637379
s_016um_00394_00181-1,0.085183986
s_016um_00137_00222-1,0.19025487
s_016um_00323_00228-1,0.11262648
s_016um_00343_00215-1,0.099893905
s_016um_00124_00383-1,0.05475586
s_016um_00111_00320-1,-0.014408141
s_016um_00199_00148-1,0.08878477
s_016um_00034_00336-1,0.084452845
s_016um_00206_00149-1,0.047852643
s_016um_00019_00265-1,0.03557224
s_016um_00026_00089-1,0.1531181
s_016um_00205_00153-1,0.16036466
s_016um_00385_00292-1,0.051637024
s_016um_00390_00181-1,0.08891094
s_016um_00320_00166-1,0.10028064
s_016um_00385_00293-1,0.03227777
s_016um_00142_00218-1,-0.021269575
s_016um_00130_00233-1,0.14039472
s_016um_00101_00030-1,0.084927835
s_016um_00216_00292-1,0.09306339
s_016um_00409_00101-1,0.15707503
s_016um_00028_00335-1,0.10891285
s_016um_00249_00020-1,0.04591737
s_016um_00260_00127-1,0.13679995
s_016um_00217_00281-1,0.100590125
s_016um_00081_00296-1,0.061687663
s_016um_00368_00145-1,0.12905319
s_016um_00128_00316-1,0.22005667
s_016um_00270_00058-1,0.16316733
s_016um_00138_00074-1,0.15047294
s_016um_00236_00083-1,0.11385947
s_016um_00266_00059-1,0.11047447
s_016um_00076_00241-1,0.068506956
