spot_id,predicted_protein_value
s_016um_00380_00137-1,-2.354486
s_016um_00037_00102-1,-2.2168267
s_016um_00328_00304-1,-2.3641877
s_016um_00343_00400-1,-2.997805
s_016um_00009_00155-1,-2.0721703
s_016um_00009_00150-1,-2.1941924
s_016um_00109_00316-1,-1.8981755
s_016um_00330_00253-1,-2.4694011
s_016um_00366_00225-1,-2.3516314
s_016um_00267_00058-1,-2.7523496
s_016um_00274_00229-1,-2.2700312
s_016um_00219_00167-1,-2.2528358
s_016um_00209_00032-1,-2.2185397
s_016um_00112_00314-1,-1.9604616
s_016um_00122_00145-1,-2.2499726
s_016um_00201_00148-1,-2.0622466
s_016um_00232_00085-1,-2.033296
s_016um_00034_00102-1,-2.268267
s_016um_00080_00283-1,-2.125986
s_016um_00142_00062-1,-2.1898456
s_016um_00242_00085-1,-2.0154755
s_016um_00382_00138-1,-2.2148514
s_016um_00321_00227-1,-2.234427
s_016um_00081_00240-1,-2.371251
s_016um_00362_00411-1,-3.4926372
s_016um_00323_00167-1,-2.1682737
s_016um_00323_00162-1,-2.4840896
s_016um_00394_00215-1,-2.4489708
s_016um_00219_00026-1,-2.4338877
s_016um_00363_00414-1,-4.2098217
s_016um_00233_00267-1,-2.1426845
s_016um_00033_00089-1,-2.1356194
s_016um_00082_00197-1,-2.561729
s_016um_00235_00090-1,-2.544805
s_016um_00127_00318-1,-2.4830673
s_016um_00040_00098-1,-2.1513443
s_016um_00217_00172-1,-2.1569836
s_016um_00259_00034-1,-2.1333313
s_016um_00276_00133-1,-2.2931938
s_016um_00325_00123-1,-2.105435
s_016um_00341_00399-1,-2.3551078
s_016um_00191_00093-1,-2.0555813
s_016um_00129_00321-1,-1.8192022
s_016um_00263_00061-1,-2.2976286
s_016um_00341_00215-1,-2.230554
s_016um_00270_00034-1,-2.264246
s_016um_00395_00365-1,-2.7524054
s_016um_00083_00278-1,-2.1500473
s_016um_00134_00321-1,-3.4375687
s_016um_00038_00098-1,-2.3098338
s_016um_00278_00048-1,-2.2308877
s_016um_00120_00149-1,-1.8632089
s_016um_00199_00149-1,-1.9532931
s_016um_00275_00229-1,-2.0809624
s_016um_00140_00022-1,-2.4213393
s_016um_00080_00236-1,-2.2644787
s_016um_00367_00099-1,-2.9304552
s_016um_00232_00263-1,-2.3960342
s_016um_00166_00129-1,-2.3984246
s_016um_00356_00115-1,-2.3216019
s_016um_00230_00250-1,-2.3345196
s_016um_00394_00181-1,-2.1684182
s_016um_00137_00222-1,-2.328189
s_016um_00323_00228-1,-2.2534492
s_016um_00343_00215-1,-2.0540972
s_016um_00124_00383-1,-1.9914107
s_016um_00111_00320-1,-2.8913403
s_016um_00199_00148-1,-2.1738818
s_016um_00034_00336-1,-2.1228416
s_016um_00206_00149-1,-2.1721108
s_016um_00019_00265-1,-2.3765378
s_016um_00026_00089-1,-2.2185423
s_016um_00205_00153-1,-2.4145584
s_016um_00385_00292-1,-2.5137827
s_016um_00390_00181-1,-2.0458772
s_016um_00320_00166-1,-2.2067506
s_016um_00385_00293-1,-1.9217024
s_016um_00142_00218-1,-2.309419
s_016um_00130_00233-1,-2.1402855
s_016um_00101_00030-1,-2.4044921
s_016um_00216_00292-1,-2.1013796
s_016um_00409_00101-1,-2.343499
s_016um_00028_00335-1,-2.1643562
s_016um_00249_00020-1,-2.4846215
s_016um_00260_00127-1,-2.214387
s_016um_00217_00281-1,-2.2161639
s_016um_00081_00296-1,-2.0036957
s_016um_00368_00145-1,-2.3090615
s_016um_00128_00316-1,-2.5704184
s_016um_00270_00058-1,-2.5627768
s_016um_00138_00074-1,-2.1351166
s_016um_00236_00083-1,-2.192653
s_016um_00266_00059-1,-2.463459
s_016um_00076_00241-1,-1.9386894
s_016um_00320_00162-1,-2.1794658
s_016um_00216_00295-1,-2.153992
s_016um_00043_00049-1,-2.2526536
s_016um_00376_00119-1,-2.4786134
s_016um_00099_00071-1,-2.1882136
s_016um_00273_00132-1,-2.141884
s_016um_00145_00021-1,-2.3396122
s_016um_00356_00410-1,-3.5644763
s_016um_00098_00340-1,-2.3752837
s_016um_00171_00128-1,-2.0320907
s_016um_00203_00149-1,-2.1371818
s_016um_00195_00090-1,-2.0569804
s_016um_00098_00073-1,-2.0665522
s_016um_00337_00255-1,-2.3940403
s_016um_00401_00259-1,-2.1585312
s_016um_00211_00289-1,-2.1535306
s_016um_00372_00121-1,-2.1049182
s_016um_00087_00194-1,-2.1253436
s_016um_00220_00226-1,-2.084967
s_016um_00066_00126-1,-2.0280051
s_016um_00251_00020-1,-2.1860292
s_016um_00042_00044-1,-2.122664
s_016um_00098_00027-1,-2.161029
s_016um_00228_00249-1,-2.0216231
s_016um_00038_00172-1,-2.185561
s_016um_00209_00296-1,-2.109654
s_016um_00106_00385-1,-1.8387539
s_016um_00084_00266-1,-2.0645301
s_016um_00147_00399-1,-2.0545433
s_016um_00398_00182-1,-2.379721
s_016um_00273_00052-1,-2.1170435
s_016um_00101_00023-1,-2.1538663
s_016um_00378_00137-1,-2.321052
s_016um_00095_00277-1,-2.120191
s_016um_00141_00223-1,-2.307614
s_016um_00260_00133-1,-2.235792
s_016um_00272_00058-1,-2.178776
s_016um_00169_00370-1,-2.3382804
s_016um_00353_00023-1,-2.527585
s_016um_00389_00292-1,-2.2932665
s_016um_00253_00026-1,-2.109513
s_016um_00362_00226-1,-2.2564871
s_016um_00079_00236-1,-2.2357883
s_016um_00403_00150-1,-2.178153
s_016um_00046_00209-1,-2.2179737
s_016um_00400_00402-1,-7.574046
s_016um_00219_00281-1,-2.0985904
s_016um_00274_00225-1,-2.2518811
s_016um_00053_00248-1,-2.7216725
s_016um_00081_00292-1,-1.9443598
s_016um_00361_00290-1,-2.204126
s_016um_00277_00327-1,-2.1993074
s_016um_00138_00215-1,-2.3803778
s_016um_00074_00248-1,-1.9258739
s_016um_00083_00200-1,-2.193634
s_016um_00329_00218-1,-2.2576828
s_016um_00005_00296-1,-2.3377476
s_016um_00276_00208-1,-2.1246972
s_016um_00039_00178-1,-2.1207542
s_016um_00123_00386-1,-2.0603507
s_016um_00143_00020-1,-2.3132358
s_016um_00407_00401-1,-6.3039837
s_016um_00391_00343-1,-4.2788024
s_016um_00031_00331-1,-2.1930044
s_016um_00228_00237-1,-2.1030793
s_016um_00218_00032-1,-1.9089564
s_016um_00396_00220-1,-2.036868
s_016um_00215_00282-1,-2.3562815
s_016um_00008_00153-1,-2.2511704
s_016um_00102_00383-1,-2.0024922
s_016um_00184_00028-1,-2.27111
s_016um_00266_00057-1,-2.570779
s_016um_00141_00060-1,-2.380374
s_016um_00193_00120-1,-2.155791
s_016um_00268_00332-1,-2.1613307
s_016um_00209_00031-1,-2.3354084
s_016um_00354_00416-1,-4.979873
s_016um_00365_00098-1,-2.5345535
s_016um_00041_00049-1,-2.4147015
s_016um_00210_00296-1,-2.4017804
s_016um_00089_00068-1,-2.0298781
s_016um_00245_00086-1,-2.2019255
s_016um_00193_00130-1,-2.0391583
s_016um_00126_00089-1,-2.2968223
s_016um_00083_00071-1,-2.617836
s_016um_00235_00268-1,-2.1873708
