spot_id,predicted_protein_value
s_016um_00380_00137-1,-3.1625803
s_016um_00037_00102-1,-2.7222285
s_016um_00328_00304-1,-2.9885497
s_016um_00343_00400-1,-3.8805
s_016um_00009_00155-1,-2.5828454
s_016um_00009_00150-1,-2.7101781
s_016um_00109_00316-1,-2.5126843
s_016um_00330_00253-1,-3.0304976
s_016um_00366_00225-1,-2.948655
s_016um_00267_00058-1,-4.572427
s_016um_00274_00229-1,-2.7683656
s_016um_00219_00167-1,-2.988752
s_016um_00209_00032-1,-2.9248936
s_016um_00112_00314-1,-2.553594
s_016um_00122_00145-1,-2.8410766
s_016um_00201_00148-1,-2.6832213
s_016um_00232_00085-1,-2.7279124
s_016um_00034_00102-1,-3.2050467
s_016um_00080_00283-1,-2.7069173
s_016um_00142_00062-1,-2.9545617
s_016um_00242_00085-1,-2.8517113
s_016um_00382_00138-1,-2.7659037
s_016um_00321_00227-1,-2.8576653
s_016um_00081_00240-1,-2.991392
s_016um_00362_00411-1,-4.4775515
s_016um_00323_00167-1,-3.078742
s_016um_00323_00162-1,-3.3237379
s_016um_00394_00215-1,-2.928817
s_016um_00219_00026-1,-3.1501613
s_016um_00363_00414-1,-5.1451416
s_016um_00233_00267-1,-2.6794407
s_016um_00033_00089-1,-2.8369505
s_016um_00082_00197-1,-3.8834138
s_016um_00235_00090-1,-2.844508
s_016um_00127_00318-1,-3.4252703
s_016um_00040_00098-1,-2.9938667
s_016um_00217_00172-1,-2.7924476
s_016um_00259_00034-1,-2.881734
s_016um_00276_00133-1,-3.102192
s_016um_00325_00123-1,-2.6500912
s_016um_00341_00399-1,-3.1799076
s_016um_00191_00093-1,-2.874806
s_016um_00129_00321-1,-2.5008333
s_016um_00263_00061-1,-3.2170541
s_016um_00341_00215-1,-3.0620406
s_016um_00270_00034-1,-3.0975718
s_016um_00395_00365-1,-3.5816748
s_016um_00083_00278-1,-2.7324724
s_016um_00134_00321-1,-5.270824
s_016um_00038_00098-1,-2.8691738
s_016um_00278_00048-1,-2.9645617
s_016um_00120_00149-1,-2.3708913
s_016um_00199_00149-1,-2.6220546
s_016um_00275_00229-1,-2.7115338
s_016um_00140_00022-1,-3.4319944
s_016um_00080_00236-1,-3.8933911
s_016um_00367_00099-1,-4.363916
s_016um_00232_00263-1,-3.121126
s_016um_00166_00129-1,-3.1888945
s_016um_00356_00115-1,-3.0908067
s_016um_00230_00250-1,-2.89958
s_016um_00394_00181-1,-2.824661
s_016um_00137_00222-1,-3.0689332
s_016um_00323_00228-1,-2.813104
s_016um_00343_00215-1,-2.629391
s_016um_00124_00383-1,-2.4519706
s_016um_00111_00320-1,-4.37458
s_016um_00199_00148-1,-2.913643
s_016um_00034_00336-1,-2.6080189
s_016um_00206_00149-1,-3.05211
s_016um_00019_00265-1,-3.2148468
s_016um_00026_00089-1,-2.7039027
s_016um_00205_00153-1,-3.1101995
s_016um_00385_00292-1,-3.6004543
s_016um_00390_00181-1,-2.898588
s_016um_00320_00166-1,-2.9220827
s_016um_00385_00293-1,-2.2086914
s_016um_00142_00218-1,-3.4411588
s_016um_00130_00233-1,-2.7394874
s_016um_00101_00030-1,-2.836958
s_016um_00216_00292-1,-2.7199373
s_016um_00409_00101-1,-2.9365883
s_016um_00028_00335-1,-2.6207452
s_016um_00249_00020-1,-3.6097393
s_016um_00260_00127-1,-2.7146401
s_016um_00217_00281-1,-2.6191025
s_016um_00081_00296-1,-2.5727575
s_016um_00368_00145-1,-2.9497113
s_016um_00128_00316-1,-3.4136882
s_016um_00270_00058-1,-3.368318
s_016um_00138_00074-1,-2.7228956
s_016um_00236_00083-1,-2.8696856
s_016um_00266_00059-1,-3.7750738
s_016um_00076_00241-1,-2.5516272
s_016um_00320_00162-1,-2.8393352
s_016um_00216_00295-1,-2.5815096
s_016um_00043_00049-1,-2.8759093
s_016um_00376_00119-1,-3.0893183
s_016um_00099_00071-1,-2.9273603
s_016um_00273_00132-1,-2.838863
s_016um_00145_00021-1,-2.981713
s_016um_00356_00410-1,-4.0777926
s_016um_00098_00340-1,-3.2606323
s_016um_00171_00128-1,-2.648363
s_016um_00203_00149-1,-2.8106225
s_016um_00195_00090-1,-2.711507
s_016um_00098_00073-1,-2.8593507
s_016um_00337_00255-1,-3.2198215
s_016um_00401_00259-1,-2.914353
s_016um_00211_00289-1,-2.7142856
s_016um_00372_00121-1,-2.6276762
s_016um_00087_00194-1,-2.7478747
s_016um_00220_00226-1,-2.5314038
s_016um_00066_00126-1,-2.6106138
s_016um_00251_00020-1,-3.0031765
s_016um_00042_00044-1,-2.8414993
s_016um_00098_00027-1,-2.8728912
s_016um_00228_00249-1,-2.3631966
s_016um_00038_00172-1,-2.771804
s_016um_00209_00296-1,-2.7169118
s_016um_00106_00385-1,-2.3596537
s_016um_00084_00266-1,-2.572875
s_016um_00147_00399-1,-2.750988
s_016um_00398_00182-1,-3.1099744
s_016um_00273_00052-1,-2.94259
s_016um_00101_00023-1,-2.989225
s_016um_00378_00137-1,-2.8986905
s_016um_00095_00277-1,-2.658909
s_016um_00141_00223-1,-2.9937637
s_016um_00260_00133-1,-2.6169457
s_016um_00272_00058-1,-2.8027067
s_016um_00169_00370-1,-2.7435124
s_016um_00353_00023-1,-3.385436
s_016um_00389_00292-1,-2.7326546
s_016um_00253_00026-1,-2.7046697
s_016um_00362_00226-1,-2.919438
s_016um_00079_00236-1,-3.0259948
s_016um_00403_00150-1,-2.7017512
s_016um_00046_00209-1,-2.8972569
s_016um_00400_00402-1,-6.7713766
s_016um_00219_00281-1,-2.6899877
s_016um_00274_00225-1,-2.8237224
s_016um_00053_00248-1,-3.5762224
s_016um_00081_00292-1,-2.401367
s_016um_00361_00290-1,-3.3330805
s_016um_00277_00327-1,-3.0120502
s_016um_00138_00215-1,-3.9257495
s_016um_00074_00248-1,-2.4615498
s_016um_00083_00200-1,-2.8428533
s_016um_00329_00218-1,-2.7431185
s_016um_00005_00296-1,-2.7999237
s_016um_00276_00208-1,-2.6966453
s_016um_00039_00178-1,-2.6204603
s_016um_00123_00386-1,-2.6134381
s_016um_00143_00020-1,-3.2949626
