spot_id,predicted_protein_value
s_016um_00380_00137-1,-3.2463923
s_016um_00037_00102-1,-3.2544398
s_016um_00328_00304-1,-3.2313948
s_016um_00343_00400-1,-3.1585855
s_016um_00009_00155-1,-3.0165381
s_016um_00009_00150-1,-3.2678182
s_016um_00109_00316-1,-2.8271875
s_016um_00330_00253-1,-3.4425826
s_016um_00366_00225-1,-3.2513256
s_016um_00267_00058-1,-3.2630608
s_016um_00274_00229-1,-2.7089062
s_016um_00219_00167-1,-3.1765964
s_016um_00209_00032-1,-3.196659
s_016um_00112_00314-1,-2.8072278
s_016um_00122_00145-1,-3.1368268
s_016um_00201_00148-1,-3.1262321
s_016um_00232_00085-1,-2.8743367
s_016um_00034_00102-1,-3.3078408
s_016um_00080_00283-1,-3.1123219
s_016um_00142_00062-1,-2.9762406
s_016um_00242_00085-1,-2.6287298
s_016um_00382_00138-1,-3.2889915
s_016um_00321_00227-1,-2.9274204
s_016um_00081_00240-1,-3.2978888
s_016um_00362_00411-1,-3.5060048
s_016um_00323_00167-1,-2.7277348
s_016um_00323_00162-1,-3.094934
s_016um_00394_00215-1,-3.2389324
s_016um_00219_00026-1,-3.3324997
s_016um_00363_00414-1,-3.470501
s_016um_00233_00267-1,-2.8619642
s_016um_00033_00089-1,-2.9252293
s_016um_00082_00197-1,-3.2339077
s_016um_00235_00090-1,-2.6940176
s_016um_00127_00318-1,-2.9659448
s_016um_00040_00098-1,-3.1613696
s_016um_00217_00172-1,-3.3218791
s_016um_00259_00034-1,-2.9768138
s_016um_00276_00133-1,-3.2251525
s_016um_00325_00123-1,-3.2552185
s_016um_00341_00399-1,-3.1908724
s_016um_00191_00093-1,-3.0587366
s_016um_00129_00321-1,-2.7494347
s_016um_00263_00061-1,-3.0739937
s_016um_00341_00215-1,-3.1792154
s_016um_00270_00034-1,-2.9569438
s_016um_00395_00365-1,-3.6577291
s_016um_00083_00278-1,-3.0878575
s_016um_00134_00321-1,-2.4333067
s_016um_00038_00098-1,-3.213506
s_016um_00278_00048-1,-2.9515347
s_016um_00120_00149-1,-2.7444153
s_016um_00199_00149-1,-3.0032573
s_016um_00275_00229-1,-2.8836663
s_016um_00140_00022-1,-3.7196827
s_016um_00080_00236-1,-2.9377167
s_016um_00367_00099-1,-3.4042954
s_016um_00232_00263-1,-3.2244625
s_016um_00166_00129-1,-3.5013766
s_016um_00356_00115-1,-3.1466382
s_016um_00230_00250-1,-3.4161794
s_016um_00394_00181-1,-2.9988923
s_016um_00137_00222-1,-2.9059372
s_016um_00323_00228-1,-3.181559
s_016um_00343_00215-1,-3.1452801
s_016um_00124_00383-1,-2.8291655
s_016um_00111_00320-1,-3.1444232
s_016um_00199_00148-1,-3.0071814
s_016um_00034_00336-1,-3.003599
s_016um_00206_00149-1,-3.1062157
s_016um_00019_00265-1,-3.1607947
s_016um_00026_00089-1,-3.3987346
s_016um_00205_00153-1,-3.2842236
s_016um_00385_00292-1,-3.0304182
s_016um_00390_00181-1,-2.9579399
s_016um_00320_00166-1,-2.9719481
s_016um_00385_00293-1,-2.8884656
s_016um_00142_00218-1,-2.4979177
s_016um_00130_00233-1,-3.2825909
s_016um_00101_00030-1,-3.3641033
s_016um_00216_00292-1,-3.1812224
s_016um_00409_00101-1,-3.2202837
s_016um_00028_00335-1,-3.1774356
s_016um_00249_00020-1,-3.504489
s_016um_00260_00127-1,-3.3429174
s_016um_00217_00281-1,-2.9385717
s_016um_00081_00296-1,-3.0185678
s_016um_00368_00145-1,-3.316649
s_016um_00128_00316-1,-2.9052424
s_016um_00270_00058-1,-3.351869
s_016um_00138_00074-1,-2.6823916
s_016um_00236_00083-1,-3.0609577
s_016um_00266_00059-1,-3.3282084
s_016um_00076_00241-1,-2.7778373
s_016um_00320_00162-1,-3.0746865
s_016um_00216_00295-1,-3.0232613
s_016um_00043_00049-1,-3.1839077
s_016um_00376_00119-1,-3.2379882
s_016um_00099_00071-1,-3.2448053
s_016um_00273_00132-1,-3.0535676
s_016um_00145_00021-1,-3.601882
s_016um_00356_00410-1,-3.3919632
s_016um_00098_00340-1,-3.1938488
s_016um_00171_00128-1,-2.9912236
s_016um_00203_00149-1,-2.9564354
s_016um_00195_00090-1,-2.854092
s_016um_00098_00073-1,-3.130561
s_016um_00337_00255-1,-3.3426187
s_016um_00401_00259-1,-2.979533
s_016um_00211_00289-1,-3.2196972
s_016um_00372_00121-1,-3.1615007
s_016um_00087_00194-1,-3.076011
s_016um_00220_00226-1,-3.1269279
s_016um_00066_00126-1,-3.1627052
s_016um_00251_00020-1,-3.1453142
s_016um_00042_00044-1,-3.2278047
s_016um_00098_00027-1,-2.965142
s_016um_00228_00249-1,-3.0732303
s_016um_00038_00172-1,-3.385931
s_016um_00209_00296-1,-3.0144157
s_016um_00106_00385-1,-2.7560978
s_016um_00084_00266-1,-3.0355456
s_016um_00147_00399-1,-2.9514797
s_016um_00398_00182-1,-3.271599
s_016um_00273_00052-1,-2.7539506
s_016um_00101_00023-1,-3.136088
s_016um_00378_00137-1,-3.3001416
s_016um_00095_00277-1,-3.0345373
s_016um_00141_00223-1,-3.2814312
s_016um_00260_00133-1,-3.2353234
s_016um_00272_00058-1,-3.1759138
s_016um_00169_00370-1,-3.3100057
s_016um_00353_00023-1,-2.9752817
s_016um_00389_00292-1,-3.2805383
s_016um_00253_00026-1,-2.8951888
s_016um_00362_00226-1,-3.2536407
s_016um_00079_00236-1,-2.9164364
s_016um_00403_00150-1,-3.2560477
s_016um_00046_00209-1,-2.9698505
s_016um_00400_00402-1,-2.6930192
s_016um_00219_00281-1,-3.1624274
s_016um_00274_00225-1,-3.1787062
s_016um_00053_00248-1,-3.1574516
s_016um_00081_00292-1,-2.755981
s_016um_00361_00290-1,-2.8992078
s_016um_00277_00327-1,-3.1448262
s_016um_00138_00215-1,-2.7861915
s_016um_00074_00248-1,-2.8987036
s_016um_00083_00200-1,-3.1891384
s_016um_00329_00218-1,-3.3383536
s_016um_00005_00296-1,-3.3180501
s_016um_00276_00208-1,-3.219016
s_016um_00039_00178-1,-3.0213685
s_016um_00123_00386-1,-2.8168976
s_016um_00143_00020-1,-3.079774
s_016um_00407_00401-1,-3.0526056
s_016um_00391_00343-1,-3.7298386
s_016um_00031_00331-1,-3.1959586
s_016um_00228_00237-1,-3.2048664
s_016um_00218_00032-1,-2.815385
s_016um_00396_00220-1,-3.0970976
s_016um_00215_00282-1,-2.79487
s_016um_00008_00153-1,-3.5106802
s_016um_00102_00383-1,-2.9800873
