spot_id,predicted_protein_value
s_016um_00380_00137-1,1.387724
s_016um_00037_00102-1,1.2291672
s_016um_00328_00304-1,1.3223025
s_016um_00343_00400-1,1.4483114
s_016um_00009_00155-1,1.1599874
s_016um_00009_00150-1,1.1932616
s_016um_00109_00316-1,1.2773623
s_016um_00330_00253-1,1.3413414
s_016um_00366_00225-1,1.2774616
s_016um_00267_00058-1,1.4110543
s_016um_00274_00229-1,1.1728137
s_016um_00219_00167-1,1.2350796
s_016um_00209_00032-1,1.2441792
s_016um_00112_00314-1,1.2171566
s_016um_00122_00145-1,1.190253
s_016um_00201_00148-1,1.2295786
s_016um_00232_00085-1,1.3017132
s_016um_00034_00102-1,1.2309892
s_016um_00080_00283-1,1.2394651
s_016um_00142_00062-1,1.1580967
s_016um_00242_00085-1,1.3214815
s_016um_00382_00138-1,1.2715508
s_016um_00321_00227-1,1.3006716
s_016um_00081_00240-1,1.2727288
s_016um_00362_00411-1,1.5999253
s_016um_00323_00167-1,1.332396
s_016um_00323_00162-1,1.3260847
s_016um_00394_00215-1,1.3007463
s_016um_00219_00026-1,1.2728469
s_016um_00363_00414-1,1.6388513
s_016um_00233_00267-1,1.2755637
s_016um_00033_00089-1,1.2001266
s_016um_00082_00197-1,1.4053062
s_016um_00235_00090-1,1.2044833
s_016um_00127_00318-1,1.2246659
s_016um_00040_00098-1,1.0989405
s_016um_00217_00172-1,1.2545805
s_016um_00259_00034-1,1.1875108
s_016um_00276_00133-1,1.2775141
s_016um_00325_00123-1,1.2407366
s_016um_00341_00399-1,1.3056022
s_016um_00191_00093-1,1.1518435
s_016um_00129_00321-1,1.2642801
s_016um_00263_00061-1,1.4246075
s_016um_00341_00215-1,1.3138268
s_016um_00270_00034-1,1.2507985
s_016um_00395_00365-1,1.2681224
s_016um_00083_00278-1,1.2155299
s_016um_00134_00321-1,1.4518644
s_016um_00038_00098-1,1.224079
s_016um_00278_00048-1,1.2358881
s_016um_00120_00149-1,1.2344172
s_016um_00199_00149-1,1.1831493
s_016um_00275_00229-1,1.1814688
s_016um_00140_00022-1,1.3118663
s_016um_00080_00236-1,1.432221
s_016um_00367_00099-1,1.4750001
s_016um_00232_00263-1,1.4537642
s_016um_00166_00129-1,1.3221439
s_016um_00356_00115-1,1.2126282
s_016um_00230_00250-1,1.2054136
s_016um_00394_00181-1,1.2947258
s_016um_00137_00222-1,1.2474471
s_016um_00323_00228-1,1.2620597
s_016um_00343_00215-1,1.2376891
s_016um_00124_00383-1,1.2939825
s_016um_00111_00320-1,1.3931887
s_016um_00199_00148-1,1.2396194
s_016um_00034_00336-1,1.3148495
s_016um_00206_00149-1,1.2660636
s_016um_00019_00265-1,1.3690164
s_016um_00026_00089-1,1.1951574
s_016um_00205_00153-1,1.2192225
s_016um_00385_00292-1,1.5055413
s_016um_00390_00181-1,1.302775
s_016um_00320_00166-1,1.2224367
s_016um_00385_00293-1,1.2113569
s_016um_00142_00218-1,1.3675278
s_016um_00130_00233-1,1.2522655
s_016um_00101_00030-1,1.2183129
s_016um_00216_00292-1,1.2400678
s_016um_00409_00101-1,1.2207301
s_016um_00028_00335-1,1.2007492
s_016um_00249_00020-1,1.3627042
s_016um_00260_00127-1,1.2573538
s_016um_00217_00281-1,1.2068353
s_016um_00081_00296-1,1.1271008
s_016um_00368_00145-1,1.256267
s_016um_00128_00316-1,1.2987161
s_016um_00270_00058-1,1.3294607
s_016um_00138_00074-1,1.1518086
s_016um_00236_00083-1,1.2097551
s_016um_00266_00059-1,1.2800347
s_016um_00076_00241-1,1.1923239
s_016um_00320_00162-1,1.3380408
s_016um_00216_00295-1,1.2262108
s_016um_00043_00049-1,1.1857237
s_016um_00376_00119-1,1.3940337
s_016um_00099_00071-1,1.2278187
s_016um_00273_00132-1,1.2320833
s_016um_00145_00021-1,1.2046419
s_016um_00356_00410-1,1.5665473
s_016um_00098_00340-1,1.2972689
s_016um_00171_00128-1,1.163884
s_016um_00203_00149-1,1.1962416
s_016um_00195_00090-1,1.1602672
s_016um_00098_00073-1,1.1981342
s_016um_00337_00255-1,1.317582
s_016um_00401_00259-1,1.2609483
s_016um_00211_00289-1,1.2915319
s_016um_00372_00121-1,1.1920351
s_016um_00087_00194-1,1.2469709
s_016um_00220_00226-1,1.1697874
s_016um_00066_00126-1,1.1409161
s_016um_00251_00020-1,1.1970425
s_016um_00042_00044-1,1.1797471
s_016um_00098_00027-1,1.2400682
s_016um_00228_00249-1,1.1688119
s_016um_00038_00172-1,1.2273866
s_016um_00209_00296-1,1.1932197
s_016um_00106_00385-1,1.2187699
s_016um_00084_00266-1,1.2611877
s_016um_00147_00399-1,1.2201574
s_016um_00398_00182-1,1.3077916
s_016um_00273_00052-1,1.3584327
s_016um_00101_00023-1,1.2059702
s_016um_00378_00137-1,1.3147671
s_016um_00095_00277-1,1.2434331
s_016um_00141_00223-1,1.289159
s_016um_00260_00133-1,1.2437239
s_016um_00272_00058-1,1.280167
s_016um_00169_00370-1,1.2510055
s_016um_00353_00023-1,1.3116882
s_016um_00389_00292-1,1.2958239
s_016um_00253_00026-1,1.2420874
s_016um_00362_00226-1,1.2265929
s_016um_00079_00236-1,1.3231522
s_016um_00403_00150-1,1.1745026
s_016um_00046_00209-1,1.2781231
s_016um_00400_00402-1,2.3032289
s_016um_00219_00281-1,1.2113397
s_016um_00274_00225-1,1.2337605
s_016um_00053_00248-1,1.3163073
s_016um_00081_00292-1,1.2535013
s_016um_00361_00290-1,1.422523
s_016um_00277_00327-1,1.2395275
s_016um_00138_00215-1,1.3826957
s_016um_00074_00248-1,1.2042885
s_016um_00083_00200-1,1.2542062
s_016um_00329_00218-1,1.2357243
s_016um_00005_00296-1,1.2502402
s_016um_00276_00208-1,1.2151074
s_016um_00039_00178-1,1.2295771
s_016um_00123_00386-1,1.2050899
s_016um_00143_00020-1,1.2746817
s_016um_00407_00401-1,1.951082
s_016um_00391_00343-1,1.4570135
s_016um_00031_00331-1,1.2422588
s_016um_00228_00237-1,1.1910441
s_016um_00218_00032-1,1.1916673
s_016um_00396_00220-1,1.2992109
s_016um_00215_00282-1,1.2081721
s_016um_00008_00153-1,1.1979827
s_016um_00102_00383-1,1.1457255
s_016um_00184_00028-1,1.34562
s_016um_00266_00057-1,1.2510456
s_016um_00141_00060-1,1.235166
s_016um_00193_00120-1,1.2699379
s_016um_00268_00332-1,1.2695504
s_016um_00209_00031-1,1.2841693
s_016um_00354_00416-1,1.8947265
s_016um_00365_00098-1,1.2301098
s_016um_00041_00049-1,1.2186687
s_016um_00210_00296-1,1.2312816
s_016um_00089_00068-1,1.1093954
s_016um_00245_00086-1,1.2819185
s_016um_00193_00130-1,1.2421929
s_016um_00126_00089-1,1.3096004
s_016um_00083_00071-1,1.2049725
s_016um_00235_00268-1,1.2152691
s_016um_00219_00280-1,1.3334942
s_016um_00079_00241-1,1.2127556
s_016um_00133_00230-1,1.192235
s_016um_00257_00034-1,1.2580298
s_016um_00263_00187-1,1.3295578
s_016um_00394_00358-1,1.4845982
s_016um_00105_00384-1,1.3082745
s_016um_00129_00386-1,1.3238977
s_016um_00262_00186-1,1.3209264
s_016um_00417_00138-1,1.1711166
s_016um_00287_00092-1,1.2708721
s_016um_00177_00032-1,1.4499671
s_016um_00110_00318-1,1.2872941
s_016um_00218_00277-1,1.1738803
s_016um_00260_00033-1,1.2422916
s_016um_00386_00295-1,1.2566607
s_016um_00360_00286-1,1.3338698
s_016um_00030_00331-1,1.1906401
s_016um_00266_00332-1,1.2583714
s_016um_00197_00123-1,1.2840399
s_016um_00271_00221-1,1.2372905
s_016um_00265_00033-1,1.2879641
s_016um_00273_00201-1,1.2359183
s_016um_00359_00096-1,1.330404
s_016um_00220_00030-1,1.1859936
s_016um_00097_00317-1,1.3358443
s_016um_00346_00212-1,1.336641
s_016um_00389_00345-1,1.1970612
s_016um_00067_00131-1,1.2321619
s_016um_00401_00403-1,1.8467844
s_016um_00214_00029-1,1.3225242
s_016um_00266_00036-1,1.2320955
s_016um_00065_00235-1,1.3157072
s_016um_00037_00045-1,1.1912677
s_016um_00084_00029-1,1.2308648
s_016um_00265_00336-1,1.2721204
s_016um_00395_00217-1,1.2311172
s_016um_00214_00278-1,1.1523373
s_016um_00077_00293-1,1.3445799
s_016um_00280_00130-1,1.3017561
s_016um_00088_00267-1,1.293622
s_016um_00372_00120-1,1.246451
s_016um_00109_00315-1,1.2210448
s_016um_00416_00142-1,1.2842556
s_016um_00282_00325-1,1.2762936
s_016um_00384_00128-1,1.2399538
s_016um_00102_00068-1,1.322128
s_016um_00005_00299-1,1.1249379
s_016um_00361_00415-1,2.0152378
s_016um_00330_00214-1,1.3453908
s_016um_00265_00058-1,1.363034
s_016um_00222_00031-1,1.2411844
s_016um_00364_00228-1,1.2839793
s_016um_00381_00134-1,1.2617764
s_016um_00280_00204-1,1.2034196
s_016um_00146_00018-1,1.1394244
s_016um_00089_00067-1,1.2076432
s_016um_00130_00086-1,1.2340269
s_016um_00408_00098-1,1.2125885
s_016um_00060_00249-1,1.3923279
s_016um_00334_00215-1,1.1714832
s_016um_00095_00276-1,1.1813133
s_016um_00403_00120-1,1.2687092
s_016um_00267_00133-1,1.2623731
s_016um_00229_00267-1,1.2224202
s_016um_00384_00130-1,1.2730235
s_016um_00029_00331-1,1.1662915
s_016um_00226_00332-1,1.2479746
s_016um_00409_00152-1,1.2914269
s_016um_00269_00037-1,1.2262101
s_016um_00281_00315-1,1.2759887
s_016um_00205_00148-1,1.2319801
s_016um_00261_00190-1,1.2197727
s_016um_00083_00030-1,1.3817301
s_016um_00106_00320-1,1.2479948
s_016um_00031_00087-1,1.1847571
s_016um_00040_00041-1,1.1190068
s_016um_00079_00268-1,1.1522365
s_016um_00400_00123-1,1.3730586
s_016um_00218_00010-1,1.1753829
s_016um_00270_00331-1,1.3571122
s_016um_00140_00018-1,1.2416325
s_016um_00209_00033-1,1.346781
s_016um_00267_00063-1,1.371868
s_016um_00041_00219-1,1.3018155
s_016um_00106_00389-1,1.2855028
s_016um_00355_00290-1,1.3293618
s_016um_00094_00337-1,1.214909
s_016um_00035_00005-1,1.2372296
s_016um_00220_00278-1,1.2404884
s_016um_00275_00051-1,1.3284036
s_016um_00311_00054-1,1.2906994
s_016um_00402_00395-1,1.8843994
s_016um_00334_00402-1,1.4152045
s_016um_00125_00092-1,1.2777461
s_016um_00328_00121-1,1.2963341
s_016um_00219_00012-1,1.2001616
s_016um_00402_00216-1,1.208084
s_016um_00136_00069-1,1.272539
s_016um_00140_00014-1,1.1412988
s_016um_00266_00330-1,1.3263541
s_016um_00131_00315-1,1.4902352
s_016um_00333_00210-1,1.1928306
s_016um_00356_00090-1,1.3486336
s_016um_00092_00320-1,1.1516694
s_016um_00120_00148-1,1.250953
s_016um_00138_00076-1,1.2055566
s_016um_00077_00236-1,1.2359306
s_016um_00268_00230-1,1.2038014
s_016um_00381_00139-1,1.2034206
s_016um_00235_00362-1,1.3692263
s_016um_00223_00230-1,1.3450128
s_016um_00138_00221-1,1.3198718
s_016um_00390_00338-1,1.2232163
s_016um_00008_00295-1,1.2497127
s_016um_00079_00280-1,1.2319363
s_016um_00277_00201-1,1.175481
s_016um_00399_00122-1,1.3322126
s_016um_00308_00052-1,1.2929314
s_016um_00357_00120-1,1.3048637
s_016um_00071_00236-1,1.2924997
s_016um_00367_00224-1,1.1999946
s_016um_00145_00062-1,1.2212203
s_016um_00085_00279-1,1.2263824
s_016um_00278_00138-1,1.2485983
s_016um_00044_00244-1,1.2133816
s_016um_00261_00335-1,1.347433
s_016um_00180_00033-1,1.2912638
s_016um_00088_00265-1,1.1991128
s_016um_00130_00317-1,1.5369883
s_016um_00323_00163-1,1.2095432
s_016um_00359_00294-1,1.3239816
s_016um_00219_00030-1,1.1199725
s_016um_00048_00217-1,1.3669477
s_016um_00008_00214-1,1.2201397
s_016um_00098_00315-1,1.2441484
s_016um_00259_00189-1,1.2328172
s_016um_00278_00316-1,1.206765
s_016um_00126_00088-1,1.2417748
s_016um_00261_00127-1,1.2259873
s_016um_00402_00121-1,1.2508162
s_016um_00081_00271-1,1.1973289
s_016um_00236_00188-1,1.2437414
s_016um_00370_00228-1,1.2154804
s_016um_00129_00085-1,1.2428792
s_016um_00030_00329-1,1.179515
s_016um_00059_00244-1,1.3075287
s_016um_00040_00009-1,1.0778913
s_016um_00041_00178-1,1.2639955
s_016um_00272_00033-1,1.4112794
s_016um_00393_00363-1,1.4183748
s_016um_00094_00272-1,1.2752577
s_016um_00353_00025-1,1.2520131
s_016um_00163_00123-1,1.1711082
s_016um_00085_00286-1,1.2405111
s_016um_00033_00104-1,1.137928
s_016um_00146_00059-1,1.2546494
s_016um_00073_00249-1,1.2014344
s_016um_00144_00398-1,1.4000931
