spot_id,predicted_protein_value
s_016um_00380_00137-1,-1.1529751
s_016um_00037_00102-1,-1.1870852
s_016um_00328_00304-1,-1.2205929
s_016um_00343_00400-1,-0.9669624
s_016um_00009_00155-1,-1.1935375
s_016um_00009_00150-1,-1.1472908
s_016um_00109_00316-1,-1.342046
s_016um_00330_00253-1,-1.2028226
s_016um_00366_00225-1,-1.043769
s_016um_00267_00058-1,-0.5361684
s_016um_00274_00229-1,-1.0963888
s_016um_00219_00167-1,-1.0383631
s_016um_00209_00032-1,-1.1278656
s_016um_00112_00314-1,-1.2654183
s_016um_00122_00145-1,-1.025907
s_016um_00201_00148-1,-1.3027297
s_016um_00232_00085-1,-1.2406555
s_016um_00034_00102-1,-1.0215873
s_016um_00080_00283-1,-0.9841999
s_016um_00142_00062-1,-1.051463
s_016um_00242_00085-1,-1.2509058
s_016um_00382_00138-1,-1.1509978
s_016um_00321_00227-1,-1.2475898
s_016um_00081_00240-1,-1.0496505
s_016um_00362_00411-1,-0.8424151
s_016um_00323_00167-1,-1.1170089
s_016um_00323_00162-1,-0.8550384
s_016um_00394_00215-1,-1.2149098
s_016um_00219_00026-1,-1.0030406
s_016um_00363_00414-1,-0.71763796
s_016um_00233_00267-1,-1.1736505
s_016um_00033_00089-1,-1.1233739
s_016um_00082_00197-1,-0.33099592
s_016um_00235_00090-1,-1.0726304
s_016um_00127_00318-1,-0.97081137
s_016um_00040_00098-1,-0.9958642
s_016um_00217_00172-1,-1.2205741
s_016um_00259_00034-1,-1.1926776
s_016um_00276_00133-1,-1.1090717
s_016um_00325_00123-1,-1.2864918
s_016um_00341_00399-1,-1.0135218
s_016um_00191_00093-1,-1.1505705
s_016um_00129_00321-1,-1.2445549
s_016um_00263_00061-1,-1.0854521
s_016um_00341_00215-1,-1.1484641
s_016um_00270_00034-1,-1.1742773
s_016um_00395_00365-1,-0.71167016
s_016um_00083_00278-1,-1.1388052
s_016um_00134_00321-1,0.33984923
s_016um_00038_00098-1,-1.1172949
s_016um_00278_00048-1,-0.79696023
s_016um_00120_00149-1,-1.2952688
s_016um_00199_00149-1,-1.1877766
s_016um_00275_00229-1,-1.1932731
s_016um_00140_00022-1,-1.0642068
s_016um_00080_00236-1,-0.5093123
s_016um_00367_00099-1,-0.20635056
s_016um_00232_00263-1,-1.3640693
s_016um_00166_00129-1,-1.0729513
s_016um_00356_00115-1,-1.0057727
s_016um_00230_00250-1,-0.9332528
s_016um_00394_00181-1,-1.2613013
s_016um_00137_00222-1,-1.1177988
s_016um_00323_00228-1,-1.2076433
s_016um_00343_00215-1,-1.2249666
s_016um_00124_00383-1,-1.2646801
s_016um_00111_00320-1,-0.30121797
s_016um_00199_00148-1,-1.1937015
s_016um_00034_00336-1,-1.3028026
s_016um_00206_00149-1,-1.1626301
s_016um_00019_00265-1,-0.8261273
s_016um_00026_00089-1,-1.145175
s_016um_00205_00153-1,-1.064743
s_016um_00385_00292-1,-1.0016336
s_016um_00390_00181-1,-1.2111884
s_016um_00320_00166-1,-0.99167126
s_016um_00385_00293-1,-1.2337358
s_016um_00142_00218-1,-0.7490616
s_016um_00130_00233-1,-1.2205888
s_016um_00101_00030-1,-0.9716146
s_016um_00216_00292-1,-1.1872377
s_016um_00409_00101-1,-0.9362149
s_016um_00028_00335-1,-1.1999139
s_016um_00249_00020-1,-0.79739785
s_016um_00260_00127-1,-1.2259867
s_016um_00217_00281-1,-1.1729374
s_016um_00081_00296-1,-1.1566731
s_016um_00368_00145-1,-1.112192
s_016um_00128_00316-1,-0.9375247
s_016um_00270_00058-1,-0.9772244
s_016um_00138_00074-1,-1.0600002
s_016um_00236_00083-1,-1.0801967
s_016um_00266_00059-1,-0.32407182
s_016um_00076_00241-1,-1.2552646
s_016um_00320_00162-1,-1.1316195
s_016um_00216_00295-1,-1.1927367
s_016um_00043_00049-1,-1.0416422
s_016um_00376_00119-1,-1.125055
s_016um_00099_00071-1,-1.1661638
s_016um_00273_00132-1,-1.1894833
s_016um_00145_00021-1,-1.0139873
s_016um_00356_00410-1,-1.0893906
s_016um_00098_00340-1,-1.1153171
s_016um_00171_00128-1,-1.178627
s_016um_00203_00149-1,-1.085673
s_016um_00195_00090-1,-1.1888663
s_016um_00098_00073-1,-0.781698
s_016um_00337_00255-1,-1.0733341
s_016um_00401_00259-1,-1.0333902
s_016um_00211_00289-1,-1.2529488
s_016um_00372_00121-1,-1.140881
s_016um_00087_00194-1,-1.2727582
s_016um_00220_00226-1,-1.2391812
s_016um_00066_00126-1,-1.1769754
s_016um_00251_00020-1,-1.0277416
s_016um_00042_00044-1,-1.1658434
s_016um_00098_00027-1,-1.202921
s_016um_00228_00249-1,-1.2069553
s_016um_00038_00172-1,-1.1628321
s_016um_00209_00296-1,-1.1724986
s_016um_00106_00385-1,-1.3881606
s_016um_00084_00266-1,-1.2691238
s_016um_00147_00399-1,-1.2421379
s_016um_00398_00182-1,-1.1171426
s_016um_00273_00052-1,-1.2547274
s_016um_00101_00023-1,-1.1121876
s_016um_00378_00137-1,-1.0450869
s_016um_00095_00277-1,-1.314705
s_016um_00141_00223-1,-1.2051549
s_016um_00260_00133-1,-1.2172191
s_016um_00272_00058-1,-1.1363319
s_016um_00169_00370-1,-1.2616388
s_016um_00353_00023-1,-1.0651652
s_016um_00389_00292-1,-1.2906265
s_016um_00253_00026-1,-1.1887525
s_016um_00362_00226-1,-1.1418251
s_016um_00079_00236-1,-1.2187817
