spot_id,predicted_protein_value
s_016um_00380_00137-1,1.0661367
s_016um_00037_00102-1,1.0505911
s_016um_00328_00304-1,1.0634562
s_016um_00343_00400-1,1.1179188
s_016um_00009_00155-1,1.0999326
s_016um_00009_00150-1,1.0930144
s_016um_00109_00316-1,0.99068034
s_016um_00330_00253-1,1.1324872
s_016um_00366_00225-1,1.0600364
s_016um_00267_00058-1,0.9090776
s_016um_00274_00229-1,1.0031272
s_016um_00219_00167-1,1.0920618
s_016um_00209_00032-1,1.0474555
s_016um_00112_00314-1,1.0478334
s_016um_00122_00145-1,1.0924745
s_016um_00201_00148-1,1.0918723
s_016um_00232_00085-1,0.9897001
s_016um_00034_00102-1,1.0632205
s_016um_00080_00283-1,1.0443083
s_016um_00142_00062-1,1.0595258
s_016um_00242_00085-1,0.9679399
s_016um_00382_00138-1,1.097099
s_016um_00321_00227-1,1.0098256
s_016um_00081_00240-1,1.067523
s_016um_00362_00411-1,1.1403303
s_016um_00323_00167-1,0.92526543
s_016um_00323_00162-1,1.0409615
s_016um_00394_00215-1,1.0105113
s_016um_00219_00026-1,1.0412058
s_016um_00363_00414-1,1.2816652
s_016um_00233_00267-1,1.0486176
s_016um_00033_00089-1,1.0516225
s_016um_00082_00197-1,0.9505519
s_016um_00235_00090-1,0.840098
s_016um_00127_00318-1,1.1284465
s_016um_00040_00098-1,1.0392219
s_016um_00217_00172-1,1.0766327
s_016um_00259_00034-1,1.0281125
s_016um_00276_00133-1,1.0521079
s_016um_00325_00123-1,1.1026502
s_016um_00341_00399-1,1.074975
s_016um_00191_00093-1,0.9968619
s_016um_00129_00321-1,1.0150356
s_016um_00263_00061-1,0.9917125
s_016um_00341_00215-1,1.0514704
s_016um_00270_00034-1,1.049654
s_016um_00395_00365-1,1.0988839
s_016um_00083_00278-1,1.0718893
s_016um_00134_00321-1,0.38692474
s_016um_00038_00098-1,1.0975789
s_016um_00278_00048-1,0.97445875
s_016um_00120_00149-1,1.0096539
s_016um_00199_00149-1,1.0319887
s_016um_00275_00229-1,0.95573866
s_016um_00140_00022-1,1.0527608
s_016um_00080_00236-1,0.79693115
s_016um_00367_00099-1,0.92366964
s_016um_00232_00263-1,1.0374721
s_016um_00166_00129-1,1.0603673
s_016um_00356_00115-1,1.0401458
s_016um_00230_00250-1,1.1414998
s_016um_00394_00181-1,1.037858
s_016um_00137_00222-1,0.9994099
s_016um_00323_00228-1,1.1008582
s_016um_00343_00215-1,1.0249585
s_016um_00124_00383-1,1.0297304
s_016um_00111_00320-1,0.75082576
s_016um_00199_00148-1,1.0481298
s_016um_00034_00336-1,1.0210867
s_016um_00206_00149-1,1.0158442
s_016um_00019_00265-1,0.98402566
s_016um_00026_00089-1,1.0745796
s_016um_00205_00153-1,1.0517089
s_016um_00385_00292-1,0.97128373
s_016um_00390_00181-1,0.9802319
