spot_id,predicted_protein_value
s_016um_00380_00137-1,-0.79537475
s_016um_00037_00102-1,-0.64001596
s_016um_00328_00304-1,-0.7340587
s_016um_00343_00400-1,-1.352814
s_016um_00009_00155-1,-0.5736372
s_016um_00009_00150-1,-0.72821873
s_016um_00109_00316-1,-0.5838605
s_016um_00330_00253-1,-0.82419735
s_016um_00366_00225-1,-0.7432401
s_016um_00267_00058-1,-1.080945
s_016um_00274_00229-1,-0.6568725
s_016um_00219_00167-1,-0.73439443
s_016um_00209_00032-1,-0.6261492
s_016um_00112_00314-1,-0.59085214
s_016um_00122_00145-1,-0.65904707
s_016um_00201_00148-1,-0.5949207
s_016um_00232_00085-1,-0.6319858
s_016um_00034_00102-1,-0.6018482
s_016um_00080_00283-1,-0.615728
s_016um_00142_00062-1,-0.6052288
s_016um_00242_00085-1,-0.6891042
s_016um_00382_00138-1,-0.65984213
s_016um_00321_00227-1,-0.81186426
s_016um_00081_00240-1,-0.6790485
s_016um_00362_00411-1,-1.4504933
s_016um_00323_00167-1,-0.7535994
s_016um_00323_00162-1,-0.8489998
s_016um_00394_00215-1,-0.94457394
s_016um_00219_00026-1,-0.76132864
s_016um_00363_00414-1,-2.0949347
s_016um_00233_00267-1,-0.7076061
s_016um_00033_00089-1,-0.5668744
s_016um_00082_00197-1,-0.9939436
s_016um_00235_00090-1,-1.1141988
s_016um_00127_00318-1,-0.9059057
s_016um_00040_00098-1,-0.69111294
s_016um_00217_00172-1,-0.6228168
s_016um_00259_00034-1,-0.62542796
s_016um_00276_00133-1,-0.75458366
s_016um_00325_00123-1,-0.64203775
s_016um_00341_00399-1,-0.8193268
s_016um_00191_00093-1,-0.53730357
s_016um_00129_00321-1,-0.5462626
s_016um_00263_00061-1,-0.8452692
s_016um_00341_00215-1,-0.69101983
s_016um_00270_00034-1,-0.57177114
s_016um_00395_00365-1,-0.8848438
s_016um_00083_00278-1,-0.61082494
s_016um_00134_00321-1,-1.6685839
s_016um_00038_00098-1,-0.65298855
s_016um_00278_00048-1,-0.7125308
s_016um_00120_00149-1,-0.5298456
s_016um_00199_00149-1,-0.49962005
s_016um_00275_00229-1,-0.6378366
s_016um_00140_00022-1,-0.65324295
s_016um_00080_00236-1,-0.8989907
s_016um_00367_00099-1,-1.023056
s_016um_00232_00263-1,-0.739818
s_016um_00166_00129-1,-0.8069913
s_016um_00356_00115-1,-0.7673803
s_016um_00230_00250-1,-0.6797243
s_016um_00394_00181-1,-0.6736282
s_016um_00137_00222-1,-0.76746947
s_016um_00323_00228-1,-0.7101303
