spot_id,predicted_protein_value
s_016um_00380_00137-1,1.4755633
s_016um_00037_00102-1,1.3996482
s_016um_00328_00304-1,1.4553556
s_016um_00343_00400-1,1.8772821
s_016um_00009_00155-1,1.4127437
s_016um_00009_00150-1,1.4643525
s_016um_00109_00316-1,1.3038311
s_016um_00330_00253-1,1.4421117
s_016um_00366_00225-1,1.505987
s_016um_00267_00058-1,1.8695753
s_016um_00274_00229-1,1.521334
s_016um_00219_00167-1,1.5090656
s_016um_00209_00032-1,1.4358355
s_016um_00112_00314-1,1.3747461
s_016um_00122_00145-1,1.4728798
s_016um_00201_00148-1,1.3705655
s_016um_00232_00085-1,1.3758234
s_016um_00034_00102-1,1.5952023
s_016um_00080_00283-1,1.4172975
s_016um_00142_00062-1,1.5108955
s_016um_00242_00085-1,1.4229535
s_016um_00382_00138-1,1.3679266
s_016um_00321_00227-1,1.4425837
s_016um_00081_00240-1,1.4635098
s_016um_00362_00411-1,1.8758367
s_016um_00323_00167-1,1.4750916
s_016um_00323_00162-1,1.6129159
s_016um_00394_00215-1,1.5605276
s_016um_00219_00026-1,1.5488298
s_016um_00363_00414-1,2.3358796
s_016um_00233_00267-1,1.4198526
s_016um_00033_00089-1,1.506332
s_016um_00082_00197-1,1.7041239
s_016um_00235_00090-1,1.6437595
s_016um_00127_00318-1,1.6360139
s_016um_00040_00098-1,1.6329818
s_016um_00217_00172-1,1.362332
s_016um_00259_00034-1,1.4648019
s_016um_00276_00133-1,1.4843866
s_016um_00325_00123-1,1.3116074
s_016um_00341_00399-1,1.5109762
s_016um_00191_00093-1,1.446388
s_016um_00129_00321-1,1.2586464
s_016um_00263_00061-1,1.496593
s_016um_00341_00215-1,1.4787403
s_016um_00270_00034-1,1.5205948
s_016um_00395_00365-1,1.6653124
s_016um_00083_00278-1,1.4384229
s_016um_00134_00321-1,2.1673713
s_016um_00038_00098-1,1.4485447
s_016um_00278_00048-1,1.4613181
s_016um_00120_00149-1,1.321928
s_016um_00199_00149-1,1.3745311
s_016um_00275_00229-1,1.4829507
s_016um_00140_00022-1,1.4778281
s_016um_00080_00236-1,1.5981827
s_016um_00367_00099-1,1.781464
s_016um_00232_00263-1,1.431724
s_016um_00166_00129-1,1.5614543
s_016um_00356_00115-1,1.4994863
s_016um_00230_00250-1,1.4603307
s_016um_00394_00181-1,1.3957561
s_016um_00137_00222-1,1.5480326
s_016um_00323_00228-1,1.4105647
s_016um_00343_00215-1,1.3115239
s_016um_00124_00383-1,1.2797372
s_016um_00111_00320-1,1.7230206
s_016um_00199_00148-1,1.3902485
s_016um_00034_00336-1,1.3697022
s_016um_00206_00149-1,1.4171492
s_016um_00019_00265-1,1.5320402
s_016um_00026_00089-1,1.3206654
s_016um_00205_00153-1,1.4755813
s_016um_00385_00292-1,1.5317223
s_016um_00390_00181-1,1.3991009
s_016um_00320_00166-1,1.4458907
s_016um_00385_00293-1,1.2157696
s_016um_00142_00218-1,1.5867652
s_016um_00130_00233-1,1.2979743
s_016um_00101_00030-1,1.5275075
s_016um_00216_00292-1,1.3577425
s_016um_00409_00101-1,1.4664134
s_016um_00028_00335-1,1.3344095
s_016um_00249_00020-1,1.49892
s_016um_00260_00127-1,1.3836675
s_016um_00217_00281-1,1.4118072
s_016um_00081_00296-1,1.3319987
s_016um_00368_00145-1,1.4523602
s_016um_00128_00316-1,1.7045796
s_016um_00270_00058-1,1.6139115
s_016um_00138_00074-1,1.4695872
s_016um_00236_00083-1,1.4917341
s_016um_00266_00059-1,1.5990013
s_016um_00076_00241-1,1.3955541
s_016um_00320_00162-1,1.4642293
s_016um_00216_00295-1,1.3049854
s_016um_00043_00049-1,1.4788853
s_016um_00376_00119-1,1.5153068
s_016um_00099_00071-1,1.4693521
s_016um_00273_00132-1,1.3921283
s_016um_00145_00021-1,1.4557874
s_016um_00356_00410-1,2.0009708
s_016um_00098_00340-1,1.562585
s_016um_00171_00128-1,1.4040555
s_016um_00203_00149-1,1.4567376
s_016um_00195_00090-1,1.4391495
s_016um_00098_00073-1,1.436797
s_016um_00337_00255-1,1.4493114
s_016um_00401_00259-1,1.4317013
s_016um_00211_00289-1,1.3378936
s_016um_00372_00121-1,1.3756398
s_016um_00087_00194-1,1.3969901
s_016um_00220_00226-1,1.3864585
s_016um_00066_00126-1,1.3493978
s_016um_00251_00020-1,1.5368855
s_016um_00042_00044-1,1.420031
s_016um_00098_00027-1,1.4354354
s_016um_00228_00249-1,1.3120842
s_016um_00038_00172-1,1.3814704
s_016um_00209_00296-1,1.4212322
s_016um_00106_00385-1,1.2842289
s_016um_00084_00266-1,1.3643129
s_016um_00147_00399-1,1.3548052
s_016um_00398_00182-1,1.4806283
s_016um_00273_00052-1,1.4760582
s_016um_00101_00023-1,1.4774798
s_016um_00378_00137-1,1.3832631
s_016um_00095_00277-1,1.363451
s_016um_00141_00223-1,1.4935954
s_016um_00260_00133-1,1.2975883
s_016um_00272_00058-1,1.395792
s_016um_00169_00370-1,1.4000515
s_016um_00353_00023-1,1.6313593
s_016um_00389_00292-1,1.3372166
s_016um_00253_00026-1,1.3962605
s_016um_00362_00226-1,1.4795175
s_016um_00079_00236-1,1.4589055
s_016um_00403_00150-1,1.3787941
s_016um_00046_00209-1,1.4176239
s_016um_00400_00402-1,3.1726384
s_016um_00219_00281-1,1.385268
s_016um_00274_00225-1,1.4148922
s_016um_00053_00248-1,1.7524505
s_016um_00081_00292-1,1.2885659
s_016um_00361_00290-1,1.4976184
s_016um_00277_00327-1,1.4666873
s_016um_00138_00215-1,1.6269424
s_016um_00074_00248-1,1.2924612
s_016um_00083_00200-1,1.4574174
s_016um_00329_00218-1,1.3624351
s_016um_00005_00296-1,1.4387542
s_016um_00276_00208-1,1.3435609
s_016um_00039_00178-1,1.3615005
s_016um_00123_00386-1,1.3459989
s_016um_00143_00020-1,1.4928889
s_016um_00407_00401-1,3.0902286
s_016um_00391_00343-1,2.1904054
s_016um_00031_00331-1,1.3910763
s_016um_00228_00237-1,1.3848963
s_016um_00218_00032-1,1.2884982
s_016um_00396_00220-1,1.2747374
s_016um_00215_00282-1,1.5304596
s_016um_00008_00153-1,1.4437441
s_016um_00102_00383-1,1.3439349
s_016um_00184_00028-1,1.5031276
s_016um_00266_00057-1,1.5533912
s_016um_00141_00060-1,1.4569273
s_016um_00193_00120-1,1.4306685
s_016um_00268_00332-1,1.3729533
s_016um_00209_00031-1,1.5186622
s_016um_00354_00416-1,2.5412166
s_016um_00365_00098-1,1.5266346
s_016um_00041_00049-1,1.5527385
s_016um_00210_00296-1,1.4597074
s_016um_00089_00068-1,1.2712055
s_016um_00245_00086-1,1.5029032
s_016um_00193_00130-1,1.4200394
s_016um_00126_00089-1,1.519098
s_016um_00083_00071-1,1.7246778
s_016um_00235_00268-1,1.3911492
s_016um_00219_00280-1,1.5061233
s_016um_00079_00241-1,1.5443689
s_016um_00133_00230-1,1.3825101
s_016um_00257_00034-1,1.5594536
s_016um_00263_00187-1,1.6136255
s_016um_00394_00358-1,1.8517307
s_016um_00105_00384-1,1.3461818
s_016um_00129_00386-1,1.4348575
