spot_id,predicted_protein_value
s_016um_00380_00137-1,0.80136627
s_016um_00037_00102-1,0.7176982
s_016um_00328_00304-1,0.5880891
s_016um_00343_00400-1,0.6507882
s_016um_00009_00155-1,0.71457654
s_016um_00009_00150-1,0.63603264
s_016um_00109_00316-1,0.875489
s_016um_00330_00253-1,0.647845
s_016um_00366_00225-1,0.56440675
s_016um_00267_00058-1,1.3066854
s_016um_00274_00229-1,0.7685411
s_016um_00219_00167-1,0.81819373
s_016um_00209_00032-1,0.7160568
s_016um_00112_00314-1,0.84775746
s_016um_00122_00145-1,0.8030907
s_016um_00201_00148-1,0.75852704
s_016um_00232_00085-1,0.9240674
s_016um_00034_00102-1,0.57155204
s_016um_00080_00283-1,0.7272077
s_016um_00142_00062-1,0.7182706
s_016um_00242_00085-1,0.8812932
s_016um_00382_00138-1,0.71654505
s_016um_00321_00227-1,0.7522287
s_016um_00081_00240-1,0.6939612
s_016um_00362_00411-1,0.6631005
s_016um_00323_00167-1,0.96958387
s_016um_00323_00162-1,0.7368986
s_016um_00394_00215-1,0.56292367
s_016um_00219_00026-1,0.7548297
s_016um_00363_00414-1,0.37807995
s_016um_00233_00267-1,0.71544296
s_016um_00033_00089-1,0.74273056
s_016um_00082_00197-1,1.0357475
s_016um_00235_00090-1,0.62988985
s_016um_00127_00318-1,0.6932991
s_016um_00040_00098-1,0.5796644
s_016um_00217_00172-1,0.74002117
s_016um_00259_00034-1,0.7167515
s_016um_00276_00133-1,0.76531583
s_016um_00325_00123-1,0.7748538
s_016um_00341_00399-1,0.8743812
s_016um_00191_00093-1,0.6868057
s_016um_00129_00321-1,0.92626876
s_016um_00263_00061-1,0.9285436
s_016um_00341_00215-1,0.76843154
s_016um_00270_00034-1,0.73306113
s_016um_00395_00365-1,0.52026606
s_016um_00083_00278-1,0.7720307
s_016um_00134_00321-1,1.6299512
s_016um_00038_00098-1,0.7146784
s_016um_00278_00048-1,0.9313296
s_016um_00120_00149-1,0.7211721
s_016um_00199_00149-1,0.69929564
s_016um_00275_00229-1,0.64123595
s_016um_00140_00022-1,0.74353516
s_016um_00080_00236-1,1.5638419
s_016um_00367_00099-1,1.2483706
s_016um_00232_00263-1,0.63735604
s_016um_00166_00129-1,0.6117116
s_016um_00356_00115-1,0.8887083
s_016um_00230_00250-1,0.6533009
s_016um_00394_00181-1,0.8033539
s_016um_00137_00222-1,0.7875346
s_016um_00323_00228-1,0.76113945
s_016um_00343_00215-1,0.6282505
s_016um_00124_00383-1,0.7883105
s_016um_00111_00320-1,1.3801465
s_016um_00199_00148-1,0.83829385
s_016um_00034_00336-1,0.7784063
s_016um_00206_00149-1,0.9668025
s_016um_00019_00265-1,1.0478182
s_016um_00026_00089-1,0.69496465
s_016um_00205_00153-1,0.84307677
s_016um_00385_00292-1,0.93309736
s_016um_00390_00181-1,0.776556
s_016um_00320_00166-1,0.8965435
s_016um_00385_00293-1,0.8906704
s_016um_00142_00218-1,1.4307184
s_016um_00130_00233-1,0.72395825
s_016um_00101_00030-1,0.7318171
s_016um_00216_00292-1,0.76911896
s_016um_00409_00101-1,0.76649356
s_016um_00028_00335-1,0.78639877
s_016um_00249_00020-1,0.9352571
s_016um_00260_00127-1,0.76625407
s_016um_00217_00281-1,0.7652577
s_016um_00081_00296-1,0.8421784
s_016um_00368_00145-1,0.78341496
s_016um_00128_00316-1,0.8268386
s_016um_00270_00058-1,0.7884795
s_016um_00138_00074-1,0.6347414
s_016um_00236_00083-1,0.85703146
s_016um_00266_00059-1,1.3722812
s_016um_00076_00241-1,0.7666768
s_016um_00320_00162-1,0.7135924
s_016um_00216_00295-1,0.63724643
s_016um_00043_00049-1,0.771019
s_016um_00376_00119-1,0.79313856
s_016um_00099_00071-1,0.66811883
s_016um_00273_00132-1,0.8016612
s_016um_00145_00021-1,0.5170276
