fold,protein,pearson_r,rmse,mae
1,synd,0.5965318635796364,0.4083353281021118,0.27797216176986694
1,FOXP3,0.45803027375621286,0.2376713901758194,0.17731770873069763
1,CD16,0.4950203145991902,0.6289069652557373,0.47530579566955566
1,CD31,0.357969831482661,0.3305773437023163,0.21898043155670166
1,CXCL13,0.39442994146393584,0.2514871060848236,0.18903128802776337
1,Ki67,0.4819705951450426,0.9988964796066284,0.8127534985542297
1,OLIG2,0.5139566821880188,0.44848868250846863,0.3614753484725952
1,CXCR5,0.3632147882605685,0.23708833754062653,0.17160694301128387
1,HLA-A,0.29993844675443493,0.41610679030418396,0.334110826253891
1,PD-L1,0.3585958841947763,0.2588782012462616,0.19424065947532654
1,PSD95,0.4275264044546541,0.6135908365249634,0.4918297827243805
1,CD20,0.34307032642218105,0.32155224680900574,0.22328409552574158
1,CD68,0.3330686135305979,0.3318801522254944,0.23669736087322235
1,CD44,0.5081141076282794,0.7402376532554626,0.5564823150634766
1,SMA,0.25394733164726513,0.5863097310066223,0.42458876967430115
1,MSH6,0.4830518231762575,0.42876240611076355,0.33613112568855286
1,CD23,0.557623443290758,0.6079205274581909,0.47723066806793213
1,GFAP,0.47502272660231226,0.32581570744514465,0.25277525186538696
1,SYNA,0.5445220565572061,0.2760363519191742,0.20004422962665558
1,Podoplanin,0.4397538149517823,0.419015496969223,0.31882399320602417
1,Vimentin,0.310974046915431,0.32896938920021057,0.25305241346359253
1,CD47,0.3601998516128148,0.220489040017128,0.15948651731014252
1,CD74,0.48701307073751643,0.749889075756073,0.604546308517456
1,SIRP,0.45819360232100964,0.2587132751941681,0.19438764452934265
1,Granzyme B,0.5860689751071071,0.49671056866645813,0.3733159303665161
1,IDH1,0.49464760206807995,0.25822702050209045,0.19325900077819824
1,MPO,0.6241594367356268,0.28252318501472473,0.1949998140335083
1,CD45,0.28739586506453213,0.33135247230529785,0.24699565768241882
1,CD21,0.4922240066773953,0.29472973942756653,0.20113825798034668
1,FIBR,0.37150639039788314,0.18949922919273376,0.13810031116008759
1,C-KIT,0.5366171357070227,0.44968509674072266,0.3520609140396118
1,CD3e,0.28522957782722824,0.26324528455734253,0.18549129366874695
1,TOX,0.6171499346910442,0.3985038101673126,0.2764579951763153
1,PD-1,0.38798713879804303,0.210245743393898,0.15195560455322266
1,PDGFR,0.5630087054709049,0.3812527656555176,0.29602131247520447
1,CD4,0.3537349940309866,0.2500002384185791,0.18423227965831757
1,MAP2,0.6499469467376845,0.4112885296344757,0.30245834589004517
1,CD8,0.47880093875998775,0.3605542480945587,0.24889178574085236
1,MGMT,0.32355495131843154,0.29459163546562195,0.20961099863052368
1,CD38,0.32765920365312573,0.2951001226902008,0.22082963585853577
1,HLA-DR,0.34054642953903685,0.39644676446914673,0.28619417548179626
1,CD14,0.4061980523069237,0.3846355080604553,0.2904582619667053
1,ICOS,0.4300966907269695,0.1959974467754364,0.1435682326555252
1,Granzyme K,0.46061023972580223,0.29738906025886536,0.22467957437038422
2,synd,0.5664170057575635,0.4164249002933502,0.28050750494003296
2,FOXP3,0.4579876460945132,0.240880087018013,0.17693106830120087
2,CD16,0.48838843684838995,0.6158350706100464,0.46299076080322266
2,CD31,0.3793531978889875,0.334820955991745,0.21912012994289398
2,CXCL13,0.4157922029334908,0.2519981861114502,0.18685299158096313
2,Ki67,0.4992190412475499,0.9854198098182678,0.8046268820762634
2,OLIG2,0.5253834322931822,0.4454892575740814,0.3581721782684326
2,CXCR5,0.3778896255857695,0.24131739139556885,0.1715918332338333
2,HLA-A,0.3003539148115007,0.41695788502693176,0.335309773683548
2,PD-L1,0.38624586024365665,0.2596379220485687,0.1929912120103836
2,PSD95,0.4413778141452004,0.6041899919509888,0.49144211411476135
2,CD20,0.3530837323375859,0.3237367272377014,0.2248852252960205
2,CD68,0.36494202014243915,0.3248416483402252,0.23136025667190552
2,CD44,0.5473887368347993,0.7578588128089905,0.5737103223800659
2,SMA,0.3220048320679746,0.6098762154579163,0.43022966384887695
2,MSH6,0.5149104113914292,0.41734403371810913,0.3261365592479706
2,CD23,0.5945345238950797,0.5879184603691101,0.4675118625164032
2,GFAP,0.4591870202001315,0.33606308698654175,0.26060765981674194
2,SYNA,0.5352848529033462,0.2850535213947296,0.204421266913414
2,Podoplanin,0.37241781626741427,0.39898592233657837,0.3123258352279663
2,Vimentin,0.3212479069049022,0.3344476819038391,0.2575387954711914
2,CD47,0.37843890763888477,0.22412976622581482,0.16271688044071198
2,CD74,0.4889329428211177,0.7495266795158386,0.6050592660903931
2,SIRP,0.4733895928599637,0.2660159468650818,0.1961672157049179
2,Granzyme B,0.5892351614072083,0.4826861023902893,0.36477190256118774
2,IDH1,0.5225996995218106,0.26030245423316956,0.19418738782405853
2,MPO,0.6134430904757738,0.2670411765575409,0.18738053739070892
2,CD45,0.3365126785205232,0.3361012041568756,0.2477583885192871
2,CD21,0.4858100286005145,0.29402589797973633,0.20312069356441498
2,FIBR,0.38315465126690545,0.1980380266904831,0.13874764740467072
2,C-KIT,0.5487914241639468,0.43598952889442444,0.3447442352771759
2,CD3e,0.27807669308121125,0.27548596262931824,0.185618057847023
2,TOX,0.6246993595059183,0.37749698758125305,0.26675349473953247
2,PD-1,0.3679622485697299,0.21871069073677063,0.15129317343235016
2,PDGFR,0.5796416908044538,0.37084564566612244,0.29074156284332275
2,CD4,0.3840431658508489,0.26192399859428406,0.18623994290828705
2,MAP2,0.630069785773493,0.39642533659935,0.2938043475151062
2,CD8,0.4757028026257442,0.3596758544445038,0.24501283466815948
2,MGMT,0.37311292409561697,0.30631980299949646,0.21298296749591827
2,CD38,0.3418696435552542,0.30087676644325256,0.22471976280212402
2,HLA-DR,0.3754243939145179,0.40285524725914,0.2886252701282501
2,CD14,0.42186244363608133,0.3883284330368042,0.2905111610889435
2,ICOS,0.4309532528017424,0.20391005277633667,0.1462826430797577
2,Granzyme K,0.4270186940542451,0.29871347546577454,0.2235286682844162
3,synd,0.6155997538308933,0.3984229862689972,0.27288818359375
3,FOXP3,0.5365819413217895,0.23533901572227478,0.17377609014511108
3,CD16,0.4830804538951288,0.6255096197128296,0.4708530008792877
3,CD31,0.4113502254032755,0.3214464485645294,0.21366627514362335
3,CXCL13,0.4711097885579309,0.2528632581233978,0.187399759888649
3,Ki67,0.5047752137355642,0.9876983165740967,0.8024095296859741
3,OLIG2,0.5623759352962161,0.4462626874446869,0.3586351275444031
3,CXCR5,0.45841381522562386,0.23418626189231873,0.16886408627033234
3,HLA-A,0.2917103064323116,0.42416754364967346,0.33855074644088745
3,PD-L1,0.32103475734328774,0.25762739777565,0.19256430864334106
3,PSD95,0.4215805796270234,0.6174744367599487,0.49451297521591187
3,CD20,0.42403323929674436,0.3184843063354492,0.22182802855968475
3,CD68,0.5097626194575557,0.33355268836021423,0.2332974374294281
3,CD44,0.5769097364889917,0.7685372233390808,0.5763841867446899
3,SMA,0.2936119833785351,0.5851084589958191,0.4175778031349182
3,MSH6,0.5481546706599101,0.4192294180393219,0.3295236825942993
3,CD23,0.5747870349643509,0.5992336869239807,0.4733201563358307
3,GFAP,0.5289444476625342,0.3208136558532715,0.248560830950737
3,SYNA,0.6613252584312841,0.2770329713821411,0.19880014657974243
3,Podoplanin,0.49013347288409603,0.4062327444553375,0.3118031919002533
