protein,mean_pearson_r,std_pearson_r,mean_rmse,mean_mae
MAP2,0.6548612612386383,0.07140002636539543,0.4088071703910828,0.3015290081501007
TOX,0.6334754951885683,0.03346096991565529,0.38824337124824526,0.27236915230751035
MPO,0.6281888251314254,0.04080712335182946,0.27634926438331603,0.1914287030696869
synd,0.589060242294066,0.021613104267221996,0.40979150533676145,0.277595579624176
Granzyme B,0.5890600696330671,0.017198404624699543,0.4911400258541107,0.37025071382522584
SYNA,0.5815473214397688,0.09548811959171913,0.28283810019493105,0.20215444266796112
CD23,0.5700566899894373,0.017616590253956958,0.6022528409957886,0.4761442065238953
PDGFR,0.5656537909698881,0.018756227250181015,0.37883185744285586,0.295339035987854
CD21,0.5551707973547609,0.11502301516968103,0.29699434638023375,0.2015327751636505
C-KIT,0.5388852824661419,0.018112233614660203,0.44657578468322756,0.3515064179897308
OLIG2,0.5327408306516728,0.03282897810181184,0.4473355233669281,0.3595312833786011
CD44,0.5257206863021952,0.0351503767810113,0.7610725641250611,0.5716594934463501
MSH6,0.5189435467238517,0.03469921302836141,0.42295392155647277,0.33145377039909363
IDH1,0.5120545069169328,0.021887524003489197,0.2608811020851135,0.1944385826587677
FOXP3,0.49519396692223144,0.05275988773437248,0.23978614509105683,0.1763404667377472
Ki67,0.49140048089114485,0.01928886896421272,0.9941872000694275,0.8097827434539795
CD8,0.49066187602644995,0.024346136347044352,0.36057026982307433,0.24910299181938172
SIRP,0.485562001719231,0.038292606007770236,0.26297653913497926,0.1942563146352768
CD16,0.48532513925612264,0.006448186035237643,0.6243783712387085,0.4713454365730286
GFAP,0.4853226868845111,0.038564231867839145,0.3290495634078979,0.25495807230472567
Granzyme K,0.4788892214461392,0.046580138908947674,0.29230448603630066,0.22106872200965882
CD74,0.47583604941513513,0.017710561143199768,0.7498919725418091,0.6007446050643921
ICOS,0.4638179583219625,0.04763934982112197,0.19897748231887818,0.14353644847869873
CXCL13,0.4321402187667617,0.038607169233990886,0.25352475643157957,0.18802952468395234
PD-1,0.43158507401917534,0.0679613475039906,0.21354153752326965,0.15057977437973022
PSD95,0.42835887105974946,0.01002586542751354,0.6130133867263794,0.494171667098999
CXCR5,0.41828126309619174,0.05935069130915961,0.2396058052778244,0.17082479894161223
Podoplanin,0.4123620372752754,0.05878085070806595,0.4121506929397583,0.31648144125938416
CD47,0.4070915702743788,0.06732866071597868,0.22192019820213318,0.16010788977146148
CD14,0.40387414871231553,0.014509123276248304,0.3874109983444214,0.29038904309272767
CD68,0.39686502881824665,0.08585305504881126,0.33276294469833373,0.2342824101448059
CD20,0.3938043057319639,0.05331587563116196,0.31909688115119933,0.22219683825969697
FIBR,0.3817669155952327,0.014699890597227915,0.19344168901443481,0.13742139637470246
CD31,0.37433206814139464,0.029480532197189598,0.332015061378479,0.21763968467712402
CD4,0.35973755526001555,0.017085904753683087,0.2547382742166519,0.1837443768978119
PD-L1,0.35747138922874244,0.02434832180787639,0.2610950767993927,0.1939807951450348
HLA-DR,0.3529929025946868,0.020739434823558618,0.4013576567173004,0.28697681427001953
CD38,0.351579667921293,0.031935466451698855,0.2993499517440796,0.22244958579540253
MGMT,0.3392322656505452,0.03634950898454962,0.30190080404281616,0.21065722405910492
Vimentin,0.32165782087422234,0.008373592128002729,0.3316804885864258,0.25435694456100466
HLA-A,0.2973100154695854,0.003508686457364545,0.4194492518901825,0.3359684467315674
CD45,0.2972569472626878,0.02678228014960447,0.33335305452346803,0.24647627770900726
CD3e,0.2840188367262665,0.011091417662834111,0.26735288500785825,0.18513551950454712
SMA,0.28330869801929265,0.02666823711484622,0.5961824178695678,0.4251638352870941
