fold,protein,pearson_r,rmse,mae
3,synd,0.6155997538308933,0.3984229862689972,0.27288818359375
3,FOXP3,0.5365819413217895,0.23533901572227478,0.17377609014511108
3,CD16,0.4830804538951288,0.6255096197128296,0.4708530008792877
3,CD31,0.4113502254032755,0.3214464485645294,0.21366627514362335
3,CXCL13,0.4711097885579309,0.2528632581233978,0.187399759888649
3,Ki67,0.5047752137355642,0.9876983165740967,0.8024095296859741
3,OLIG2,0.5623759352962161,0.4462626874446869,0.3586351275444031
3,CXCR5,0.45841381522562386,0.23418626189231873,0.16886408627033234
3,HLA-A,0.2917103064323116,0.42416754364967346,0.33855074644088745
3,PD-L1,0.32103475734328774,0.25762739777565,0.19256430864334106
3,PSD95,0.4215805796270234,0.6174744367599487,0.49451297521591187
3,CD20,0.42403323929674436,0.3184843063354492,0.22182802855968475
3,CD68,0.5097626194575557,0.33355268836021423,0.2332974374294281
3,CD44,0.5769097364889917,0.7685372233390808,0.5763841867446899
3,SMA,0.2936119833785351,0.5851084589958191,0.4175778031349182
3,MSH6,0.5481546706599101,0.4192294180393219,0.3295236825942993
3,CD23,0.5747870349643509,0.5992336869239807,0.4733201563358307
3,GFAP,0.5289444476625342,0.3208136558532715,0.248560830950737
3,SYNA,0.6613252584312841,0.2770329713821411,0.19880014657974243
3,Podoplanin,0.49013347288409603,0.4062327444553375,0.3118031919002533
3,Vimentin,0.33427019144108766,0.32719412446022034,0.2513996958732605
3,CD47,0.4672318288350373,0.21489039063453674,0.15749065577983856
3,CD74,0.48793292254948467,0.7394275069236755,0.5926745533943176
3,SIRP,0.5255138267996584,0.25885337591171265,0.19176070392131805
3,Granzyme B,0.6077810400632753,0.48545458912849426,0.3634565770626068
3,IDH1,0.5024161114035626,0.2588373124599457,0.1931961178779602
3,MPO,0.6833646376852113,0.26973995566368103,0.18924717605113983
3,CD45,0.30575447021767804,0.3276009261608124,0.24423478543758392
3,CD21,0.6868116016545268,0.29455897212028503,0.1987285017967224
3,FIBR,0.3652153242501882,0.186831995844841,0.13547852635383606
3,C-KIT,0.555275923713105,0.44471046328544617,0.3498532176017761
3,CD3e,0.27220755831658955,0.2608620524406433,0.18350471556186676
3,TOX,0.6649939112040185,0.3855809271335602,0.26939722895622253
3,PD-1,0.47094351969567455,0.20769962668418884,0.14789436757564545
3,PDGFR,0.5805383323968101,0.3766096532344818,0.2926056385040283
3,CD4,0.34467864181469726,0.24967998266220093,0.18105922639369965
3,MAP2,0.7186635760094254,0.4015447497367859,0.2974521219730377
3,CD8,0.5023945563478043,0.36417150497436523,0.2504679560661316
3,MGMT,0.35539042382029756,0.29425927996635437,0.20831871032714844
3,CD38,0.35509182389047056,0.2940595746040344,0.21989235281944275
3,HLA-DR,0.37494323534128204,0.3941984474658966,0.2841525375843048
3,CD14,0.40405121331810057,0.381784588098526,0.287553608417511
3,ICOS,0.4965597136568174,0.19508957862854004,0.14110106229782104
3,Granzyme K,0.5248887442598305,0.28512534499168396,0.21653929352760315
