protein,mean_pearsonr,std_pearsonr,mean_r2,mean_rmse
CD23,0.5363039910793305,0.11652640438503249,0.214616858959198,0.8165844116544173
TOX,0.5237282752990723,0.12216885243408804,0.19511489868164061,0.7618143762782321
PDGFR,0.508845579624176,0.12907038887554556,0.15029789209365846,0.8039178001925308
MAP2,0.5053352952003479,0.09213552645849747,0.11365950107574463,0.8901122838255453
C-KIT,0.49826504588127135,0.11761730117348136,0.13536859750747682,0.8200355205573293
OLIG2,0.4908891260623932,0.05484251693798867,0.19853425025939941,0.8851836110735267
Granzyme B,0.485527902841568,0.14314330561239857,0.10087389945983886,0.7888868145193239
Ki67,0.48256356120109556,0.09298716177858148,0.1897268295288086,0.8629499314430149
MPO,0.4799949049949646,0.14361502285600372,0.1688657283782959,0.7592118805798027
MSH6,0.47608973979949953,0.07569728180039968,0.18107646703720093,0.8911122542705281
PSD95,0.45380839705467224,0.10537752130973736,0.13729089498519897,0.8997027021612481
IDH1,0.4405751347541809,0.07316948360290267,0.14100362062454225,0.9242791110826388
CD74,0.4350042581558228,0.05937119868651409,0.1433226227760315,0.9190766760584232
CD8,0.3964209288358688,0.16600544164655798,0.14271522760391236,0.8571252185562303
FOXP3,0.33923766762018204,0.15208197723441597,0.06258882284164428,0.9454323896106096
Podoplanin,0.3380473002791405,0.16269375435787634,0.023207974433898926,0.9312296358049155
synd,0.3328755021095276,0.22770751678214082,0.016275787353515626,0.8735315651247888
CXCL13,0.32585129737854,0.113990861879014,0.0812831163406372,0.9304281221103612
PD-L1,0.3126121610403061,0.051409215908398205,0.06231545209884644,0.9544749514579512
PD-1,0.30669352412223816,0.14633415764664057,0.05757250785827637,0.9330773480392136
HLA-A,0.3060711443424225,0.026510665197826706,0.04110732078552246,0.9731079615138192
SYNA,0.30519192963838576,0.16993006738188593,0.01980692148208618,0.9284196535258264
HLA-DR,0.3025399655103683,0.047437310168793496,0.04898977279663086,0.9645534625470036
CD14,0.29989768862724303,0.10734028492133124,0.060894358158111575,0.9558304573826379
CD44,0.2980775058269501,0.269469254405453,0.09730226993560791,0.9201112117681586
CD16,0.297745606303215,0.25592642954866546,0.07264170646667481,0.9177369758970306
CD3e,0.2939033657312393,0.036752555256914635,0.043991684913635254,0.9643037391477792
CXCR5,0.28860709071159363,0.1247357617601228,0.07774165868759156,0.9307370963574334
FIBR,0.25504628121852874,0.09817060574000044,0.03054811954498291,0.959486219394719
ICOS,0.2523498782888055,0.1690136287425909,0.022344958782196046,0.9675636828491146
SIRP,0.23375150114297866,0.21814445289076126,0.03219132423400879,0.9450371112520317
CD20,0.21338376067578793,0.15765530942343015,0.03899314403533936,0.9397634416038159
Granzyme K,0.20453268215060233,0.14149147259221592,-0.08593823909759521,0.9581206060166588
CD21,0.1842393159866333,0.17430895885436729,-0.06956703662872314,0.9593805312587291
CD4,0.1813874214887619,0.17014132170295318,0.018478024005889892,0.9676306995728693
MGMT,0.1705514371395111,0.07499550461154156,-0.09640618562698364,1.0048646563668202
CD47,0.16672843396663667,0.1490603974411601,0.01415860652923584,0.9628557362244619
CD45,0.1631357789039612,0.0440940188202562,-0.0013278603553771972,0.9893441700282324
CD38,0.1449625477194786,0.13699064000725938,-0.02566685676574707,0.9801342976452666
SMA,0.09844539724290371,0.08289112537893785,-0.011749780178070069,1.0015282801652279
CD31,0.09807148203253746,0.13614502307565524,0.000952756404876709,0.9951038175699646
CD68,0.024049564450979232,0.100063897032132,-0.021381211280822755,0.990121254743627
GFAP,0.001146109402179718,0.298565891067542,-0.27623900175094607,1.0790537137631777
Vimentin,-0.006269245594739914,0.18298451370498786,-0.11616474390029907,1.0371080502342473
