protein,mean_pearsonr,std_pearsonr,mean_r2,mean_rmse
MAP2,0.5694960474967956,0.09128207045258237,0.2431721568107605,0.8178138157029087
CD23,0.5465354025363922,0.12708380856649157,0.23012328147888184,0.7997721251282994
PDGFR,0.5465277373790741,0.12631051996253193,0.1846176266670227,0.7803699776288038
TOX,0.527085131406784,0.10856405211089809,0.23422574996948242,0.7428462869432669
IDH1,0.5147810995578765,0.07572685213711657,0.22291414737701415,0.875458499715139
OLIG2,0.5127442419528961,0.04648234472900972,0.2510916948318481,0.8552789847819311
C-KIT,0.5003965675830842,0.1400150896031434,0.1768227696418762,0.7938715472945094
CD74,0.49276527762413025,0.06968965289767268,0.22698224782943727,0.8694530925552147
MSH6,0.4868547558784485,0.07356397100695254,0.2126167058944702,0.8731603090645571
Ki67,0.48630563616752626,0.06147420033786823,0.19467129707336425,0.8628048497139729
PSD95,0.4851772844791412,0.11595259358149204,0.18085564374923707,0.8741297541439792
Granzyme B,0.4800663709640503,0.15344902686746112,0.0777628779411316,0.7903374015869092
CD44,0.4791494429111481,0.11076223942893111,0.20438566207885742,0.8625917957302971
MPO,0.46170273423194885,0.11659933392739788,0.17752506732940673,0.7614753217546503
CD16,0.44475488662719725,0.10721214012995964,0.1715851068496704,0.8659242436288055
synd,0.43908358216285703,0.14898054937910715,0.13952916860580444,0.8243215674458495
CD8,0.4373506665229797,0.1437455027752425,0.12335147857666015,0.8587237284296293
CD14,0.39170188307762144,0.04182173891451774,0.13776110410690307,0.916116858212043
FOXP3,0.38232838213443754,0.16575665371750345,0.08894071578979493,0.9288956900213577
Podoplanin,0.38124530017375946,0.16752762621690778,0.03563644886016846,0.9157135684863189
SIRP,0.34612764716148375,0.1287226755235182,0.07798527479171753,0.922867731446822
HLA-DR,0.3377713620662689,0.07680441619870595,0.10010803937911987,0.9367241015056624
CXCL13,0.33610429167747496,0.07737310077722068,0.07580413818359374,0.9351429937203266
ICOS,0.3210399761795998,0.21354906182461808,0.040704739093780515,0.9516658659875425
PD-L1,0.3159115254878998,0.04813631969934303,0.06336829662322999,0.9544636997740307
HLA-A,0.31033009886741636,0.03952334015567479,0.08147652149200439,0.9522905154100959
SYNA,0.30903532058000566,0.22402297855566253,0.026470267772674562,0.9159477170491075
PD-1,0.30846365392208097,0.1301288466311767,0.059022152423858644,0.9320029617043121
FIBR,0.3020324528217316,0.07328927648465212,0.046364080905914304,0.951950976489108
CD4,0.2959256857633591,0.07697725101847344,0.06562844514846802,0.9437166300256201
CXCR5,0.289970925450325,0.0811371665618452,0.06279253959655762,0.9401444696156114
MGMT,0.2776432067155838,0.02513876383038239,-0.07390351295471191,0.9927599492809938
CD3e,0.2756112486124039,0.027185700001980704,0.034031021595001223,0.9694775013791345
CD31,0.2655665799975395,0.12657541505468362,0.0412389874458313,0.9738387313836301
CD38,0.25695242881774905,0.04574734829748415,0.013283002376556396,0.9611188687216495
Granzyme K,0.24843634516000748,0.16073266597446664,-0.07777482271194458,0.9527682019526214
CD45,0.22554135620594024,0.09040274504107391,0.029142940044403078,0.9733767665824468
CD20,0.2201295740902424,0.100677752663196,0.0338268518447876,0.9440944596763344
CD21,0.2124138280749321,0.14371291658186527,-0.03398616313934326,0.9466616684509249
CD47,0.20722206234931945,0.12495299196100146,0.004392397403717041,0.9665321562371106
GFAP,0.20244258940219878,0.2953308372625242,-0.18117024898529052,1.0374298791742613
Vimentin,0.19402251057326794,0.14529406344201476,-0.04565892219543457,1.0040616698422347
SMA,0.18514559492468835,0.09336597400069085,-0.0061895489692687985,0.9980141616425418
CD68,0.15157238095998765,0.09217527064927217,0.014100742340087891,0.9700759104381504
