protein,mean_pearsonr,std_pearsonr,mean_r2,mean_rmse
MAP2,0.5642547369003296,0.07455321971589696,0.24070669412612916,0.8220515864946542
PDGFR,0.5279060184955597,0.12098787080943078,0.1533587694168091,0.803993548260102
CD23,0.5271173357963562,0.1348144626439919,0.19176797866821288,0.8292710815535103
TOX,0.508340585231781,0.10855781911568847,0.17619286775588988,0.7818771679994281
OLIG2,0.5036742389202118,0.05493689458556396,0.22950243949890137,0.8676134914980587
IDH1,0.49391633868217466,0.09341997292770648,0.20488075017929078,0.8838988372356994
MSH6,0.48645055294036865,0.06959682008377109,0.20302014350891112,0.8784318337516112
PSD95,0.4841399133205414,0.10029425217077505,0.18103630542755128,0.8784593258104071
C-KIT,0.48029292225837705,0.13493153716297632,0.1286427140235901,0.8255731136041943
Ki67,0.4801407098770142,0.08173473920965336,0.1965981364250183,0.8616611706598194
CD74,0.47697210907936094,0.0851916976795114,0.2161657214164734,0.8748762721456821
CD44,0.4763456881046295,0.1261010951956562,0.19733587503433228,0.8663349962402849
Granzyme B,0.4599296092987061,0.16258198824133388,0.08543756008148193,0.8037334825830529
MPO,0.4584962368011475,0.13450575049762545,0.17038660049438475,0.7633257362854424
CD8,0.4421608686447144,0.1366795390436309,0.1615867018699646,0.8464745894398567
CD16,0.4184694290161133,0.10460831586933596,0.13739675283432007,0.8852285486748427
synd,0.4076263546943665,0.14294857507015357,0.08389555215835572,0.8568418374234852
CD14,0.3956837892532349,0.029865723286491837,0.138605797290802,0.9158313079534448
FOXP3,0.37811761870980265,0.17964152766016014,0.08156503438949585,0.9302654733102574
Podoplanin,0.36821386218070984,0.11056819810572666,0.028254318237304687,0.9272429345558063
SIRP,0.3545680269598961,0.13228631236162108,0.08076238632202148,0.9204996179666454
ICOS,0.33015541210770605,0.1998887114958504,0.05732351541519165,0.9451045920957618
HLA-DR,0.3275756359100342,0.06831622218656057,0.08992878198623658,0.9419554456872774
HLA-A,0.3148334562778473,0.04550904690200676,0.08363919258117676,0.9510407361953735
CXCL13,0.31158057451248167,0.08508835649448934,0.06529066562652588,0.9405688910250307
Granzyme K,0.3058968111872673,0.17015701289919968,-0.04632774591445923,0.9406589178019905
PD-L1,0.29530214667320254,0.04895774711960796,0.04991800785064697,0.9603682009957947
FIBR,0.29336507320404054,0.09251396935585086,0.04667057991027832,0.9517884399622634
PD-1,0.2918267875909805,0.12234003168547981,0.03596409559249878,0.9448232880173153
CD31,0.29062043130397797,0.0706582003880949,0.07078105211257935,0.9591815061979153
SYNA,0.28569629676640035,0.17486662707132763,-0.040253829956054685,0.9532461711911345
MGMT,0.2829874664545059,0.030180878050549993,-0.0713767409324646,0.991349953821904
GFAP,0.2732523217797279,0.23200642714612116,-0.08695062398910522,0.9963609374402722
CD3e,0.27220419645309446,0.03723528363515534,0.03346129655838013,0.9700499574197465
CXCR5,0.26700010895729065,0.10001178665624354,0.03359541893005371,0.9533845605849152
CD21,0.263755539059639,0.08792768232920739,-0.0008675932884216308,0.9338838452388499
Vimentin,0.26204975247383117,0.093403603505659,0.027613842487335206,0.9687465963134236
CD4,0.25999500453472135,0.09585621317033012,0.040043652057647705,0.9562472411212305
CD20,0.2417647123336792,0.11823478035480298,0.03354271650314331,0.9425234806758345
CD38,0.23970965147018433,0.0645913490818796,-0.0014875292778015136,0.968242811349749
CD45,0.21143137961626052,0.07801497344404519,0.019014191627502442,0.978564110175214
CD47,0.19571336284279822,0.12040696096498207,-0.0038350462913513184,0.9712086885406238
SMA,0.17073674499988556,0.09524903762321126,-0.0029131293296813963,0.9968322902775425
CD68,0.07040927857160569,0.053812048511409874,-0.023543930053710936,0.9921749372304083
