protein,mean_pearsonr,std_pearsonr,mean_r2,mean_rmse
CD23,0.5600961804389953,0.09257154532249169,0.27687439918518064,0.7851821585172735
TOX,0.5192132890224457,0.10200274397484252,0.2023261308670044,0.7607029510798216
PDGFR,0.5080107986927033,0.1331415866422412,0.1684331178665161,0.7967786508885385
OLIG2,0.5024635255336761,0.049759140996795626,0.20099456310272218,0.8845685510678878
MAP2,0.49741201996803286,0.09567275234408087,0.09400683641433716,0.8950887834434837
PSD95,0.48852759003639223,0.09762838322332042,0.1973158001899719,0.8695383429622752
C-KIT,0.48735650181770324,0.1063320956893188,0.15169612169265748,0.8166137757044366
Ki67,0.4844494998455048,0.07979494333070064,0.18606094121932984,0.8663180469001917
Granzyme B,0.48379658460617064,0.14342901623719073,0.12436937093734741,0.7818460696222467
MSH6,0.474066823720932,0.06708910937472365,0.1696032166481018,0.8984208061860788
IDH1,0.46528186798095705,0.0735996708391538,0.16942100524902343,0.9081752874822415
MPO,0.46239665150642395,0.12822088744741625,0.17348451614379884,0.7596860724670511
CD74,0.44021018743515017,0.063856082085106,0.1549404501914978,0.9119168825074299
synd,0.4047345966100693,0.1464409288712101,0.022826886177062987,0.8619078442596276
CD8,0.39180954694747927,0.16867766038998896,0.1176846981048584,0.8657466659274755
CD16,0.39124922156333924,0.11918197308299411,0.11438623666763306,0.8944642763267805
CD14,0.36882308721542356,0.05206100426408487,0.0905287504196167,0.9410901093225359
CXCL13,0.34033902883529665,0.08810466440352838,0.08625240325927734,0.9300040401019812
FOXP3,0.3279632553458214,0.16453499346628053,0.022767400741577147,0.9658724567264085
PD-L1,0.3279520094394684,0.04858838371179416,0.06206526756286621,0.9548547949235134
HLA-A,0.32204126119613646,0.02747412271845552,0.07418671846389771,0.9560356483135648
HLA-DR,0.3216444402933121,0.0751630801408818,0.061666107177734374,0.9568385575816075
CD44,0.31702484339475634,0.2166609034028097,0.10749523639678955,0.9152457055359884
PD-1,0.3096990719437599,0.12748160254601854,0.05532790422439575,0.9363037757515972
CD3e,0.299630007147789,0.04353685026345603,0.04183139801025391,0.9656666334971316
Podoplanin,0.29862106069922445,0.2172731780373004,0.04072730541229248,0.9209294678387518
SYNA,0.2845244750380516,0.17232506777889411,-0.027764570713043214,0.9481509606725034
CXCR5,0.27978323101997377,0.09813833851041018,0.06476300954818726,0.9383203450588977
FIBR,0.2641997545957565,0.09533840851652148,0.03492503166198731,0.9574475576305698
SIRP,0.24155831336975098,0.21489576134718605,0.020621395111083983,0.949211044118251
ICOS,0.2373817979125306,0.19868784766630015,-0.03141741752624512,0.9936699554044157
CD38,0.22009107172489167,0.06490649730818887,-0.006322872638702392,0.970230848066104
CD4,0.2115547314286232,0.1686931761185455,0.03633701801300049,0.9581825527231829
Granzyme K,0.19818550124764442,0.15195782848730147,-0.11174876689910888,0.9683875070500596
CD20,0.18810996413230896,0.11815376837778525,0.019530653953552246,0.949356989659584
CD45,0.1779785968363285,0.0797924844783995,-0.0009662747383117676,0.9887563436009523
CD21,0.1432311160489917,0.1410921687992792,-0.12185114622116089,0.9850699474008694
CD47,0.14228386357426642,0.10664971983007117,-0.01272413730621338,0.9770656402060481
MGMT,0.13114480599761008,0.07533701207440538,-0.14861282110214233,1.0279264869324205
SMA,0.05604974217712879,0.1042222647330177,-0.03647373914718628,1.0135711428815029
CD31,0.05363778062164783,0.1545318333193734,-0.019855821132659913,1.0051169006744984
CD68,0.04463827628642321,0.06478122875391176,-0.05117824077606201,1.004474524034705
Vimentin,-0.01413663849234581,0.22810552024451575,-0.181244421005249,1.064804419905532
GFAP,-0.1645320922136307,0.3170603886560984,-0.502268123626709,1.1677218948405015
