protein,mean_pearson,std_pearson,mean_spearman,mean_r2,mean_rmse,mean_mae
MPO,0.6211319446563721,0.07420563063240967,0.1465659567559024,0.3796592116355896,0.2399147320707951,0.12946817874908448
CD68,0.6104195594787598,0.06950593377202001,0.21330311994199688,0.368378746509552,0.37882487455378977,0.24484280347824097
CD45,0.5524249911308289,0.0415981881410624,0.265092009136286,0.3040584921836853,0.32987703813672764,0.2444061428308487
PD-L1,0.5500732779502868,0.029987968061097964,0.17404497709452688,0.2994072437286377,0.17409253523756368,0.11643235683441162
TOX,0.5447316586971283,0.03893031773305705,0.28230286272512195,0.29418373107910156,0.3639022897207068,0.19933761060237884
CD4,0.5352933049201966,0.0384813643283841,0.26153832442151914,0.285952627658844,0.26014010155467426,0.19079718589782715
CD3e,0.5299767673015594,0.0732035222177175,0.1901175750886759,0.2796682834625244,0.2113289018842694,0.13391705155372619
FIBR,0.5127338528633117,0.02537129594228423,0.2019537860554661,0.25983731746673583,0.18912924774770365,0.13445118069648743
HLA-DR,0.5070382535457612,0.04705728713006508,0.33963809644806847,0.2546505331993103,0.4269534028299682,0.3118759632110596
MGMT,0.49782976508140564,0.02606452682183204,0.2526225140508425,0.24516433477401733,0.3817259957665038,0.24494440853595734
C-KIT,0.4825738728046417,0.051076788561971696,0.2877148498566509,0.23200887441635132,0.6491460465441452,0.4302108407020569
Granzyme B,0.476390016078949,0.056860466926612105,0.25513729958452097,0.224485445022583,0.617965057899136,0.3912414014339447
PDGFR,0.46517196893692014,0.05599583464974248,0.26476669836663325,0.21536656618118286,0.6429210194971599,0.4158965766429901
CD74,0.4646507501602173,0.01573212834399519,0.42460120618990177,0.21292856931686402,0.7966911553267716,0.6530970335006714
CD14,0.46420468091964723,0.022602139588136443,0.3384815791479044,0.21375123262405396,0.41560208791343367,0.320438951253891
MAP2,0.43492228388786314,0.03586373201912409,0.3300270501859156,0.18620890378952026,0.43937807678246055,0.34181479811668397
CD23,0.4338592529296875,0.03947444364312053,0.31355036515528095,0.18553732633590697,0.8896846540869314,0.6296759724617005
CD44,0.420003616809845,0.054261489382968625,0.37534432649869093,0.1701233506202698,0.8036004390861395,0.5982124090194703
Ki67,0.40684196949005125,0.014426337279433503,0.2513450990988194,0.16365859508514405,1.0695839727939562,0.8375641703605652
CXCR5,0.3993505299091339,0.04071104799223137,0.16323232893389333,0.15825666189193727,0.16899056470158957,0.11114667057991028
PD-1,0.38641247153282166,0.04439049428038882,0.16846785955285182,0.14826390743255616,0.17028721174264672,0.11611271649599075
CD31,0.38563733696937563,0.03852899888085482,0.237591088198201,0.14708030223846436,0.3636524401032778,0.25333647429943085
IDH1,0.3846628963947296,0.058450071410075646,0.2687649104899906,0.14588576555252075,0.28881030669099855,0.21882282495498656
ICOS,0.38229180574417115,0.05050050343713391,0.21209708152161988,0.14397555589675903,0.21121530834914454,0.1503913253545761
synd,0.37413782477378843,0.023800094702176384,0.30628386188631423,0.13560895919799804,0.3593006395644009,0.25239249765872956
FOXP3,0.3640991926193237,0.04183835250109283,0.3044431723023414,0.1295584559440613,0.18868708480709398,0.13343916237354278
CD38,0.3610257089138031,0.041067206501060445,0.28314420512426447,0.1278848648071289,0.2931202557365216,0.22683001756668092
Vimentin,0.3459092199802399,0.02973998404965194,0.237054890395091,0.11777435541152954,0.404553708539121,0.31195939183235166
MSH6,0.33780750036239626,0.013038019792060453,0.31146662779574025,0.10994907617568969,0.35243615968728326,0.2758534550666809
OLIG2,0.33586148023605344,0.014835357215671826,0.30298409941379906,0.10859987735748292,0.38131160011371923,0.30957818031311035
SMA,0.3303541600704193,0.02587916684080282,0.20973202373483074,0.10702085494995117,0.6220124074297821,0.45401636362075803
PSD95,0.3303393304347992,0.02683819432120363,0.2683809498980022,0.10723338127136231,1.2606317696297844,0.9768418312072754
CD47,0.3231732666492462,0.0581101755671638,0.20076410015108767,0.10273554325103759,0.22571570602266924,0.1627606600522995
SIRP,0.3215789496898651,0.0375428863370094,0.28456901380737376,0.10075745582580567,0.24893904743999756,0.19300685226917266
CXCL13,0.3213887155056,0.03153527267685027,0.13731383426167285,0.10120599269866944,0.16812494557018837,0.1165181502699852
CD21,0.29041545987129214,0.03694164924498778,0.15958271563246954,0.08055392503738404,0.26149447671235765,0.19932661354541778
CD16,0.2784425139427185,0.016165230022659294,0.27402669355017845,0.07438148260116577,0.5970236514845666,0.4398506760597229
SYNA,0.2639401704072952,0.03933569424976042,0.16476678984400822,0.06725419759750366,0.274767386759068,0.2050940752029419
GFAP,0.24631892144680023,0.06751386062430519,0.1894805322044672,0.057948625087738036,0.39986250010365165,0.30843000411987304
Podoplanin,0.24506158530712127,0.04712613674409844,0.1459187414488754,0.05708245038986206,0.9672462732623712,0.6980758666992187
CD8,0.23859273493289948,0.06221462293308279,0.10336112878579543,0.05508277416229248,0.31455190335688543,0.19264361262321472
Granzyme K,0.22931372225284577,0.06398432965660532,0.15347284975376088,0.047580063343048096,0.20927552692990042,0.1631786048412323
HLA-A,0.19868773221969604,0.01580248225549387,0.1735933914437321,0.03750602006912231,1.042296911591956,0.8170946955680847
CD20,0.1828886553645134,0.06998307244947256,0.15689530518343242,0.03320150375366211,0.26677775086626926,0.15739345252513887
