protein,R2,MSE,RMSE
Podoplanin,0.5704930215789035,43915.63470935926,209.560575274452
PDGFR,0.5328869301608846,6086.439372673506,78.01563543722185
CD23,0.5008341191293881,49916.645665456934,223.4203340465163
C-KIT,0.49684702781979273,12529.95840242344,111.93729674430877
TOX,0.4764939486552381,65240.845221195166,255.42287528957772
Granzyme B,0.46850513225495016,34921.41662875993,186.87272842434749
MPO,0.4307316257460311,14253.50857654852,119.38805876865793
synd,0.41448049609416715,3094927.6715290127,1759.2406519657886
MAP2,0.3933274371990696,49876732.60599412,7062.346112022132
OLIG2,0.34007165659614225,4786997.903244697,2187.9209088183916
IDH1,0.34001522294931064,14029700.75811469,3745.624214749084
FOXP3,0.33963214878280656,1630616.7613449844,1276.956053020222
MSH6,0.33914190528210075,11999406.067521164,3464.0158873078462
SYNA,0.3170233079189394,1626427.471892237,1275.3146560328698
GFAP,0.3139021890785425,3930091.4227035744,1982.4458183525658
CXCL13,0.2954979212929053,417583.75995811395,646.2072113170155
ICOS,0.2854813579754373,794499.7533419537,891.3471564670825
Granzyme K,0.2811986644784008,25361.675549723226,159.25349462326793
CD44,0.276456107593108,8279177.485304011,2877.3559886298412
SIRP,0.26521783100098595,2185787.955720107,1478.4410558828874
CD74,0.26080882456920207,10918544.781012662,3304.3221363863213
PD-1,0.25992704794597143,160623.54479789626,400.77867308265826
HLA-A,0.2547372700414453,7870.2803183045535,88.71460036715801
CD14,0.2519022924599096,5268030.255223675,2295.21899940369
CD21,0.2408674317137265,4181442.5451905834,2044.8575855522515
CD31,0.23755405503821792,979462.9053050674,989.6781826963083
Ki67,0.23413451721787504,6093153.975334553,2468.4314807858354
PD-L1,0.23347124909752548,224932.1602823671,474.2701342930705
CD68,0.2324717827862871,662744.1861210946,814.0910183272474
SMA,0.22767399511105713,1570965.817894434,1253.3817526573594
CD8,0.22760989749921734,56917.96107424609,238.57485423708445
Vimentin,0.2268242693983562,4881933.4713284755,2209.509780772304
CXCR5,0.22678394769580268,497314.27336296084,705.2051285710852
PSD95,0.22657346043809323,73931.41818498379,271.90332507158456
CD38,0.21701466492717525,851019.9985231358,922.5074517439606
FIBR,0.19855543235815432,385545.58344644797,620.9231703249992
CD16,0.1870007440240654,1147781.6892394605,1071.3457374906855
HLA-DR,0.18664767869833632,1648252.7254711268,1283.8429520276718
CD47,0.17613239752368304,11090391.117138369,3330.223883936089
CD4,0.1759964316596584,1928332.8248602438,1388.644239846997
CD45,0.16407005118290996,1892093.1611953473,1375.533773193282
CD3e,0.16088249361343376,422589.3553926532,650.0687312835876
MGMT,0.12036331045874882,488924.39218610874,699.2312866184612
CD20,0.060197440038705086,241940.00356240408,491.8739712186487
