protein,mean_R2,std_R2,mean_MSE,mean_RMSE
Podoplanin,0.41646149735224125,0.24915059928435554,88144.62719291628,264.90879999214496
MAP2,0.4098798778860958,0.01166936239556608,48233197.22693385,6942.878418069214
MPO,0.40425328264966565,0.024129190004076182,16183.537980655045,127.01141757219227
TOX,0.4042196500446365,0.02371080210747171,77242.00002013144,277.91021108659993
CD68,0.3995871743462166,0.1180588222268589,397019.19750754826,619.869895545502
Granzyme B,0.3865864430667834,0.049083656036875735,45957.18647478823,213.1399519182641
GFAP,0.3762153282660562,0.008096740069578298,3689743.0784271695,1920.8063749761259
PDGFR,0.36958831155984945,0.01797415785437252,8573.643191585788,92.5884835421111
SYNA,0.3546691535368919,0.010438790677758976,1551314.5853896805,1245.007556727399
synd,0.3495678013372722,0.044427517743797024,3960482.9758005626,1981.5718949982147
IDH1,0.34236248860350316,0.015797865827816362,14448394.031561723,3799.8154031102777
CD23,0.3393846755938509,0.027390443841624614,71416.42439152964,266.31927188988357
ICOS,0.3256762642220285,0.012803762769157928,756815.9912142202,869.7703057540617
C-KIT,0.3190246833444001,0.018181565949341883,17147.032765675052,130.9332227696986
FOXP3,0.3186111488418313,0.016585699630420156,1661884.580432262,1288.948775439833
Granzyme K,0.2991021102044872,0.009988701344994409,25769.14596058714,160.49371836618985
SIRP,0.2768524900379505,0.012176278239289889,2239298.7157184393,1496.2292330073385
CD21,0.2663826397907439,0.023475370704318703,4317519.418180401,2077.421738022202
OLIG2,0.20665152850551322,0.013071404577012814,5563317.090885876,2358.1698963959216
PD-1,0.20233169442307583,0.03252671701197295,197767.11088729478,442.20368239894697
MSH6,0.19786132747213608,0.014316231771924346,14805108.874521866,3847.126036893316
CXCL13,0.19711653002210694,0.017324106275684332,486239.2980585711,696.8429273954747
CD44,0.19647623353537838,0.01069963288224686,9755380.499107996,3120.836459581864
CD47,0.19531611189171472,0.018686769659953164,11060241.746288512,3325.591464219711
CXCR5,0.18922795622995742,0.016904655852371202,529026.9524444065,726.6548569275499
FIBR,0.1883455956405984,0.022974368451155844,425635.604513948,650.2405367563516
Vimentin,0.1740277864239485,0.0053479670278675,5453637.423681216,2335.0596178010683
PSD95,0.17053451747178877,0.03912545072449929,47116.91033278753,213.2344212206418
SMA,0.16483115287397726,0.048729886973889316,2406156.7183337836,1529.2699128385314
CD74,0.1544886947090367,0.017659579981181107,13259196.903061002,3635.994216641505
CD31,0.153408151018465,0.030400727361097116,1324034.5257836436,1146.5229643262255
CD16,0.14988394859136175,0.013220158819651131,1320544.8622191332,1148.1102167768117
CD14,0.1481172338938754,0.015115813090623174,7110154.110203336,2659.8135627614074
CD45,0.14779865368488565,0.04627799705964176,2165175.910461593,1466.1940873788064
CD4,0.14634047540073364,0.013266196880335441,2226040.84220231,1489.4422150390594
MGMT,0.14607932091472892,0.08157008707715178,195161.64368675248,417.0645009686976
PD-L1,0.13693872753074088,0.022873962912008956,280748.37647522334,527.1677981274745
CD38,0.13651972024900152,0.009633474754655822,1028963.9282787837,1013.4954276348765
CD20,0.13619254830592362,0.047685691935368014,136366.77825579228,362.7058290741707
HLA-DR,0.12364604355586395,0.012245517074715844,2056426.967944109,1432.3118481241386
CD8,0.11343228385715232,0.03222924427667027,114314.2533219541,331.28181015239363
CD3e,0.10752657391589535,0.031599877216963335,492091.4357954206,700.6132914746737
Ki67,0.09836667074625452,0.009227191550893809,7017763.8127485495,2648.4647106470547
HLA-A,0.07294161735363838,0.023526427566750018,11902.110305634933,106.74206041534362
