protein,mean_R2,std_R2,mean_MSE,mean_RMSE
PDGFR,0.5411551304336488,0.012580468604603231,6241.501556416253,78.99537202997617
TOX,0.5111407165703652,0.023107731219085104,63368.38915218717,251.7095488796865
C-KIT,0.5107446109981204,0.013581616503235108,12322.473248637301,110.98781510914827
CD23,0.48277501023951774,0.03833247212698726,56151.038983271676,235.77919060082982
MPO,0.46126956046267475,0.02576600722250954,14645.087433042369,120.79129326937398
Granzyme B,0.44365453798318394,0.0588932981083162,41833.879691348,203.04967169759135
MAP2,0.410637119800524,0.009163182783792806,48158972.91426484,6938.109439907882
Podoplanin,0.4092746697873434,0.2585819431239891,89482.51241506998,266.3084096995478
CD68,0.38363058123472676,0.09771938175892758,408167.4850222832,629.4532429142776
PSD95,0.3759028979329175,0.07414327192234729,36414.11207917768,185.83520447471503
FOXP3,0.35543459161046986,0.015718251240691806,1572102.8044688378,1253.6419373141225
synd,0.3456438576715014,0.04928546386417071,3980944.992997357,1986.869772046032
MSH6,0.34048506529645894,0.004649188497715444,12174879.739813242,3488.654180404878
OLIG2,0.3386622876850466,0.005913341482134546,4635893.092961186,2152.906914366589
SYNA,0.3300212683555497,0.011603725400208985,1610557.4922375523,1268.5526350927544
IDH1,0.3269102177841992,0.01514669592966112,14785012.92953665,3844.049511205457
GFAP,0.31562716211924613,0.00437753727342246,4048301.9824887365,2011.9829442434543
ICOS,0.299845309708607,0.01402491908267868,785797.0603535671,886.2651605470644
CXCL13,0.29810871008811707,0.020020648702228756,425453.30792748474,651.6567044073615
Granzyme K,0.28243808209593924,0.009511769708769373,26380.112075001736,162.38834902485925
SIRP,0.2720277699101462,0.011791600193385526,2254151.652201412,1501.2018952862927
CD74,0.26008726346984157,0.017563646097455973,11607823.51989248,3401.6470414961304
CD21,0.25747000130563,0.022818100096920736,4369902.940673523,2090.0161548492406
CD14,0.2554499007734763,0.009228297959661508,6227258.619255021,2487.947982384442
CD44,0.24998897049548444,0.012504434016241522,9105285.277510867,3015.055232739274
PD-1,0.2409767339033944,0.039057943189636284,188633.15958999237,431.54656818573875
Ki67,0.2292149791004189,0.005557681738949939,5999262.278558461,2448.7686874448245
PD-L1,0.22845256225395988,0.03742664798120988,252236.987021484,498.9240920513748
CXCR5,0.22795260792232291,0.019062324187222597,504055.0197760697,709.1771156213797
Vimentin,0.22125645288289206,0.013284814324505448,5142567.176980448,2267.33236836252
HLA-A,0.21453609934659257,0.06325560253782998,10320.859892043904,98.69221653949526
CD16,0.2064895910378614,0.01026535449007586,1232768.733756595,1109.2718133671658
CD38,0.2058150211044325,0.008817073273554242,946434.9483118986,971.9915464787755
FIBR,0.20011097582431994,0.026752224415039664,419853.6591977435,645.6264727327191
CD4,0.1890455597064647,0.00788055238490588,2115154.4497718224,1451.8122863125482
CD45,0.18836847597310694,0.04367284035009165,2062771.6865911714,1430.9921939913813
CD47,0.1869959651523007,0.018294035324173792,11174674.86061256,3342.7592893253895
HLA-DR,0.18213003251314605,0.010273586075453839,1919858.460013394,1383.8246756237263
CD31,0.18133130817107604,0.03514050592197225,1281495.2882574196,1127.6287235750083
SMA,0.17843259511737952,0.04834813289946733,2369264.407302145,1517.1304215366192
CD20,0.15803160465622518,0.05621182241811038,133405.34776960398,358.34062896998574
MGMT,0.15769411710791528,0.08586509428574228,193118.09676509627,414.4283674729648
CD8,0.15317317345905918,0.04824477731888166,109990.26551159141,324.3086564822506
CD3e,0.13625836012345277,0.032688724454574054,476458.9816866778,689.3052422392332
