protein,mean_pearsonr,std_pearsonr,mean_r2,mean_rmse
MAP2,0.4176026202435567,0.022762899268845935,0.1729811957585995,0.908757925318499
MPO,0.3908044285297655,0.05488106480644279,0.15431871733513267,0.9186673428979404
CD68,0.38812498518911304,0.11604809458857346,0.1596625044211803,0.9118744364613154
TOX,0.38436449136786455,0.02870869175295444,0.14750128493947495,0.922931488765725
synd,0.370306857226752,0.016018716334861415,0.13625640267144568,0.9289958103730275
CD44,0.36336795170094716,0.010523472289322156,0.13137310307121058,0.9315962074140399
CD74,0.3601788329287157,0.010886108728819975,0.12869701977691692,0.9326244761633783
CD14,0.35311833007253246,0.006937045702812705,0.1242486623921574,0.9352959207927544
PDGFR,0.34777971034526517,0.018628978642967906,0.12004896082806275,0.9377798345217088
SYNA,0.34458960463922833,0.023679897915223992,0.1166049644721138,0.9388488568065567
C-KIT,0.333616943876332,0.015811897453055588,0.11038343785496037,0.9428740690217031
Granzyme B,0.33092163835178556,0.01677018399072772,0.10799746848166739,0.9439206637720797
HLA-DR,0.33029233685529896,0.025841995598146122,0.10876434174689789,0.9435865829086658
IDH1,0.32522788111720474,0.013250591185289994,0.10462150746236246,0.9455802890126247
CD31,0.3238577309643867,0.01350115047367655,0.10421806853829778,0.9458938093283479
CD23,0.3205215628618121,0.01119794678854699,0.10157317888568543,0.9475235205556828
FOXP3,0.3140122468913238,0.025994440104735856,0.09644991913368268,0.9492096593414004
OLIG2,0.30797586974967517,0.016068895082006842,0.09455296743467412,0.9512751969653968
MGMT,0.3077395955130193,0.03777894937587718,0.09468586106423253,0.9504247196210732
CD45,0.3054772177444324,0.04002779711818553,0.0942538772791685,0.951126254225643
SIRP,0.30459141973952586,0.025359078010736263,0.09254475685147212,0.952273033169495
MSH6,0.30296968832187476,0.018682886153050998,0.09172174831758498,0.9527792086601341
CD21,0.2990362301841817,0.04927047712103014,0.08933160494106547,0.9529489057427363
SMA,0.29872018337594347,0.030807831259239027,0.08943146807934144,0.9537697243080405
CD4,0.295517464409527,0.013095005800010343,0.08712648537023271,0.9552561391861409
ICOS,0.29252496336728145,0.03000648254381518,0.08354080441620042,0.9560520829414252
CD8,0.28215458218436906,0.03231270793787058,0.07959807870839634,0.9590279740574987
PD-1,0.2609190320473497,0.036588289602945155,0.06812205441637412,0.9649830743248232
CD16,0.260054099602913,0.006870278909532396,0.06687169127692463,0.9652311625404255
Granzyme K,0.2547102023567489,0.02939969359727058,0.061888936938038805,0.9670920705974666
CXCL13,0.250809518642719,0.03599055890738218,0.06372058793106672,0.9674576809209061
CD38,0.2495589796685383,0.011940256704290662,0.061518636274959196,0.9684491101240699
CD47,0.24427484824690016,0.0395501887576952,0.059645244489080554,0.9691272404456097
GFAP,0.2339828602469567,0.016258851249932222,0.049277472120467916,0.9729322154945106
CXCR5,0.23231209048422835,0.037126076348102124,0.05464191443174928,0.9720508623941828
PSD95,0.23130010920763086,0.00837822986867525,0.052851006579552925,0.9730019077953107
Ki67,0.20621702237914605,0.01244812563167337,0.04207509149417073,0.9785307179959087
FIBR,0.20545693571886395,0.023775811578613207,0.04158607593407928,0.9787524698502607
Podoplanin,0.1958703095750027,0.03895262370045956,0.03718336732979597,0.9801179397276989
PD-L1,0.19577130498241543,0.021636509311229936,0.03794023675693383,0.9806756638689181
CD20,0.19573982221588457,0.03441670195194956,0.037657405405561215,0.9805629081287831
Vimentin,0.19384119226889768,0.010536407463755147,0.035297378442868885,0.9814549679394666
HLA-A,0.17559441332590203,0.008639096516905986,0.029835127893359025,0.9846019201744735
CD3e,0.17500736049314478,0.02764776354358363,0.029777604894236264,0.9846671696856077
