protein,mean_pearsonr,std_pearsonr,mean_r2,mean_rmse
MPO,0.6331152656959187,0.01901933119117965,0.39963784069333796,0.23804937543736063
CD68,0.6314977757235738,0.014916498510937879,0.39746735208727185,0.37407281869904213
PD-L1,0.5688076610572225,0.016352105139481776,0.322553182947229,0.17171036010822138
CD45,0.5662940960305767,0.01423398712668197,0.3205038202143733,0.32658344064278133
TOX,0.5616418254355091,0.01310676618799446,0.31463812194196006,0.3601941306118097
CD3e,0.5502383521866496,0.01997897504064258,0.30225538453660344,0.20890975216178923
CD4,0.5452759578181172,0.014738722771696687,0.29725497829049585,0.25843441812359896
FIBR,0.5286674232522968,0.011253694399731515,0.2787614852677116,0.18685879236660424
HLA-DR,0.5231962905333607,0.009940362166945648,0.27346280875347695,0.422643950119295
MGMT,0.5138642226712871,0.01567144490674859,0.2637123147704147,0.3777665460849003
C-KIT,0.5008598202921501,0.008882562660900453,0.25051413888395596,0.6427506689659369
Granzyme B,0.4988734530706832,0.009171852523215401,0.24788855648900085,0.6111541251303677
PDGFR,0.4875730938799704,0.008307135290449318,0.23725724979246668,0.6355666889815496
CD74,0.4787112450520327,0.005759456839758234,0.22866261385245829,0.789310593463971
CD14,0.47546172474741544,0.00847247581511431,0.22596694804167344,0.4125406303297831
MAP2,0.4548816728921358,0.01110079713623615,0.20617393127801095,0.43424803684688407
CD23,0.45401332202299205,0.007626992719573146,0.20581407593406845,0.8797243811668307
CD44,0.4429269568022772,0.010916031478039812,0.1952360825102929,0.7934302886130005
Ki67,0.4230593995370805,0.013623426609961225,0.17887656347399722,1.0604378479757468
CXCR5,0.41620999950423065,0.011930458655543659,0.1732407380860919,0.1678648198278292
ICOS,0.4105837171598229,0.006854085405078746,0.16740500879639494,0.2087868947676347
IDH1,0.4077026430305618,0.00879059534632339,0.16533407270089795,0.28593495345952175
PD-1,0.4063024117504554,0.012890499713242243,0.16476869420838883,0.16894388194610677
synd,0.4031336021858771,0.007592765565822381,0.16204940811440074,0.3543277593422983
CD31,0.3979225221202096,0.007525253864712792,0.15823572230047564,0.3615348032997082
FOXP3,0.3907577549769286,0.005273518045984819,0.15146749398197296,0.18663891033012625
CD38,0.37725884439351487,0.00473317399841919,0.1422288964948929,0.291080885400143
Vimentin,0.370174021179494,0.007870814243229832,0.13677215035574314,0.400534144491916
MSH6,0.3648618407537487,0.00363764603720749,0.1320223289657379,0.3482464979878128
OLIG2,0.3602796485245399,0.004566870901595021,0.12904874265527222,0.37716407940216934
CD47,0.3497013238961838,0.0077165187034019846,0.1219735190696978,0.22383052909167697
CXCL13,0.34752360124841386,0.006267121448446856,0.12057859754451208,0.16682000814886186
PSD95,0.3451592028253186,0.006307522096062458,0.11910880532873683,1.2528593657292233
SMA,0.3424552530742101,0.009540737167792124,0.11727554505062185,0.6189014350877173
SIRP,0.3416074631547147,0.005679902214916058,0.11643498619057427,0.24711456897670475
CD21,0.314212301991412,0.011714017643433963,0.09863890014627948,0.2590452231656591
CD16,0.29596212358140545,0.003396016044983404,0.0875190798830547,0.5931507131766925
GFAP,0.2927878140900016,0.007277618698561136,0.08502019578330806,0.3946769613829725
SYNA,0.2925584083547449,0.00955306579211649,0.08554013168401584,0.27231738089575847
Podoplanin,0.28259102317309004,0.009001907349639604,0.07948976886469498,0.9565761295484503
CD8,0.2652684013458658,0.010743983338049264,0.069690990501829,0.3126843562669565
Granzyme K,0.2547994985126543,0.012108880762000854,0.06472466915792399,0.20759900863608555
HLA-A,0.21901516535912688,0.001839812981960104,0.047789541333887395,1.037005139399873
CD20,0.19991796387618208,0.007123354772142278,0.03879310756371428,0.2666856170103525
