protein,mean_pearsonr,std_pearsonr,mean_r2,mean_rmse
IDH1,0.5158250528942235,0.11191030927149097,0.22787159301184717,0.8711580883407702
OLIG2,0.5092810386834243,0.052940244747567734,0.24127259175735305,0.860818205493465
synd,0.49839083903967546,0.06475765653266297,0.14311006566935675,0.8160874861767262
MAP2,0.4960837675201518,0.13486098890296802,0.16744803492178795,0.8588938652370419
CD23,0.47520120523430354,0.2193481204839384,0.17221375983155374,0.8204746854446068
MSH6,0.4732091569454269,0.07176964081031242,0.20243150691720585,0.8792703340759088
CD74,0.46669704969751874,0.06298539117530451,0.2045930520423825,0.8826064186108173
TOX,0.45103070690634944,0.08062919350732974,0.11850388900622985,0.7934256398351783
SYNA,0.43817225701032825,0.13989230208546227,0.19736114272963218,0.8385645945097273
CD16,0.42607887337400274,0.10540629275818517,0.14802108642053288,0.8791793546915047
Ki67,0.4247445632197581,0.1550068948574385,0.13116031809021783,0.8883228061767303
CD44,0.400472595556554,0.14916513201212087,0.14283767849880363,0.892891669371377
FOXP3,0.39991348366167867,0.18521585374916064,0.13054029345550416,0.9088184373902356
PSD95,0.3839698543951209,0.17090191617183542,0.11345107123948014,0.9089358332294099
CD14,0.37452132695631535,0.04220261463331408,0.12172186220059844,0.924779296604693
C-KIT,0.37013358911772026,0.26225729027925354,0.0762139733326461,0.8108371215070658
SIRP,0.36466788902019925,0.16188635005665616,0.10576204987942159,0.9048965402982226
PDGFR,0.3605527050446387,0.22408568472468726,0.029371682130391208,0.8274053306516013
CD8,0.35414165946718085,0.1599810808134548,0.1017240278926886,0.8735619124539772
CD31,0.3346710743437143,0.06796249534064915,0.09327788210811845,0.9477258981777059
MPO,0.3327003558097329,0.10608223665920084,0.052858288111591656,0.8085447579515723
GFAP,0.3325912346281737,0.2767518881658219,0.061873584104891674,0.9153335138398067
HLA-A,0.3154056956735535,0.07101247472105522,0.0892557380785057,0.9476790164878606
Vimentin,0.29972961120437763,0.17458835153267022,0.07719716002005486,0.9430779121256456
CXCL13,0.28781043122948224,0.16717474027598056,0.07047396985715608,0.9349712446338587
MGMT,0.2855042476437251,0.03529357403103887,-0.0115048753725,0.9662490622445118
ICOS,0.2826352844121759,0.20207638179890744,0.06489404346770825,0.9437153162062429
PD-L1,0.27822818062497473,0.1287599384855863,0.05672566206543132,0.9565111674529755
CD3e,0.2770348684838916,0.06901707360232674,0.041681337000657105,0.9652618302660724
CD4,0.2714171354934944,0.10398691619584195,0.06034208398757586,0.9460180821932148
CXCR5,0.26464081485293584,0.16345586035311077,0.06190777240678602,0.937389916837788
Granzyme B,0.26141517566622385,0.0881537558673434,-0.11788080575665245,0.8728307029860248
Podoplanin,0.2604633401837695,0.06851154180759236,-0.02682203036794766,0.9562949874781023
HLA-DR,0.2592359605428313,0.08992581834986679,0.051565196977625315,0.9628371479610107
CD21,0.2569148323914523,0.046142945187963906,0.04260256623547287,0.9143758899852517
PD-1,0.233383024982315,0.19182261453331048,0.027073964467240707,0.9465779487873002
Granzyme K,0.1996300349619732,0.2461065829244367,-0.06607289653600949,0.946067412899944
CD45,0.18266985347870474,0.0948795219507127,0.016972789009787048,0.9799629682241464
CD47,0.18013446573842032,0.19954791192426125,0.013428351138685502,0.9609903931010179
CD20,0.15055177784887694,0.14422327784937203,0.02432656830882607,0.948374631641882
FIBR,0.14660624025204202,0.2118899013642828,0.009543730638894377,0.969136969633688
SMA,0.14455034052139937,0.10417846653593404,0.014982400756798709,0.9881073673088206
CD68,0.12210391306931356,0.14450824941476687,0.014489301520402531,0.9703377941352425
CD38,0.0897576618110001,0.14652426181917752,-0.03412607248117392,0.9835527017746737
