protein,pearsonr,r2,rmse
synd,0.2609396820118597,0.06421990064315641,0.9685981184426142
FOXP3,0.0850535372666726,-0.08541392798430736,0.970484008799885
CD16,0.22182466005338763,0.046868996157043985,0.9290058416209644
CD31,0.33705209883420156,0.10936001394408568,0.9503938561875109
CXCL13,0.14605018211841428,0.016388050173135493,0.9556670605702441
Ki67,0.2120530934026631,0.028524242121516385,0.9881106373911428
OLIG2,0.3288533503836135,0.08910217203953286,0.93610666185245
CXCR5,0.05890181641929205,-0.021585262668294414,0.9635850129608861
HLA-A,0.2573060297286618,0.04701612095627061,1.0576379185604603
PD-L1,0.14760791594709888,-0.003956361296292288,0.9626486373950017
PSD95,0.1750960553032164,0.011247525871633246,1.0191407664469216
CD20,0.005245570340983307,-0.012765547588224235,0.9528456181101068
CD68,0.1359521352153081,0.017998654909947676,0.9073475185068299
CD44,0.41249868568581294,0.10806221322930165,0.9908422572739041
SMA,0.29790028544465785,0.07458750221067578,1.0046063672239043
MSH6,0.30518636033578184,0.05926931328380203,0.9293567387911486
CD23,0.26529967222964446,0.018636892512376213,0.9127069995271084
GFAP,-0.18810878282394067,-0.08275160376757817,1.0827587490301855
SYNA,0.08503161305489562,-0.04652236263526799,1.0246744281677045
Podoplanin,0.03402173837205697,-0.07093162567695122,1.0687009530549043
Vimentin,0.08549013646385832,-0.013816944094847239,1.0123430378529337
CD47,0.049561685627183924,-0.027256681484213452,1.0096193328332326
CD74,0.3450364474478238,0.10468295407947681,0.8959615873520492
SIRP,0.1541950838092888,-0.051700956363119,1.030226970749939
Granzyme B,0.0443931906479539,-0.12512344938365239,1.0462617220518071
IDH1,0.2548381058673339,0.047812217630302856,0.8726319143517499
MPO,0.13284041180815384,-0.05891432266621721,0.8881954260164596
CD45,0.26619092274322514,0.06750869318621167,0.9717518064363961
CD21,-0.05167443826168555,-0.07570487568391604,1.006152666043726
FIBR,0.04809752710941258,-0.0022616016865137922,0.9690421106638912
C-KIT,0.2015041558589143,0.009354234885133317,0.9775140854484601
CD3e,0.15388631152973478,0.016082726860791707,0.9590503845301235
TOX,0.19888976456930307,-0.03215321541420613,0.8974990687872914
PD-1,0.07403380785625714,-0.02336722098853472,0.9750528006468564
PDGFR,0.20517983317212157,0.0062375224392901,0.9290116563612284
CD4,0.2878248195578249,0.06649928796979865,0.9654500969023702
MAP2,0.28521414640948256,0.019309544587311933,0.8182070639504341
CD8,0.21074714686357054,0.04095879828629834,0.8439513979010705
MGMT,0.24518770500557235,0.012003435578470945,0.9047154533158177
CD38,0.2154651363449673,0.03363305356827562,1.0402789053653418
HLA-DR,0.3367698161064982,0.11043929697327703,0.9842186962942673
CD14,0.38860656246713277,0.14885779790421838,0.9363772890963191
ICOS,0.001627952665045514,-0.14014110198224072,1.021464454350809
Granzyme K,-0.05355862749393261,-0.09241272517830379,1.0804225989920317
