protein,mean_pearsonr,std_pearsonr,mean_r2,mean_rmse
MSH6,0.36821437635430143,0.047612056093039604,0.12183474398898675,0.9294218278421686
OLIG2,0.36820911081796304,0.043851582838502816,0.11834176851205609,0.9327291432087508
CD74,0.36494895630684904,0.04199004545444688,0.1198894321389012,0.9397210008861249
CD14,0.34825154010050624,0.030720412524949992,0.07996311908146277,0.9539325198581621
MAP2,0.3376281855917758,0.06738504575773148,0.00771203118861572,0.9552477978811093
IDH1,0.330222127216331,0.06325962730284969,0.09804866194198003,0.9430922927697288
CD44,0.32542661352709834,0.08004260512901827,0.06651742643712452,0.9538174644299579
HLA-DR,0.3111408654997219,0.07769492410476973,0.0936942405131586,0.9434230319528367
CD31,0.2810096013115523,0.03653313327797893,0.07452706929257971,0.9603075608387159
CD23,0.2807264661101246,0.06129398738590595,0.014187507278220556,0.9686530436372959
TOX,0.27275796557589577,0.09713166715987125,0.02237212352224587,0.9527243064020322
SMA,0.27234202590817486,0.03793950770059874,0.07129888224035932,0.9617666025480262
CD45,0.2683612645900513,0.1011794501055246,0.061250361941738364,0.9585762898366303
FOXP3,0.2601670718739523,0.09481465656176716,-0.00039950609397887415,0.9869427224347467
MGMT,0.254299566480687,0.084424673897125,-0.05331828398447114,0.9902158484873566
CD4,0.2508502033409363,0.03963990251568256,0.0067968613581560035,0.9806025044594777
Ki67,0.24770573377159738,0.031028691456868908,0.043830691935211455,0.9753829579767086
synd,0.2368282773170959,0.098432693586577,-0.16869938057125472,1.0065554281271303
C-KIT,0.22706206614542515,0.08530167868607771,0.02691002442553019,0.9672978567447628
MPO,0.22550716978032886,0.11693754378898115,-0.025315203411167598,0.9567252090504846
HLA-A,0.21894697000024257,0.02794046096658976,0.029180188900486126,0.9746673391300853
SYNA,0.2153590709255931,0.1045099384760529,-0.1428744442354467,1.0083930616201866
PDGFR,0.20573629719484793,0.09354623506385805,0.016835513068946838,0.9662017912567654
CXCL13,0.19087970023370218,0.07476472485714647,-0.027441532043745352,0.996170312666637
ICOS,0.18790207743057827,0.09945345517731945,-0.036672225015009705,1.0035372882739515
PSD95,0.18179251129174162,0.05317698330009885,0.0025198330818454904,0.9880070495398936
CD38,0.18173711329316905,0.03186735755580508,-0.03735443026649523,0.9946836925347876
PD-L1,0.1797063287564797,0.03040752425860042,0.00027139269490956687,0.9894126249154429
CD16,0.17790423104306838,0.06595920872634327,-0.019890817766527836,1.0022500947747863
CD68,0.17786249703422657,0.1474253602328831,0.03201459783750813,0.9355988734217325
CD3e,0.16798395534346605,0.02922655731299014,-0.00022883994804105966,0.9899950629880138
Granzyme B,0.16160267267998613,0.11911099524977613,-0.0672411531765887,0.9911613993563657
CD8,0.15787105654604697,0.07939564883164688,-0.015703124536841907,0.9793202012355712
PD-1,0.15769063838632547,0.08663650061596186,-0.031708661489653324,0.9926020145126255
CXCR5,0.1442704208162618,0.06611591921788752,-0.03522676601820398,0.999246712789633
SIRP,0.13717907157729886,0.08109875167784279,-0.096662915210213,1.0141749226798957
FIBR,0.11248408512599666,0.0421230891473111,-0.04040975866260119,1.0024379718898906
CD47,0.11013613664305097,0.08460947485437678,-0.04587347008842966,1.0010262089628406
Vimentin,0.09652072883488969,0.04732423214298816,-0.05799028674989781,1.0156675696570854
CD21,0.07587584749151682,0.08221998957005114,-0.12756064026335195,1.0223988120020404
Podoplanin,0.06299889708839847,0.05716683591510806,-0.019047653167283473,0.9945056385889446
CD20,0.05707942963057848,0.0679133024308796,-0.017824653779926924,0.991497523230492
Granzyme K,0.04443347528160956,0.06928463644422293,-0.19410971104609637,1.0323797296422652
GFAP,-0.020209137047931747,0.08684305385431014,-0.21068971088054494,1.0630355454839129
