protein,mean_pearsonr,std_pearsonr,mean_r2,mean_rmse
CD68,0.6273308059401292,0.1471152246426183,0.41022567671499416,0.35890226723347857
MPO,0.6112916500740531,0.2052981868652221,0.4077698574549221,0.21941219123171898
TOX,0.5734442079771258,0.09033218941208239,0.3345100458213693,0.3443117315650561
CD45,0.5711741296791463,0.0882930813665072,0.33311306785311884,0.32023262594071256
CD4,0.5543795448369554,0.08226301020995641,0.312973248369506,0.2533935681663607
HLA-DR,0.5539989777507304,0.06327566483407555,0.310127505187051,0.4096649429276277
PD-L1,0.5311266543397755,0.1936695097976159,0.31483300609901194,0.16770878011268828
MGMT,0.5239096117518394,0.08165903532926327,0.279904771928079,0.37116944855498624
FIBR,0.523283332911066,0.11564396498003346,0.2838094135954883,0.18367917781006718
CD74,0.5225648842248167,0.02623216588213862,0.2717471156338685,0.765699037085543
CD3e,0.5180906366415068,0.13465487642031618,0.2836927825059881,0.20777119936534866
CD14,0.5165886321018497,0.040085712749670495,0.2675062554084636,0.4006073279197066
Granzyme B,0.5058249748398218,0.10018356021090301,0.26289724652061813,0.5990617637610974
C-KIT,0.5034633641912318,0.0865852839751188,0.2590372333851323,0.6354442587336809
Ki67,0.5008885943589572,0.03635315248324075,0.25203499007111346,1.0103451985505059
PDGFR,0.49031778904451057,0.08318374836790064,0.24517562898792797,0.6288296326250747
CD23,0.48233407461329325,0.051251179520912814,0.23431994281879978,0.8620127732272465
CD44,0.4722074477591282,0.03828798873812986,0.22206873963766727,0.77722289142547
MAP2,0.4608939950270778,0.05684518666953406,0.21374969748020095,0.4308856349956368
synd,0.4589322787626598,0.01559637508865339,0.2095355951053739,0.34389429157662066
OLIG2,0.4580447039562895,0.012783583606044804,0.20951756533215496,0.35916357040887364
MSH6,0.45568999498898644,0.01815469634342651,0.2075170773434814,0.332613548672655
CXCR5,0.4277144835055549,0.06860517285597705,0.18603611630676303,0.16578188129034596
ICOS,0.4224054050578788,0.08140212642726977,0.18186250087390274,0.20586584010931905
IDH1,0.41660323125278714,0.07132615377922132,0.1776121898248744,0.2829579771452076
CD38,0.4146272449701896,0.04852040360054071,0.17317680783775183,0.28545296605778153
Vimentin,0.41315783314449056,0.048090196476770146,0.1715876853581567,0.39181074997894105
PD-1,0.4108684275484092,0.1011660166823863,0.17613119668418176,0.16683829817239365
CD31,0.4100293227372246,0.03115527009113369,0.1685696343992238,0.358979941562545
FOXP3,0.395590385950634,0.06661968976072691,0.15631284984149169,0.1853657334803173
CD47,0.38660899034320184,0.05234245753030471,0.15134921062439793,0.21976758699456975
SIRP,0.3689843936409197,0.03877379206825445,0.13666068147574098,0.24394297089544673
PSD95,0.3671355985746503,0.02425960747232141,0.13412610389647955,1.2415580036105882
CXCL13,0.36374818748938387,0.09151239809302275,0.13610266741385635,0.16448481298435547
SMA,0.36046682895079574,0.020313865555633477,0.12982255275846447,0.614205742614083
CD21,0.35762383866002334,0.059680972678750374,0.1288972008285743,0.25404378566686586
GFAP,0.35177821151271305,0.03753222565144903,0.11997726087730132,0.38625644358899025
Podoplanin,0.3401782594338166,0.07136052865211057,0.11910654863843424,0.9336550467461651
SYNA,0.33190947229416723,0.0656764092381325,0.11106271974959925,0.2678229348531442
CD16,0.30988265821559624,0.010964395974493633,0.09460343666411153,0.5902580585014001
HLA-A,0.2991642545480674,0.010210963964513545,0.08885967630712455,1.0141163645026967
CD8,0.2666456383369201,0.0918862919568232,0.07726274060658442,0.3090660415265301
Granzyme K,0.25242777999068056,0.030596362156677426,0.058708680673511295,0.20790754376863924
CD20,0.14007868808427437,0.0532646699489281,0.021173857987318145,0.26834176180918107
